,Bus_stops_all,Train_stations_all,metro_stations_all,HH_owning_cars_all,work_from_home_perc_all,underground_metro_perc_all,train_perc_all,bus_perc_all,taxi_perc_all,motorcycle_perc_all,bicycle_perc_all,on_foot_perc_all,other_perc_all,avg_time_from_origin_car_UNWEIGHTED_all,avg_time_car_all,avg_time_from_origin_bus_UNWEIGHTED_all,avg_time_bus_all,avg_time_from_origin_rail_UNWEIGHTED_all,avg_time_rail_all,car_perc_all,is_urban_all,public_transport_all,people_power_all,Bus_stops_urban,Train_stations_urban,metro_stations_urban,HH_owning_cars_urban,work_from_home_perc_urban,underground_metro_perc_urban,train_perc_urban,bus_perc_urban,taxi_perc_urban,motorcycle_perc_urban,bicycle_perc_urban,on_foot_perc_urban,other_perc_urban,avg_time_from_origin_car_UNWEIGHTED_urban,avg_time_car_urban,avg_time_from_origin_bus_UNWEIGHTED_urban,avg_time_bus_urban,avg_time_from_origin_rail_UNWEIGHTED_urban,avg_time_rail_urban,car_perc_urban,is_urban_urban,public_transport_urban,people_power_urban,Bus_stops_rural,Train_stations_rural,metro_stations_rural,HH_owning_cars_rural,work_from_home_perc_rural,underground_metro_perc_rural,train_perc_rural,bus_perc_rural,taxi_perc_rural,motorcycle_perc_rural,bicycle_perc_rural,on_foot_perc_rural,other_perc_rural,avg_time_from_origin_car_UNWEIGHTED_rural,avg_time_car_rural,avg_time_from_origin_bus_UNWEIGHTED_rural,avg_time_bus_rural,avg_time_from_origin_rail_UNWEIGHTED_rural,avg_time_rail_rural,car_perc_rural,is_urban_rural,public_transport_rural,people_power_rural,Bus_stops_london,Train_stations_london,metro_stations_london,HH_owning_cars_london,work_from_home_perc_london,underground_metro_perc_london,train_perc_london,bus_perc_london,taxi_perc_london,motorcycle_perc_london,bicycle_perc_london,on_foot_perc_london,other_perc_london,avg_time_from_origin_car_UNWEIGHTED_london,avg_time_car_london,avg_time_from_origin_bus_UNWEIGHTED_london,avg_time_bus_london,avg_time_from_origin_rail_UNWEIGHTED_london,avg_time_rail_london,car_perc_london,is_urban_london,public_transport_london,people_power_london,Bus_stops_birmingham,Train_stations_birmingham,metro_stations_birmingham,HH_owning_cars_birmingham,work_from_home_perc_birmingham,underground_metro_perc_birmingham,train_perc_birmingham,bus_perc_birmingham,taxi_perc_birmingham,motorcycle_perc_birmingham,bicycle_perc_birmingham,on_foot_perc_birmingham,other_perc_birmingham,avg_time_from_origin_car_UNWEIGHTED_birmingham,avg_time_car_birmingham,avg_time_from_origin_bus_UNWEIGHTED_birmingham,avg_time_bus_birmingham,avg_time_from_origin_rail_UNWEIGHTED_birmingham,avg_time_rail_birmingham,car_perc_birmingham,is_urban_birmingham,public_transport_birmingham,people_power_birmingham,Bus_stops_liverpool,Train_stations_liverpool,metro_stations_liverpool,HH_owning_cars_liverpool,work_from_home_perc_liverpool,underground_metro_perc_liverpool,train_perc_liverpool,bus_perc_liverpool,taxi_perc_liverpool,motorcycle_perc_liverpool,bicycle_perc_liverpool,on_foot_perc_liverpool,other_perc_liverpool,avg_time_from_origin_car_UNWEIGHTED_liverpool,avg_time_car_liverpool,avg_time_from_origin_bus_UNWEIGHTED_liverpool,avg_time_bus_liverpool,avg_time_from_origin_rail_UNWEIGHTED_liverpool,avg_time_rail_liverpool,car_perc_liverpool,is_urban_liverpool,public_transport_liverpool,people_power_liverpool,Bus_stops_blackpool,Train_stations_blackpool,metro_stations_blackpool,HH_owning_cars_blackpool,work_from_home_perc_blackpool,underground_metro_perc_blackpool,train_perc_blackpool,bus_perc_blackpool,taxi_perc_blackpool,motorcycle_perc_blackpool,bicycle_perc_blackpool,on_foot_perc_blackpool,other_perc_blackpool,avg_time_from_origin_car_UNWEIGHTED_blackpool,avg_time_car_blackpool,avg_time_from_origin_bus_UNWEIGHTED_blackpool,avg_time_bus_blackpool,avg_time_from_origin_rail_UNWEIGHTED_blackpool,avg_time_rail_blackpool,car_perc_blackpool,is_urban_blackpool,public_transport_blackpool,people_power_blackpool
count,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,6601.0,7201.0,7201.0,7201.0,7201.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5875.0,5379.0,5875.0,5875.0,5875.0,5875.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1326.0,1222.0,1326.0,1326.0,1326.0,1326.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,127.0,135.0,135.0,135.0,135.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,70.0,72.0,72.0,72.0,72.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,14.0,19.0,19.0,19.0,19.0
mean,38.47993334259131,0.3200944313289821,0.12484377169837522,74.96085692442593,10.381327033961398,3.36697186135025,4.705109023678096,7.309412645231343,0.5038060318777207,0.7755693141301861,2.681102136632034,9.768107580916615,0.4988306331760248,130.59102157343003,12.017846392541097,287.7373165954045,28.790734790135648,157.36110997361945,67.695957226732,60.00976373904637,0.8158589084849327,15.38149353025969,12.449209717548648,36.374978723404254,0.27795744680851064,0.12885106382978723,72.05151140895323,8.92744858666295,4.074324226785775,5.1696661193421605,8.414914581054818,0.5768939429834234,0.7924216548213004,2.9278502435462364,10.519660612043696,0.4930694548497452,127.53497245260705,10.96944009254973,284.2263249765616,26.89411333200894,150.978190492122,58.076073398366525,58.103750577909885,1.0,17.65890492718271,13.44751085558988,47.80618401206637,0.5067873303167421,0.10708898944193061,87.85105670074799,16.822907635679645,0.23296345491456388,2.6468338072178037,2.4113554258022614,0.17998138802703958,0.7009030233607302,1.5878554336750559,6.438262891722372,0.5243562158810743,144.1312090431405,16.662934637223977,303.29318066833,37.193940722634956,185.641390481761,110.04076501133038,68.45458072371943,0.0,5.291152687934629,8.026118325397437,20.968302658486706,0.3834355828220859,0.3486707566462168,59.45800401381289,9.579841869640386,21.245425738577868,12.861924510200632,13.751942556701659,0.4725544278586553,1.0735233385782914,3.693895965085142,8.06773535464926,0.5175456515232082,109.03388009290084,9.394646159315979,247.2922451323988,28.604148805409974,115.25406725623992,21.330039523372886,28.735610587184798,1.0,47.85929280548011,11.761631319734404,33.577777777777776,0.22962962962962963,0.0962962962962963,63.35133914697162,7.299399557428264,0.2995455459222541,3.871545844762838,18.03104794885055,0.711589925837425,0.475666493944294,1.5279103955910354,9.744805440568795,0.49391044807456075,97.76726982371227,9.799881616780922,243.65938262690517,26.615604940600093,120.45838072381731,39.95236673698024,57.54457839901997,1.0,22.202139339535638,11.27271583615983,29.694444444444443,0.3888888888888889,0.0,56.42181997520088,6.121872301549846,0.48671890090439224,4.732878421897741,18.948007618958385,1.3903222309892471,0.3956454267557335,1.8909160155774396,11.634056792329515,0.6024805183873689,135.17583033245197,10.559275520063126,331.8211965160801,26.191566313464346,150.2649041353904,34.42394376428531,53.797101772650336,1.0,24.167604941760516,13.524972807906959,42.421052631578945,0.21052631578947367,2.1578947368421053,62.486502435257705,10.491479025454906,0.06471076813425167,0.8354228870249142,8.819560889533577,0.9317896651171004,0.9102413976817347,3.147410428419932,14.65063051319925,0.6404526255799982,155.67909438565061,9.330350765650111,382.7987569415098,24.978138382893636,183.72304958618963,85.3143896029762,59.50830179985433,1.0,9.719694544692747,17.79804094161919
std,20.605249298715695,0.6609318270217773,0.5679844297116418,14.805854644672678,4.826474381749274,8.826857995396669,6.114003098940577,6.356014356710341,0.49827262729128513,0.40250201404846214,2.6094338288509773,6.457068673297413,0.30871581849539326,31.007921511497226,3.5106093756804597,62.516603979866694,9.827287965086551,41.1686361626179,54.48350822839303,16.49191802492391,0.3876261286935991,14.953138205129875,7.635432706762147,18.907643037908013,0.5652963898729665,0.5674552002315154,14.659857683801434,3.1285266110094962,9.624895521298365,6.500105555875513,6.487869393507878,0.5182314282811014,0.42027974900495046,2.7711972674205474,6.635535881962023,0.3073102492198133,28.298385477899938,2.375945443875651,57.64989432274194,7.18630307200553,35.46892016078022,47.147009718234955,17.428149873741,0.0,15.586577672178782,7.8112002311155555,24.810758306969756,0.9561869691752176,0.5701991466074693,5.885321634606113,5.682862947379617,0.8027768580248167,3.259052479317825,1.8691349829788384,0.17289912510690522,0.3007427991080796,1.2204984861798296,4.214960262095342,0.31371442302346264,38.075118361133086,3.934143794674637,78.78488743692363,14.464691094482474,51.49359665008934,63.66129050294099,6.627685084143089,0.0,3.6215192717418443,4.723366271047335,12.708849638842013,0.7511244770218144,0.8144694991085547,17.14997925262532,3.0653060807287087,13.416000013728869,9.418261122218727,7.2844962022015105,0.4552467962678383,0.5175057016623019,3.2351703823543554,5.309790039874411,0.3054681375417115,3.793464366403626,1.784060457575133,15.547312703133642,4.427374910282638,6.3980039824519155,5.455541231419111,15.046751366761455,0.0,11.494877880289266,7.038278864239062,16.42462051932951,0.5174671485822084,0.6450046172931352,11.771006631036405,1.5631772953649166,0.3922058813196943,3.2681805286870715,5.296073084346585,0.3795490280312063,0.23774379606563975,0.8481336736978632,6.571211573498083,0.2828768160691203,1.1779158962934082,1.9047807686161935,5.067426814522733,3.414280622992346,2.894583973884431,20.78991769392395,9.701674643854979,0.0,4.777959986844427,6.724917966894576,15.006701684969249,0.7792295862220697,0.0,16.59577490575518,1.775424285254399,0.4736956032415521,3.1700086602326185,7.746058354298306,0.5256396017770056,0.13893083882107804,0.8649654872792988,8.569518934355221,0.16788977872823854,1.4609647976827513,2.0571487675897355,5.578120017854975,3.977923722282381,2.9811121924074975,29.598686812435545,11.590301700223678,0.0,6.603351278076521,8.644818349764414,15.858106197265254,0.41885390829169555,3.1138250485132493,14.73622116518276,6.699507807018965,0.055815602013860335,0.26321489302583495,2.878801871501799,0.223578672669686,0.3000059053023089,0.6086127769541537,5.57323877216607,0.14980566072302706,1.3556654904242302,0.9342287905555736,4.61409809466761,4.0104340197085735,3.456415230235768,68.52997209883581,11.985136272747956,0.0,2.943369166386059,5.6757057660218875
min,0.0,0.0,0.0,17.510216912920498,2.82655246252677,0.0,0.0525210084033613,0.17367141368530703,0.0,0.0242483026188167,0.0806776926179911,1.49513212795549,0.0341763499658237,93.7562733576863,4.9635083168381,186.393862106666,9.32126891525424,101.793289397689,0.55493826,3.05120167189133,0.0,0.744047619047619,2.019363762102356,0.0,0.0,0.0,17.510216912920498,2.82655246252677,0.0,0.0525210084033613,0.36144578313253,0.0,0.0242483026188167,0.0806776926179911,1.90380761523046,0.0341763499658237,94.0330524390085,4.9635083168381,188.317259712055,9.32126891525424,101.793289397689,0.55493826,3.05120167189133,1.0,1.083372585963259,2.301614565441433,0.0,0.0,0.0,50.252780586450996,4.88445378151261,0.0,0.0580888759802498,0.17367141368530703,0.0,0.0367376928728876,0.146520146520147,1.49513212795549,0.0597907324364724,93.7562733576863,8.883959200329722,186.393862106666,12.325975375757599,116.393884736717,1.68593,20.7589285714286,0.0,0.744047619047619,2.019363762102356,0.0,0.0,0.0,17.510216912920498,4.95975071410023,0.7740324594257181,1.82627019433388,1.9281663516068102,0.0,0.14140938015555,0.12722646310432598,1.95809000343525,0.0995272455834785,102.67318432033599,4.9635083168381,209.982256563992,13.204665819502099,101.793289397689,10.510836181823802,3.05120167189133,1.0,17.98790194205663,2.301614565441433,9.0,0.0,0.0,33.3545918367347,3.8315789473684196,0.0,0.477859190825104,2.4278676988036603,0.122579063495955,0.0824742268041237,0.4164738546969,2.14637579169599,0.0341763499658237,95.38402659986829,7.42332601675067,229.132695412568,19.469131099730802,113.94418875704201,0.62759286,26.804415510897304,1.0,7.2836030964109755,3.48346235045743,10.0,0.0,0.0,26.8041237113402,3.34065934065934,0.0,1.0657193605683801,4.930156121610519,0.297216968386922,0.0524383848977451,0.756756756756757,2.38873522755846,0.36246476037052006,130.946354340744,7.6466553555819905,318.812678345508,20.3922189260982,143.294681387037,6.1274649863636395,22.538177988414997,1.0,9.093399068748287,3.268795574553683,17.0,0.0,0.0,36.1324659964518,5.59782608695652,0.0,0.347500668270516,5.0495049504950495,0.614808874632451,0.539374325782093,2.46568378240976,7.51136059877038,0.351699882766706,152.94291900388902,7.8204907295085295,375.171318450895,19.2465607497093,179.457169178816,1.1822046,33.3568157802043,1.0,5.792079207920793,10.34482758620689
25%,24.0,0.0,0.0,66.484375,7.034728406055209,0.0679809653297077,1.024377593361,2.49110320284698,0.18532246108228304,0.505050505050505,1.14467408585056,5.33056420906888,0.330231161813269,107.624737219105,9.595475365450339,241.643743878184,22.9195907191617,127.907208436509,25.1029140092348,54.5084533500313,1.0,5.615874204417816,7.076739325171699,23.0,0.0,0.0,63.42349777818675,6.73999153786455,0.06801566129704165,1.15238832960272,3.5677638552067,0.2427479098753825,0.5061997317383495,1.25259866120762,5.983878411576355,0.3253091047934615,106.87216849527002,9.290104160451865,241.34728996441498,22.43242857844715,125.089578937231,22.4749691732459,51.1392302134188,1.0,7.188177048744001,8.031183723231056,30.0,0.0,0.0,85.74720450923397,12.849733878819325,0.0677621606724542,0.6919362601025391,1.18217121385133,0.0883442103909971,0.4998561792354427,0.8416149772485875,3.782259018019993,0.3520159973802743,115.565101651764,13.977649012309849,243.97387380725925,27.3323756296976,148.42868161561975,62.563021999999975,64.34447318219567,0.0,2.7982832178191037,4.999259889180461,13.0,0.0,0.0,44.93504629787815,7.417837686838492,9.21319745721258,5.540938727120127,8.38058254717636,0.22640533307085126,0.731128270058248,1.2343427251393875,5.0723097306570795,0.37439163112493196,105.97367910771875,8.267693898699639,235.28151695144055,25.511329421200127,110.40133052220651,17.164083146942975,14.554155170042902,1.0,38.64422774457378,6.9543087121212075,23.0,0.0,0.0,55.57827156062619,6.29182455620397,0.1059840430012995,1.70712054430859,14.64913225479135,0.473077129782172,0.298951298915554,0.9493802955472566,6.257206558115125,0.304054366381631,97.05043692628462,8.5659686339487,239.96185524428597,23.896043407737203,118.2783147778255,22.769718869444446,52.4573443508978,1.0,18.870922241534295,7.63257721833291,19.75,0.0,0.0,44.99516754094347,4.880886821312675,0.1840178816345145,1.9116928107587174,12.54945729642665,1.016708339831134,0.31714878196023977,1.327942575456195,6.273138021384586,0.483486992262598,134.304400536681,9.479943055954514,327.89934980083626,23.0627140496135,148.25456978358724,15.865690249999977,46.61000817868482,1.0,18.771349637088875,7.937879608363899,30.0,0.0,0.0,51.435261418444696,6.838724368751061,0.0288708237097254,0.6454067736870774,7.5091764930413305,0.7893638167127155,0.7110196800629716,2.61557634512297,10.331832528536815,0.5430045527099735,154.883330873796,8.66177013963814,380.228084797799,22.3544477575819,181.6877952171355,22.441976875,54.3536978370111,1.0,8.39590157775902,13.33483518411719
50%,35.0,0.0,0.0,78.1730769230769,8.896121508001091,0.154978690430066,2.33222275107092,5.3783284998681795,0.348712446351931,0.696969696969697,1.87994722955145,7.91011235955056,0.43778801843318,123.443393942939,11.205226489759,273.252282041841,27.0041064537037,147.594085684391,51.1592,65.1075771749298,1.0,9.992758870383781,10.281425891181991,33.0,0.0,0.0,74.9219858156028,8.206599713055951,0.16970070965751302,2.66708503294634,6.734059097978231,0.42092603728202,0.7042253521126759,2.1108179419525097,8.6425902864259,0.42972699696663297,120.718468195166,10.6147632198664,271.208068878239,26.135001559302303,143.01534099122298,42.228382,63.61651015505571,1.0,11.756115370573202,11.34583432233564,44.0,0.0,0.0,89.56902437421604,16.177106985906846,0.12142677225338401,1.3769837187993401,1.821655108606865,0.14179370799845198,0.659883659371221,1.284596874618575,5.047370627187685,0.471976442249584,136.5714707704835,16.011803258867403,286.536950970546,34.38713121823345,171.38639860622752,97.05308915,69.27853764192659,0.0,4.114722428965457,6.615034662836425,19.0,0.0,0.0,61.07508904625965,8.71855657405931,20.763518722322353,9.098800023172835,12.248142950056451,0.346017434422819,0.9886493767997425,2.52418465376131,6.537693463884116,0.473943038567777,108.179348728967,9.020238826798765,245.2431890774925,28.38684798124875,114.5153150409495,20.94823328579495,27.32472253330055,1.0,48.61756767952335,9.618593687037748,31.0,0.0,0.0,61.7367290579932,7.16240875912409,0.193298969072165,2.58010819808573,18.7076602397082,0.6144107242599139,0.46637211585665206,1.3589128697042399,7.9401611047180705,0.399786780383795,97.5308433134078,9.38671627619295,243.876423985141,26.535732969050798,120.088243415395,36.956406714285706,59.0207914151576,1.0,22.41231822070145,9.55196017423771,26.0,0.0,0.0,54.428300458342555,5.704103226923225,0.35962177875814505,3.98811303936285,18.712977219652203,1.3633821952247698,0.41309187520346147,1.66443295422166,9.465405334706656,0.55838645954925,135.5372739288025,10.0399399842089,331.6903183573735,25.9792574915759,150.12033389055,21.92738495753965,55.190038042776095,1.0,24.39516945034829,11.898917852106432,45.0,0.0,0.0,68.4897959183673,7.883165829145731,0.0394011032308905,0.882887561672293,8.18159141930656,0.873035669743078,0.8415841584158421,2.96027005972475,12.6409292791254,0.625533124822292,155.48299767906602,9.39671598259925,382.422458107943,23.4556636879699,182.601005265601,91.9439616375,65.1424992170373,1.0,9.036613866528175,16.07638888888887
75%,48.0,1.0,0.0,86.8431771894094,12.367384055774501,0.538760850044897,5.74177529484792,10.130410130410098,0.6430868167202571,0.959581273626054,3.29313543599258,12.098765432098801,0.5799903334944421,143.197177845299,13.592524345511,321.46523565861696,32.1220608619048,175.66506868475898,94.952232,71.10474827010259,1.0,18.146183998155358,15.510434292160213,46.0,0.0,0.0,83.44728905238816,10.306139211418849,0.9865713578336255,6.2952596770145,11.3920482948297,0.7320069625970245,0.9888615107300784,3.65401417846025,12.9256895126961,0.5708960581997544,138.7094413794125,12.265319230237449,316.53589149403547,30.244214560408203,167.52039065666548,80.866262125,70.39504848814805,1.0,21.466823461205337,16.551915111281346,60.0,1.0,0.0,91.87687108803686,20.2390353113724,0.2022774449610775,3.0644262666111555,2.9558044531293923,0.2201552594133538,0.8511068504100097,1.9291793361942975,7.5261641277019855,0.6143626579502237,163.548608054739,18.69708376286285,349.54424630105905,43.4415734034205,211.11268492075402,144.19554324999976,73.21320280906153,0.0,6.741285507667503,9.400864438566783,26.0,1.0,0.0,74.04549764185347,10.80172216967285,31.377202909196825,18.860964104873773,17.911381061772524,0.5477985042999746,1.3236369464424425,5.48807199142877,8.938685963622113,0.584795321637427,111.719781009378,10.119612976465449,258.7685679272322,31.697023094904672,119.63955040547576,25.212960214003825,41.79387283834858,1.0,57.03734774505908,14.10711989682982,40.5,0.0,0.0,73.05643481441845,8.01916477238124,0.33938786700371953,5.009826975724085,21.5890099981454,0.8290341859141999,0.6291140119427856,1.77294003291919,11.356752025728,0.6074009466449369,98.41453219825405,10.4157666323792,246.827469261533,28.41488501494305,122.52079568499602,53.96420646875001,64.2943488676916,1.0,25.315049277260727,12.42982830334271,35.25,1.0,0.0,66.10480350903919,6.8414356268218794,0.571616913080328,6.991497622576265,25.16171556489445,1.79430846280923,0.4838502127706427,2.220496959071875,12.61332623882185,0.7294173087204233,136.253835299829,11.040615994092398,335.7107430954758,28.497251518228097,152.12043163286825,44.567307087500026,62.12328498528168,1.0,28.310208158182498,14.436462324393341,54.0,0.0,4.0,74.1751407359493,9.518021071911145,0.1088734531316675,1.0216951898535085,9.943107121230156,1.10978264436488,0.9394091217051785,3.54533082077052,18.67752301052185,0.7507570666787171,156.471093083102,9.9805741799952,385.326735192251,26.551755360707702,184.68161405399852,143.67017725,67.8163962812143,1.0,10.675916420459721,21.21622206088645
max,189.0,12.0,12.0,97.0784641068447,37.591727818545706,55.726092089728496,46.0285132382892,45.5177551527191,5.8715173842965696,4.01267159450898,33.739166322740395,51.3241409498796,5.92206198220313,451.015245206761,64.2336065824885,716.4591599320531,115.17637166666701,437.66920397394796,346.818133333333,84.1677588466579,1.0,74.62533360706222,53.8021978021979,189.0,8.0,12.0,97.0784641068447,37.591727818545706,55.726092089728496,46.0285132382892,45.5177551527191,5.8715173842965696,4.01267159450898,33.739166322740395,51.3241409498796,5.776430736316629,287.76937491245604,39.564784132612,558.300082901903,80.13548692307691,365.50998015777003,324.34622,84.1677588466579,1.0,74.62533360706222,53.8021978021979,184.0,12.0,8.0,96.24773960216999,36.4678899082569,21.120984278879,23.9255014326648,14.440203562341,2.81973816717019,2.7435387673956297,13.913690476190501,31.1155913978495,5.92206198220313,451.015245206761,64.2336065824885,716.4591599320531,115.17637166666701,437.66920397394796,346.818133333333,82.381066220416,0.0,26.39684813753586,39.5833333333334,168.0,8.0,12.0,92.2705314009662,28.1602578862537,55.726092089728496,46.0285132382892,45.5177551527191,5.8715173842965696,4.01267159450898,20.6119162640902,45.642633228840104,5.776430736316629,119.890936075821,24.7047493776336,287.73095516724203,45.7206680932526,134.425120104208,38.418502333333294,64.00529333921479,1.0,74.62533360706222,50.72100313479621,127.0,2.0,7.0,92.4610051993068,14.602392681210402,2.53093363329584,18.6277460126392,29.3484757919904,1.9381443298969099,1.15052732502397,4.8218029350104805,40.9566940277385,1.29801324503311,101.48105224891701,21.466357697065497,258.139642602902,40.5965466854651,128.175891254534,97.88722,74.6268656716418,1.0,34.02260821615661,42.14548542315316,82.0,4.0,0.0,90.79086115992969,12.4290732234531,2.3357289527720697,14.1699410609037,32.2409798080106,2.7264325323475,0.804634695848085,6.48298217179903,47.1037388098999,1.06822880771881,137.384140341223,21.6243819753721,343.668771299346,42.4362912931034,157.200067099424,171.94158000000002,75.23966036702271,1.0,36.9873046875,48.051606108478104,70.0,1.0,9.0,78.7257617728532,29.0386130811663,0.187115744453355,1.2982576016399,17.1195652173913,1.33663366336634,1.5240328253223898,4.601406799531071,26.417752729834397,0.9158154279675941,158.51874176812902,10.8286742287116,391.144638887155,34.6256579666667,193.76740692033798,179.35076999999998,71.8791766907244,1.0,17.989130434782606,29.270870024656517
