ID, Cluster
E02000001, 3
E02000002, 3
E02000003, 3
E02000004, 4
E02000005, 3
E02000007, 3
E02000008, 3
E02000009, 3
E02000010, 3
E02000011, 3
E02000012, 3
E02000013, 3
E02000014, 3
E02000015, 3
E02000016, 3
E02000017, 3
E02000018, 3
E02000019, 3
E02000020, 3
