,Area.of.residence,variable,value
151,E02004572,Area.of.workplace,E02000001
152,E02005348,Area.of.workplace,E02000001
153,E02002483,Area.of.workplace,E02000001
154,E02002454,Area.of.workplace,E02000001
155,E02004176,Area.of.workplace,E02000001
156,E02001812,Area.of.workplace,E02000001
157,E02006072,Area.of.workplace,E02000001
158,E02005169,Area.of.workplace,E02000001
159,E02002175,Area.of.workplace,E02000001
160,E02001524,Area.of.workplace,E02000001
161,E02006894,Area.of.workplace,E02000001
162,E02000821,Area.of.workplace,E02000001
163,E02002185,Area.of.workplace,E02000001
164,E02000367,Area.of.workplace,E02000001
165,E02004206,Area.of.workplace,E02000001
166,E02001739,Area.of.workplace,E02000001
167,E02004909,Area.of.workplace,E02000001
168,E02005614,Area.of.workplace,E02000001
169,E02000146,Area.of.workplace,E02000001
170,E02005815,Area.of.workplace,E02000001
171,E02004044,Area.of.workplace,E02000001
172,E02002557,Area.of.workplace,E02000001
173,E02006530,Area.of.workplace,E02000001
174,E02005750,Area.of.workplace,E02000001
175,E02004194,Area.of.workplace,E02000001
176,E02002170,Area.of.workplace,E02000001
177,E02004406,Area.of.workplace,E02000001
178,E02000752,Area.of.workplace,E02000001
179,E02006605,Area.of.workplace,E02000001
180,E02005147,Area.of.workplace,E02000001
181,E02006783,Area.of.workplace,E02000001
182,E02001742,Area.of.workplace,E02000001
183,E02000616,Area.of.workplace,E02000001
184,E02002848,Area.of.workplace,E02000001
185,E02000390,Area.of.workplace,E02000001
186,E02003909,Area.of.workplace,E02000001
187,E02006726,Area.of.workplace,E02000001
188,E02004141,Area.of.workplace,E02000001
189,E02002485,Area.of.workplace,E02000001
190,E02000873,Area.of.workplace,E02000001
191,E02001325,Area.of.workplace,E02000001
192,E02000864,Area.of.workplace,E02000001
193,E02006299,Area.of.workplace,E02000001
194,E02003441,Area.of.workplace,E02000001
195,E02003517,Area.of.workplace,E02000001
196,E02002201,Area.of.workplace,E02000001
197,E02006368,Area.of.workplace,E02000001
198,E02006217,Area.of.workplace,E02000001
199,E02003835,Area.of.workplace,E02000001
200,E02002358,Area.of.workplace,E02000001
201,E02002362,Area.of.workplace,E02000001
202,E02004623,Area.of.workplace,E02000001
203,E02002188,Area.of.workplace,E02000001
204,E02001178,Area.of.workplace,E02000001
205,E02002296,Area.of.workplace,E02000001
206,E02006149,Area.of.workplace,E02000001
207,E02005995,Area.of.workplace,E02000001
208,E02003892,Area.of.workplace,E02000001
209,E02006543,Area.of.workplace,E02000001
210,E02005875,Area.of.workplace,E02000001
211,E02000110,Area.of.workplace,E02000001
212,E02005910,Area.of.workplace,E02000001
213,E02003013,Area.of.workplace,E02000001
214,E02001081,Area.of.workplace,E02000001
215,E02005835,Area.of.workplace,E02000001
216,E02001321,Area.of.workplace,E02000001
217,E02005624,Area.of.workplace,E02000001
218,E02002756,Area.of.workplace,E02000001
219,E02000165,Area.of.workplace,E02000001
220,E02003384,Area.of.workplace,E02000001
221,E02005362,Area.of.workplace,E02000001
222,E02005031,Area.of.workplace,E02000001
223,E02001933,Area.of.workplace,E02000001
224,E02002716,Area.of.workplace,E02000001
225,E02004759,Area.of.workplace,E02000001
226,E02004356,Area.of.workplace,E02000001
227,E02006408,Area.of.workplace,E02000001
228,E02001287,Area.of.workplace,E02000001
229,E02001458,Area.of.workplace,E02000001
230,E02006675,Area.of.workplace,E02000001
231,E02001483,Area.of.workplace,E02000001
232,E02003515,Area.of.workplace,E02000001
233,E02001047,Area.of.workplace,E02000001
234,E02006799,Area.of.workplace,E02000001
235,E02006832,Area.of.workplace,E02000001
236,E02006095,Area.of.workplace,E02000001
237,W02000018,Area.of.workplace,E02000001
238,E02006117,Area.of.workplace,E02000001
239,E02004845,Area.of.workplace,E02000001
240,E02005573,Area.of.workplace,E02000001
241,W02000063,Area.of.workplace,E02000001
242,E02004480,Area.of.workplace,E02000001
243,E02006615,Area.of.workplace,E02000001
244,E02004197,Area.of.workplace,E02000001
245,E02001991,Area.of.workplace,E02000001
246,E02005123,Area.of.workplace,E02000001
247,E02000054,Area.of.workplace,E02000001
248,E02003789,Area.of.workplace,E02000001
249,E02000219,Area.of.workplace,E02000001
250,E02005318,Area.of.workplace,E02000001
251,E02004798,Area.of.workplace,E02000001
252,E02001228,Area.of.workplace,E02000001
253,E02005119,Area.of.workplace,E02000001
254,E02000305,Area.of.workplace,E02000001
255,E02005368,Area.of.workplace,E02000001
256,E02005536,Area.of.workplace,E02000001
257,E02006524,Area.of.workplace,E02000001
258,E02001311,Area.of.workplace,E02000001
259,E02001938,Area.of.workplace,E02000001
260,E02003760,Area.of.workplace,E02000001
261,E02004897,Area.of.workplace,E02000001
262,E02006023,Area.of.workplace,E02000001
263,E02000084,Area.of.workplace,E02000001
264,E02006039,Area.of.workplace,E02000001
265,E02004292,Area.of.workplace,E02000001
266,E02005788,Area.of.workplace,E02000001
267,E02006492,Area.of.workplace,E02000001
268,E02003125,Area.of.workplace,E02000001
269,E02002301,Area.of.workplace,E02000001
270,E02005159,Area.of.workplace,E02000001
271,E02004999,Area.of.workplace,E02000001
272,E02000529,Area.of.workplace,E02000001
273,E02006389,Area.of.workplace,E02000001
274,E02004473,Area.of.workplace,E02000001
275,E02004856,Area.of.workplace,E02000001
276,E02001570,Area.of.workplace,E02000001
277,E02001921,Area.of.workplace,E02000001
278,E02005128,Area.of.workplace,E02000001
279,E02001757,Area.of.workplace,E02000001
280,E02000441,Area.of.workplace,E02000001
281,E02005215,Area.of.workplace,E02000001
282,E02005450,Area.of.workplace,E02000001
283,E02002329,Area.of.workplace,E02000001
284,W02000246,Area.of.workplace,E02000001
285,E02005334,Area.of.workplace,E02000001
286,E02000561,Area.of.workplace,E02000001
287,W02000098,Area.of.workplace,E02000001
288,E02003708,Area.of.workplace,E02000001
289,E02001868,Area.of.workplace,E02000001
290,E02001392,Area.of.workplace,E02000001
291,E02003745,Area.of.workplace,E02000001
292,E02000188,Area.of.workplace,E02000001
293,E02004643,Area.of.workplace,E02000001
294,E02001224,Area.of.workplace,E02000001
295,E02004545,Area.of.workplace,E02000001
296,E02004957,Area.of.workplace,E02000001
297,E02000268,Area.of.workplace,E02000001
298,E02000694,Area.of.workplace,E02000001
299,E02003843,Area.of.workplace,E02000001
300,E02000439,Area.of.workplace,E02000001
301,E02004904,Area.of.workplace,E02000001
302,E02000201,Area.of.workplace,E02000001
303,E02000176,Area.of.workplace,E02000001
304,E02005287,Area.of.workplace,E02000001
305,E02004776,Area.of.workplace,E02000001
306,E02005766,Area.of.workplace,E02000001
307,E02006152,Area.of.workplace,E02000001
308,E02002701,Area.of.workplace,E02000001
309,E02002632,Area.of.workplace,E02000001
310,E02004698,Area.of.workplace,E02000001
311,E02004438,Area.of.workplace,E02000001
312,E02005464,Area.of.workplace,E02000001
313,E02003982,Area.of.workplace,E02000001
