,MSOA code,Net annual income (£),Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Pop_Per_Hectare,percent_at_or_above_qual_level_4
1662,E02002188,33300.0,2.8,5.0,30.6
1663,E02002189,27400.0,6.1,20.6,22.7
1664,E02002190,23800.0,7.7,18.3,13.2
1665,E02002191,22300.0,7.9,65.7,11.1
1666,E02002192,39600.0,2.2,6.2,38.4
1667,E02002193,26100.0,7.5,20.2,12.9
1668,E02002194,28600.0,4.7,39.1,14.4
1669,E02002195,34800.0,2.7,8.6,35.3
1670,E02002196,32500.0,3.5,4.5,25.4
1671,E02002197,32000.0,4.1,10.9,31.4
1672,E02002198,32400.0,3.9,31.0,27.0
1673,E02002199,33600.0,2.4,7.4,27.3
1674,E02002200,34500.0,3.6,18.3,37.5
1675,E02002201,33600.0,4.5,44.3,24.4
1676,E02002202,31100.0,5.4,28.1,34.9
1677,E02002203,27100.0,7.7,33.3,13.5
1678,E02002204,32800.0,2.9,10.9,31.1
1679,E02002205,34500.0,3.3,2.0,30.0
1680,E02002206,28000.0,4.6,45.9,15.8
1681,E02002207,24200.0,6.1,57.2,27.6
1682,E02002208,26800.0,5.4,53.2,14.3
1683,E02002209,25600.0,8.9,44.3,10.2
1684,E02002210,27800.0,5.7,55.9,19.3
1685,E02002211,28000.0,5.5,33.0,28.5
1686,E02002212,22600.0,7.6,32.1,19.9
1687,E02002213,31600.0,3.8,3.2,24.5
1688,E02002214,27300.0,5.2,57.7,17.7
1689,E02002215,23500.0,7.4,95.1,17.1
1690,E02002216,22900.0,8.4,53.4,13.9
1691,E02002217,23200.0,9.0,50.8,15.5
1692,E02002218,26100.0,6.5,30.7,21.2
1693,E02002219,21400.0,8.4,105.9,14.6
1694,E02002220,23300.0,8.2,68.0,12.8
1695,E02002221,20200.0,8.8,53.1,17.4
1696,E02002222,24800.0,6.6,48.8,17.4
1697,E02002223,24000.0,8.7,38.2,16.0
1698,E02002224,22400.0,8.4,103.5,11.9
1699,E02002225,29100.0,4.2,6.8,23.2
1700,E02002226,22300.0,6.0,82.3,19.5
1701,E02002227,22000.0,11.8,30.1,10.7
1702,E02002228,25400.0,8.5,30.7,11.5
1703,E02002229,30200.0,4.3,19.7,21.0
1704,E02002230,21900.0,11.5,69.4,15.0
1705,E02002231,25800.0,5.8,48.0,19.4
1706,E02002232,21900.0,8.3,67.5,15.0
1707,E02002233,23800.0,8.9,113.2,12.1
1708,E02002234,24000.0,11.4,50.2,8.2
1709,E02002235,25000.0,7.9,45.0,13.9
1710,E02002236,28300.0,5.3,52.4,18.1
1711,E02002237,27600.0,5.9,60.3,16.4
1712,E02002238,26400.0,6.8,57.3,12.6
1713,E02002239,29500.0,5.2,9.0,18.2
1714,E02002240,34300.0,3.7,15.2,21.2
1715,E02002241,28100.0,6.3,43.4,14.3
1716,E02002242,31100.0,4.6,20.5,15.7
1717,E02002243,29300.0,5.9,16.6,15.3
1718,E02002244,31400.0,3.5,6.6,18.1
1719,E02002245,26600.0,10.5,9.9,10.6
1720,E02002246,30700.0,2.4,10.7,26.3
1721,E02002247,36000.0,3.8,1.0,49.6
1722,E02002248,27500.0,7.2,34.0,11.8
1723,E02002249,26600.0,8.8,45.5,11.9
1724,E02002250,30400.0,3.8,2.0,34.3
1725,E02002251,26100.0,7.4,12.3,18.7
1726,E02002252,30100.0,3.4,11.5,19.5
1727,E02002253,23600.0,7.0,53.9,14.0
1728,E02002254,33300.0,2.4,12.5,32.1
1729,E02002255,22300.0,9.5,58.5,11.4
1730,E02002256,29500.0,4.9,3.9,28.9
1731,E02002257,23600.0,8.2,103.9,14.3
1732,E02002258,32200.0,3.8,7.8,27.4
1733,E02002259,28600.0,4.0,34.3,30.9
1734,E02002260,28700.0,5.1,37.2,22.8
1735,E02002261,29300.0,5.0,11.3,20.9
1736,E02002262,27900.0,4.9,14.8,24.2
1737,E02002263,29100.0,4.8,5.6,23.8
1738,E02002264,34200.0,2.7,29.8,36.6
1739,E02002265,34000.0,4.9,2.6,28.5
1740,E02002266,32800.0,2.9,24.8,28.1
1741,E02002267,32900.0,5.2,15.2,21.1
1742,E02002268,28600.0,5.6,15.2,21.0
1743,E02002269,36400.0,3.6,6.5,28.9
1744,E02002270,38500.0,2.8,1.4,38.3
1745,E02002271,34300.0,2.7,10.8,25.6
1746,E02002272,32400.0,4.9,17.8,18.5
1747,E02002273,31800.0,4.0,8.8,23.2
1748,E02002274,35100.0,3.4,20.4,26.0
1749,E02002275,30600.0,5.0,34.7,20.2
1750,E02002276,28700.0,5.1,24.6,18.7
1751,E02002277,26400.0,5.1,16.8,18.1
1752,E02002278,30100.0,5.3,21.6,20.6
1753,E02002279,29300.0,5.8,19.8,17.2
1754,E02002280,24300.0,7.1,46.2,11.6
1755,E02002281,26900.0,5.3,52.1,16.0
1756,E02002282,26400.0,6.2,66.6,14.7
1757,E02002283,26000.0,6.5,47.4,13.4
1758,E02002284,31900.0,4.6,21.1,17.9
1759,E02002285,33200.0,2.9,10.0,23.4
1760,E02002286,26700.0,6.8,43.9,17.6
1761,E02002287,26400.0,6.6,39.4,20.6
1762,E02002288,28600.0,5.7,31.2,13.7
1763,E02002289,26600.0,7.1,34.5,12.0
1764,E02002290,32100.0,2.7,18.1,26.2
1765,E02002291,31900.0,4.1,30.7,23.8
1766,E02002292,30400.0,4.1,11.0,30.9
1767,E02002293,25400.0,7.7,38.0,10.2
1768,E02002294,25400.0,4.8,32.1,14.0
1769,E02002295,24600.0,9.0,26.4,17.3
1770,E02002296,32200.0,2.9,8.8,27.6
1771,E02002297,31200.0,3.8,14.7,36.0
1772,E02002298,28100.0,5.3,7.0,18.4
1773,E02002299,21400.0,8.9,18.3,16.0
1774,E02002300,36700.0,2.9,30.4,31.3
1775,E02002301,23100.0,6.3,73.4,23.8
1776,E02002302,33700.0,2.7,7.4,28.8
1777,E02002303,30600.0,4.2,43.0,31.5
1778,E02002304,26100.0,5.0,42.5,32.9
1779,E02002305,25000.0,7.6,34.8,15.8
1780,E02002306,35500.0,2.7,8.4,30.7
1781,E02002307,28200.0,4.2,24.2,17.8
1782,E02002308,32400.0,4.4,28.0,27.5
1783,E02002309,24100.0,6.2,37.6,24.6
1784,E02002310,26800.0,5.1,50.2,20.6
1785,E02002311,31900.0,4.7,31.5,24.0
1786,E02002312,24700.0,5.3,37.8,22.4
1787,E02002313,23700.0,7.6,80.3,18.2
1788,E02002314,30800.0,4.8,14.6,29.1
1789,E02002315,30900.0,6.9,28.6,21.1
1790,E02002316,34400.0,2.9,4.3,27.1
1791,E02002317,28000.0,6.4,35.8,18.8
1792,E02002318,26500.0,5.5,20.0,20.5
1793,E02002319,32900.0,4.1,11.4,25.9
1794,E02002320,29300.0,4.6,11.1,28.4
1795,E02002321,38900.0,1.9,3.6,30.2
1796,E02002322,31600.0,3.4,1.2,33.7
1797,E02002323,37400.0,3.1,7.5,35.7
1798,E02002324,33900.0,2.7,3.8,29.6
1799,E02002325,33400.0,2.8,3.7,28.6
1800,E02002326,35500.0,2.6,4.6,37.7
1801,E02002327,37600.0,2.2,4.3,34.4
1802,E02002328,36200.0,2.7,2.1,39.0
1803,E02002329,34600.0,2.8,4.6,37.8
1804,E02002330,44400.0,2.0,19.1,39.4
1805,E02002331,34800.0,2.8,3.2,24.4
1806,E02002332,30700.0,3.2,20.8,28.2
1807,E02002333,35700.0,3.1,8.5,36.0
1808,E02002334,41100.0,2.1,2.8,40.8
1809,E02002335,38300.0,2.0,1.5,43.7
1810,E02002336,40600.0,1.8,2.3,44.9
1811,E02002337,36900.0,1.9,5.0,41.1
1812,E02002338,38200.0,3.1,32.6,35.1
1813,E02002339,30400.0,4.6,38.3,21.5
1814,E02002340,31100.0,2.8,25.7,24.4
1815,E02002341,41700.0,2.5,5.3,46.0
1816,E02002342,36600.0,4.0,18.3,32.2
1817,E02002343,42400.0,2.4,19.7,34.6
1818,E02002344,35300.0,3.2,40.6,43.1
1819,E02002345,49100.0,2.8,10.5,49.3
1820,E02002346,34900.0,4.9,39.7,27.5
1821,E02002347,27900.0,6.3,33.0,25.2
1822,E02002348,31500.0,5.1,26.2,31.8
1823,E02002349,42600.0,3.5,12.4,51.9
1824,E02002350,49100.0,1.7,15.4,38.8
1825,E02002351,39500.0,2.3,3.1,35.9
1826,E02002352,40600.0,3.1,46.4,44.9
1827,E02002353,41000.0,3.6,47.7,51.6
1828,E02002354,32100.0,4.4,38.8,35.1
1829,E02002356,41900.0,2.2,13.7,45.6
1830,E02002357,37300.0,3.4,44.9,37.3
1831,E02002358,31400.0,4.1,26.5,18.4
1832,E02002359,39800.0,2.7,1.4,34.3
1833,E02002360,40800.0,4.3,41.1,43.0
1834,E02002361,36400.0,4.3,30.2,45.5
1835,E02002362,26200.0,7.3,30.4,22.2
1836,E02002363,42800.0,3.0,47.5,56.9
1837,E02002364,26000.0,9.2,35.9,8.8
1838,E02002366,32300.0,4.4,34.8,35.1
1839,E02002367,26400.0,9.2,34.1,24.9
1840,E02002368,42100.0,2.1,10.6,36.9
1841,E02002369,25900.0,8.4,42.0,13.9
1842,E02002370,26500.0,6.7,35.4,11.2
1843,E02002371,23700.0,8.2,57.1,28.2
1844,E02002373,20600.0,2.7,111.1,24.9
1845,E02002374,35000.0,5.1,40.9,37.3
1846,E02002375,31000.0,5.4,25.9,14.2
1847,E02002376,22100.0,9.0,70.7,14.2
1848,E02002377,22700.0,10.3,153.3,17.1
1849,E02002379,25200.0,9.9,43.6,9.9
1850,E02002380,32600.0,3.6,38.4,18.5
1851,E02002381,35500.0,4.8,28.4,26.7
1852,E02002382,19400.0,11.0,173.0,15.4
1853,E02002383,23400.0,3.5,212.9,21.7
1854,E02002384,22600.0,5.4,68.0,28.3
1855,E02002385,24800.0,5.8,64.0,37.8
1856,E02002386,33500.0,3.0,12.4,21.2
1857,E02002387,26000.0,6.6,47.6,16.7
1858,E02002388,28900.0,7.1,41.5,21.0
1859,E02002389,22200.0,9.0,35.6,12.0
1860,E02002390,30600.0,5.7,34.8,15.4
1861,E02002391,36500.0,3.7,34.5,26.9
1862,E02002392,22500.0,2.5,82.5,23.7
1863,E02002393,21000.0,11.5,65.2,19.9
1864,E02002394,20700.0,10.3,75.3,13.3
1865,E02002395,32300.0,3.5,23.2,28.7
1866,E02002396,31000.0,5.7,41.6,23.1
1867,E02002397,31000.0,4.4,41.2,19.0
1868,E02002398,32800.0,3.6,9.1,22.4
1869,E02002399,25000.0,6.7,15.6,13.7
1870,E02002400,25400.0,8.0,33.3,16.8
1871,E02002401,23300.0,9.2,17.2,10.4
1872,E02002402,38100.0,2.7,13.0,28.8
1873,E02002403,31300.0,3.1,25.1,23.2
1874,E02002404,32700.0,7.1,60.7,28.5
1875,E02002405,33100.0,3.5,18.4,23.0
1876,E02002406,37600.0,1.9,27.2,25.1
1877,E02002407,25000.0,9.3,49.7,12.0
1878,E02002408,33400.0,3.7,25.4,25.6
1879,E02002409,29800.0,6.0,12.2,14.7
1880,E02002410,30800.0,4.6,31.6,18.4
1881,E02002411,25700.0,9.2,40.3,27.9
1882,E02002412,33800.0,4.4,14.0,21.4
1883,E02002414,21700.0,9.4,51.5,14.4
1884,E02002415,20700.0,13.6,102.6,15.4
1885,E02002416,30100.0,2.9,4.4,16.8
1886,E02002417,35700.0,3.0,2.6,19.8
1887,E02002418,33300.0,2.8,27.1,20.0
1888,E02002419,25200.0,7.5,27.9,12.0
1889,E02002420,27100.0,5.6,42.2,17.9
1890,E02002421,25200.0,9.3,43.4,8.3
1891,E02002422,34000.0,2.7,20.7,24.3
1892,E02002423,27900.0,7.9,37.0,9.9
1893,E02002424,34200.0,3.5,18.2,22.7
1894,E02002425,29100.0,3.8,13.8,21.5
1895,E02002426,36600.0,2.6,21.5,27.1
1896,E02002427,30700.0,3.9,35.9,19.2
1897,E02002428,31600.0,5.0,20.7,16.4
1898,E02002429,32800.0,3.0,5.0,23.8
1899,E02002430,25300.0,8.9,28.0,8.5
1900,E02002431,33700.0,4.4,25.1,23.6
1901,E02002432,33100.0,3.4,6.5,20.7
1902,E02002433,29200.0,4.8,42.0,21.2
1903,E02002434,38200.0,3.8,16.9,23.2
1904,E02002435,33000.0,3.5,9.2,23.4
1905,E02002436,31500.0,4.3,11.1,18.1
1906,E02002437,35200.0,2.9,11.5,24.6
1907,E02006852,40200.0,2.2,26.2,47.2
1908,E02006861,21600.0,2.9,95.8,27.9
1909,E02006875,45000.0,2.6,53.0,51.1
1910,E02006876,33800.0,4.8,15.9,33.0
1911,E02002438,29100.0,7.6,17.2,7.5
1912,E02002439,29300.0,4.7,26.9,11.0
1913,E02002440,30000.0,6.2,29.6,11.7
1914,E02002441,31600.0,5.7,34.2,11.4
1915,E02002442,31800.0,3.6,18.9,17.0
1916,E02002443,36700.0,2.9,17.3,23.6
1917,E02002444,33700.0,3.7,6.6,23.2
1918,E02002445,32500.0,4.0,22.3,18.9
1919,E02002446,35500.0,2.6,8.3,20.6
1920,E02002447,31000.0,5.8,11.6,10.0
1921,E02002448,28800.0,6.0,10.5,9.0
1922,E02002449,35300.0,3.9,19.9,17.2
1923,E02002450,34900.0,3.6,14.6,18.7
1924,E02002451,35800.0,3.3,13.4,25.4
1925,E02002452,30500.0,6.6,11.0,16.6
1926,E02002453,29200.0,5.8,9.6,13.4
1927,E02002454,25500.0,6.6,37.7,22.9
1928,E02002455,31200.0,6.4,24.9,11.1
1929,E02002456,35100.0,5.2,45.0,23.6
1930,E02002457,27100.0,8.2,46.9,14.0
1931,E02002458,33900.0,3.6,13.1,19.7
1932,E02002459,29600.0,4.8,24.7,17.6
1933,E02002460,33100.0,3.2,19.6,28.6
1934,E02002461,32700.0,4.4,7.1,16.3
1935,E02002462,35000.0,4.2,14.3,21.2
1936,E02002463,26500.0,9.1,41.7,9.6
1937,E02002464,29500.0,5.5,12.4,9.9
1938,E02002465,31300.0,4.7,14.6,22.7
1939,E02002466,34300.0,3.8,27.6,21.4
1940,E02002467,27600.0,7.7,21.0,18.2
1941,E02002468,33400.0,3.9,19.5,27.2
1942,E02002469,36600.0,3.0,4.1,21.9
1943,E02002470,43000.0,2.2,15.1,46.8
1944,E02002471,38800.0,2.3,2.6,31.4
1945,E02002472,37800.0,3.0,4.3,24.9
1946,E02002473,34100.0,3.3,8.7,24.1
1947,E02002474,32300.0,5.8,14.4,18.0
1948,E02002475,39300.0,2.1,1.7,37.4
1949,E02002476,28300.0,6.4,6.5,8.7
1950,E02002477,30500.0,5.1,5.6,15.0
1951,E02002478,31900.0,4.6,4.6,13.8
1952,E02002479,29100.0,5.0,11.4,13.9
1953,E02002480,29000.0,5.6,25.0,11.1
1954,E02002481,29000.0,4.8,11.7,12.6
1955,E02002482,30100.0,6.1,9.3,10.9
1956,E02002796,53000.0,2.1,18.1,40.1
1957,E02002797,47200.0,2.3,23.7,36.5
1958,E02002798,49300.0,2.2,40.5,34.7
1959,E02002799,26200.0,5.7,28.7,13.3
1960,E02002800,34200.0,2.6,22.3,44.8
1961,E02002801,31100.0,4.1,47.3,15.1
1962,E02002802,26000.0,8.3,26.5,11.3
1963,E02002803,27300.0,4.6,43.3,28.5
1964,E02002804,28400.0,5.4,41.0,15.2
1965,E02002805,32100.0,2.2,24.9,26.1
1966,E02002806,30000.0,5.0,83.5,27.1
1967,E02002807,32300.0,4.7,31.1,15.1
1968,E02002808,26700.0,6.7,58.4,25.2
1969,E02002809,28900.0,4.6,11.9,18.0
1970,E02002810,53700.0,2.3,29.2,34.5
1971,E02002811,22400.0,9.4,111.5,18.1
1972,E02002812,32400.0,3.6,29.3,34.2
1973,E02002813,21000.0,10.6,63.0,15.9
1974,E02002814,34600.0,2.3,33.2,34.4
1975,E02002815,23600.0,8.2,103.1,17.7
1976,E02002816,44200.0,3.2,28.6,42.5
1977,E02002817,32500.0,3.2,37.4,30.0
1978,E02002818,23600.0,8.5,67.3,15.7
1979,E02002819,27600.0,4.8,15.3,22.4
1980,E02002820,29500.0,6.9,56.2,15.9
1981,E02002821,25900.0,9.3,41.3,11.2
1982,E02002822,28600.0,4.1,39.7,22.3
1983,E02002823,26900.0,4.5,38.2,13.8
1984,E02002824,28600.0,6.4,18.1,14.6
1985,E02002825,30800.0,3.3,31.0,28.8
1986,E02002826,38800.0,3.6,29.8,31.6
1987,E02002827,31600.0,5.9,12.9,21.0
1988,E02002828,27100.0,4.9,21.2,20.5
1989,E02002829,24900.0,8.7,36.8,10.1
1990,E02002830,28400.0,8.0,25.9,21.3
1991,E02002831,25600.0,5.7,54.7,16.4
1992,E02002832,23000.0,6.2,69.2,17.0
1993,E02002833,23900.0,6.8,98.7,16.2
1994,E02002834,31000.0,4.2,34.5,22.8
1995,E02002835,33500.0,4.8,39.0,30.3
1996,E02002836,21200.0,6.4,81.6,14.9
1997,E02002837,24300.0,9.1,75.4,11.6
1998,E02002838,24600.0,8.3,43.9,10.1
1999,E02002839,28500.0,5.3,54.6,18.0
2000,E02002842,28100.0,7.0,108.1,20.8
2001,E02002843,24200.0,7.2,146.8,12.5
2002,E02002844,21700.0,8.8,122.5,10.4
2003,E02002845,23800.0,7.7,49.1,17.5
2004,E02002846,42300.0,3.5,26.3,30.6
2005,E02002847,24100.0,6.2,71.9,16.5
2006,E02002848,24700.0,8.2,216.6,16.3
2007,E02002849,29200.0,5.1,116.7,28.8
2008,E02002851,32400.0,4.5,26.1,28.1
2009,E02002852,22500.0,9.6,34.3,8.0
2010,E02002853,29300.0,6.4,95.3,26.5
2011,E02002854,26000.0,6.8,56.5,14.2
2012,E02002855,33800.0,4.7,54.7,33.0
2013,E02002856,37100.0,2.9,46.9,46.8
2014,E02002857,33000.0,5.5,43.0,24.7
2015,E02002858,38800.0,2.6,34.6,50.2
2016,E02002860,30500.0,4.9,24.2,20.7
2017,E02002861,24000.0,9.0,47.0,9.2
2018,E02002862,22500.0,6.8,59.8,9.3
2019,E02006815,23900.0,6.9,48.6,12.2
2020,E02006817,29700.0,4.2,40.9,29.1
2021,E02006819,27400.0,8.1,40.6,11.3
2022,E02006850,21900.0,5.0,115.6,23.7
2023,E02006851,42500.0,4.5,85.9,34.2
2024,E02002868,30600.0,5.0,36.9,18.2
2025,E02002869,21400.0,9.5,25.9,9.1
2026,E02002871,28300.0,6.3,44.6,14.6
2027,E02002872,25100.0,9.3,36.1,10.7
2028,E02002873,29900.0,9.1,59.5,16.1
2029,E02002874,28900.0,6.1,44.6,25.9
2030,E02002875,26600.0,8.3,56.6,18.8
2031,E02002876,27700.0,6.6,36.4,18.9
2032,E02002877,34800.0,4.4,51.4,42.0
2033,E02002878,25100.0,11.4,59.6,8.9
2034,E02002879,36100.0,5.7,67.1,32.4
2035,E02002880,25200.0,10.9,76.0,10.7
2036,E02002881,24000.0,8.7,34.4,10.3
2037,E02002882,33600.0,6.1,43.0,45.2
2038,E02002883,28800.0,7.3,55.1,23.5
2039,E02002884,29100.0,7.6,107.9,31.0
2040,E02002885,26600.0,8.8,122.0,20.9
2041,E02002886,28500.0,5.6,41.0,19.5
2042,E02002887,19500.0,5.6,31.5,12.0
2043,E02002888,24200.0,10.6,67.1,13.9
2044,E02002889,25900.0,5.2,89.5,19.3
2045,E02002890,20900.0,5.5,113.3,19.4
2046,E02002891,30200.0,5.9,33.6,16.5
2047,E02002892,24800.0,7.2,35.5,15.9
2048,E02002893,20700.0,5.0,124.8,20.7
2049,E02002894,48900.0,3.3,24.1,40.7
2050,E02002895,61700.0,2.8,73.1,39.6
2051,E02002896,26800.0,9.3,36.6,23.6
2052,E02002897,37100.0,3.5,31.4,38.1
2053,E02002898,30200.0,2.9,21.3,26.9
2054,E02002899,22000.0,2.4,38.5,21.9
2055,E02002901,39300.0,4.2,30.4,24.9
2056,E02002902,25600.0,5.7,33.0,10.3
2057,E02002903,23800.0,6.7,22.7,13.6
2058,E02002904,25800.0,6.5,47.1,9.6
2059,E02006834,22700.0,8.4,57.5,10.2
2060,E02006904,48100.0,5.1,53.5,39.6
2061,E02006905,23400.0,7.0,32.3,24.1
2062,E02002863,39200.0,2.1,0.5,29.6
2063,E02002864,34300.0,2.5,2.2,27.5
2064,E02002865,38600.0,2.8,14.6,33.8
2065,E02002866,43700.0,2.4,0.9,36.1
2066,E02002867,37800.0,2.1,0.8,36.2
2067,E02004029,26700.0,5.3,15.9,14.9
2068,E02004030,36500.0,2.4,1.5,33.8
2069,E02004031,23100.0,7.1,11.5,10.0
2070,E02004032,33500.0,3.2,13.3,20.4
2071,E02004033,28300.0,4.2,8.4,16.9
2072,E02004034,29200.0,2.6,7.3,22.5
2073,E02004035,43200.0,2.0,1.2,33.1
2074,E02004036,28300.0,5.0,18.6,14.7
2075,E02004037,42700.0,2.6,24.9,29.0
2076,E02004038,30200.0,4.3,12.0,31.1
2077,E02004039,40500.0,2.8,8.9,29.3
2078,E02004040,32900.0,4.7,7.9,17.6
2079,E02004041,37600.0,4.1,32.6,19.0
2080,E02004043,35900.0,3.3,3.6,24.9
2081,E02004044,43400.0,2.1,1.4,46.3
2082,E02006827,25200.0,5.5,5.5,12.6
2083,E02004045,33400.0,3.2,4.6,22.2
2084,E02004046,29000.0,3.3,2.6,18.2
2085,E02004047,28200.0,5.7,6.9,14.1
2086,E02004048,25800.0,6.2,4.2,14.4
2087,E02004049,30700.0,3.5,7.4,18.1
2088,E02004050,26300.0,5.2,24.2,9.4
2089,E02004051,29300.0,5.6,3.4,10.9
2090,E02004052,29100.0,4.4,2.5,19.2
2091,E02004053,28900.0,5.7,14.1,13.3
2092,E02004054,34000.0,4.3,10.4,17.0
2093,E02004055,24800.0,4.7,9.4,17.9
2094,E02004056,26200.0,6.1,7.4,11.1
2095,E02004057,28800.0,5.3,8.0,15.6
2096,E02004058,24600.0,6.2,15.9,13.3
2097,E02004059,29500.0,3.4,11.6,20.8
2098,E02004060,28900.0,4.3,11.1,14.0
2099,E02004061,31800.0,5.2,34.5,19.4
2100,E02004062,29800.0,4.2,26.0,23.7
2101,E02004063,31400.0,3.0,40.0,29.6
2102,E02004064,29800.0,5.8,28.3,23.9
2103,E02004065,40800.0,2.0,24.5,38.3
2104,E02004066,32700.0,3.9,24.8,24.7
2105,E02004067,26700.0,7.3,42.8,13.3
2106,E02004068,39900.0,2.3,0.8,39.8
2107,E02004069,39400.0,2.2,0.5,41.9
2108,E02004070,35200.0,2.0,0.5,31.7
2109,E02004071,34300.0,2.5,1.8,28.8
2110,E02004072,38900.0,2.7,5.1,34.9
2111,E02004073,30900.0,3.6,1.9,31.0
2112,E02004074,34300.0,3.4,3.7,31.0
2113,E02004075,40900.0,2.3,0.4,34.6
2114,E02004076,33000.0,3.0,20.7,24.4
2115,E02004077,44900.0,2.6,0.5,33.2
2116,E02004078,24300.0,8.0,29.8,9.1
2117,E02004080,28400.0,6.6,34.3,13.7
2118,E02004081,39700.0,2.7,2.4,31.1
2119,E02004082,37000.0,2.4,3.5,28.8
2120,E02004083,35300.0,4.5,26.7,15.8
2121,E02004084,23200.0,5.1,23.4,9.9
2122,E02004085,31100.0,4.4,5.2,23.2
2123,E02004086,34600.0,3.2,8.5,28.7
2124,E02004087,30200.0,4.9,46.9,19.2
2125,E02004088,40700.0,2.7,22.9,28.7
2126,E02004089,31200.0,7.2,41.1,17.4
2127,E02004090,31300.0,4.2,5.1,26.0
2128,E02004091,33500.0,3.7,14.2,21.2
2129,E02004092,28300.0,4.1,33.2,19.6
2130,E02006828,46100.0,3.5,37.4,20.4
2131,E02004093,36000.0,4.7,1.3,28.1
2132,E02004094,27000.0,6.6,26.3,18.6
2133,E02004095,29000.0,5.0,27.2,29.4
2134,E02004096,45100.0,2.7,1.4,38.8
2135,E02004097,40200.0,3.2,3.1,36.0
2136,E02004098,34000.0,3.5,2.0,26.6
2137,E02004100,42100.0,2.7,2.0,37.0
2138,E02004102,28100.0,4.5,7.6,29.4
2139,E02004103,28500.0,4.8,20.1,15.0
2140,E02004104,41600.0,2.5,1.2,31.0
2141,E02006872,35700.0,2.7,0.5,28.7
2142,E02004105,31600.0,3.7,15.2,16.6
2143,E02004106,32300.0,2.6,3.5,25.3
2144,E02004108,28800.0,4.1,5.6,21.9
2145,E02004109,37100.0,2.1,1.5,33.4
2146,E02004110,42000.0,2.5,20.6,30.0
2147,E02004111,29800.0,2.9,2.3,21.1
2148,E02004112,38200.0,2.1,1.5,36.1
2149,E02004113,26500.0,6.2,7.9,11.8
2150,E02004114,33800.0,2.4,1.5,29.8
2151,E02004115,31400.0,4.0,8.9,19.8
2152,E02004116,24900.0,5.3,15.4,13.3
2153,E02004117,30700.0,3.7,2.4,19.4
2154,E02006804,29600.0,4.7,7.9,16.6
2155,E02004118,45600.0,2.4,0.9,32.1
2156,E02004119,49700.0,2.3,4.6,39.1
2157,E02004120,40000.0,3.1,5.5,26.4
2158,E02004121,47300.0,2.2,1.8,36.1
2159,E02004122,41000.0,1.8,1.4,39.7
2160,E02004123,36400.0,2.4,1.7,35.3
2161,E02004124,32600.0,3.7,24.4,15.7
2162,E02004125,31800.0,4.4,13.4,14.1
2163,E02004126,29500.0,3.2,30.3,16.3
2164,E02004128,32400.0,3.0,1.7,22.7
2165,E02006919,39400.0,3.7,26.0,18.9
2166,E02006920,34700.0,3.9,15.6,18.4
2167,E02005334,40700.0,2.1,38.3,25.8
2168,E02005335,32900.0,2.4,3.1,33.2
2169,E02005336,39000.0,3.9,30.2,26.4
2170,E02005337,30000.0,3.9,39.5,19.6
2171,E02005338,30400.0,2.8,7.5,22.7
2172,E02005339,39200.0,2.5,15.1,29.3
2173,E02005340,29800.0,3.5,14.8,19.9
2174,E02005341,36000.0,2.5,8.8,22.9
2175,E02005342,36700.0,2.4,3.3,23.3
2176,E02005343,37900.0,1.9,5.3,24.9
2177,E02005344,36400.0,2.7,3.5,28.1
2178,E02006820,37700.0,2.9,20.8,25.5
2179,E02005345,41900.0,3.1,7.6,27.9
2180,E02005346,28700.0,6.4,16.7,25.4
2181,E02005347,29300.0,2.7,59.5,22.2
2182,E02005348,36800.0,2.7,15.6,28.7
2183,E02005349,37600.0,2.6,8.1,21.3
2184,E02005350,30300.0,2.8,7.2,22.9
2185,E02005351,24400.0,1.8,56.5,20.3
2186,E02005352,42500.0,2.1,0.8,40.7
2187,E02005353,33000.0,4.3,29.2,27.2
2188,E02005354,48500.0,2.1,10.6,42.8
2189,E02005355,38900.0,2.9,6.3,31.8
2190,E02005356,42200.0,2.3,6.6,38.7
2191,E02005357,35900.0,3.7,10.4,20.8
2192,E02005358,38100.0,3.1,16.6,29.0
2193,E02005359,37300.0,2.6,1.9,23.8
2194,E02005360,46600.0,1.7,1.3,40.0
2195,E02005361,31200.0,3.4,13.2,24.3
2196,E02005362,34100.0,2.7,40.9,17.8
2197,E02005363,39700.0,2.6,14.3,27.2
2198,E02005364,36100.0,2.9,51.7,24.1
2199,E02005365,30500.0,4.4,22.1,17.1
2200,E02005366,32300.0,2.9,14.4,22.5
2201,E02005368,47100.0,2.1,0.3,39.1
2202,E02005369,41200.0,2.2,2.3,36.2
2203,E02005370,40900.0,2.3,9.2,27.8
2204,E02005371,42100.0,2.3,1.0,31.2
2205,E02005372,38700.0,1.9,0.7,35.7
2206,E02005373,40300.0,2.1,4.7,32.1
2207,E02005374,26200.0,4.1,34.8,22.7
2208,E02005375,40700.0,2.9,19.2,33.1
2209,E02005376,36800.0,2.8,9.3,27.1
2210,E02006816,42400.0,2.4,3.3,33.1
2211,E02005377,35700.0,2.2,2.7,26.3
2212,E02005378,48800.0,2.4,6.8,28.8
2213,E02005379,40500.0,2.4,6.8,24.6
2214,E02005380,35200.0,2.0,0.9,31.8
2215,E02005381,34200.0,2.3,2.0,27.3
2216,E02005382,29000.0,4.9,13.2,17.4
2217,E02005383,34000.0,4.1,10.8,16.8
2218,E02005384,39900.0,2.5,1.1,29.9
