,MSOA code,Net annual income (£),Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Pop_Per_Hectare,percent_at_or_above_qual_level_4
113,E02005707,29900.0,2.8,0.3,25.7
114,E02005708,27600.0,3.1,0.1,25.4
115,E02005702,31000.0,2.9,0.4,36.0
116,E02005703,29000.0,5.0,3.9,22.1
117,E02005704,30100.0,5.1,1.2,26.9
118,E02005705,34100.0,2.6,0.1,36.5
119,E02005720,28100.0,5.7,1.7,19.5
120,E02005734,25600.0,7.7,7.1,14.4
121,E02005735,26500.0,10.1,53.1,12.1
122,E02005721,31200.0,4.2,3.0,29.9
123,E02005737,29800.0,4.8,5.6,21.1
124,E02005736,31000.0,8.2,11.5,15.1
125,E02005738,33500.0,4.1,23.3,20.0
126,E02005722,37900.0,1.9,0.2,42.5
127,E02005723,27700.0,5.2,20.6,28.7
128,E02005739,29500.0,5.2,9.4,18.3
129,E02005724,44600.0,2.4,16.9,47.7
130,E02005727,33500.0,2.6,0.1,29.5
131,E02005740,27100.0,7.0,8.8,15.4
132,E02005741,31200.0,3.9,6.5,25.6
133,E02005709,25000.0,9.4,30.0,8.1
134,E02005710,25200.0,6.5,43.7,17.2
135,E02005711,25400.0,6.5,47.6,10.4
136,E02005712,30200.0,5.8,8.4,15.9
137,E02005713,33700.0,2.6,21.7,25.2
138,E02005714,34700.0,1.8,39.1,35.4
139,E02005716,30000.0,3.7,29.0,18.7
140,E02005715,25600.0,6.8,5.6,14.8
141,E02005717,29600.0,3.3,5.1,23.5
142,E02005718,28400.0,2.8,22.9,21.7
143,E02005719,28900.0,5.1,6.3,19.8
144,E02005725,35200.0,2.1,1.5,40.1
145,E02005726,40200.0,2.0,0.7,44.0
146,E02005730,32600.0,3.4,3.7,36.4
147,E02005729,33900.0,2.4,1.1,44.5
148,E02005728,28200.0,3.1,0.2,23.5
149,E02005731,32100.0,3.7,12.3,24.5
150,E02005732,36800.0,2.0,0.5,45.0
151,E02005733,33600.0,2.7,0.2,37.2
152,E02002515,23500.0,11.0,52.4,15.5
153,E02002516,25200.0,7.1,44.7,14.3
154,E02002517,24700.0,7.0,1.6,11.4
155,E02002518,31500.0,3.9,35.4,25.5
156,E02002519,23300.0,7.2,47.4,14.8
157,E02002520,28800.0,4.0,10.3,24.7
158,E02002521,28000.0,6.0,19.8,33.3
159,E02002523,25800.0,14.8,30.3,5.9
160,E02002524,31200.0,6.5,7.2,14.6
161,E02002525,26500.0,6.6,20.4,12.2
162,E02002526,29300.0,5.5,5.6,17.7
163,E02002527,23900.0,8.6,12.4,10.2
164,E02002529,28400.0,6.2,20.1,16.7
165,E02002530,27400.0,6.4,0.8,16.1
166,E02002532,24900.0,7.5,3.2,18.6
167,E02002533,35800.0,3.6,29.7,34.3
168,E02002534,36800.0,3.1,1.3,35.1
169,E02006812,27700.0,6.9,19.2,17.6
170,E02006910,25800.0,7.4,16.3,13.6
171,E02002535,32800.0,3.4,27.1,25.9
172,E02002536,27500.0,5.9,46.7,15.9
173,E02002537,26100.0,9.4,3.2,10.7
174,E02002538,29100.0,6.5,9.2,15.8
175,E02002539,36600.0,2.5,1.1,35.1
176,E02002540,33500.0,2.5,24.4,30.7
177,E02002541,31100.0,5.7,34.1,22.6
178,E02002542,25800.0,8.1,41.6,10.0
179,E02002543,27500.0,7.7,37.8,14.1
180,E02002544,23800.0,9.3,29.5,13.4
181,E02002545,32000.0,3.7,21.9,21.5
182,E02002546,26000.0,10.1,38.4,14.1
183,E02002547,30100.0,3.7,32.7,25.4
184,E02002548,25700.0,11.1,17.1,14.4
185,E02002549,30700.0,3.2,20.3,26.0
186,E02002550,30300.0,5.6,23.2,29.1
187,E02002551,23600.0,7.9,21.0,14.6
188,E02002552,29500.0,6.7,43.7,14.9
189,E02002553,25800.0,5.5,40.2,16.7
190,E02002554,23600.0,8.5,16.8,10.1
191,E02002555,33900.0,3.5,14.4,35.6
192,E02002556,40000.0,2.9,5.2,34.1
193,E02002557,45800.0,2.8,38.0,37.8
194,E02002558,36400.0,3.0,5.7,40.1
195,E02001682,30400.0,3.8,10.6,27.3
196,E02001683,30900.0,3.2,6.9,27.5
197,E02001684,24600.0,7.0,18.0,18.5
198,E02001685,28000.0,5.9,45.0,16.7
199,E02001686,28900.0,3.9,11.9,21.0
200,E02001688,28800.0,8.0,15.5,20.5
201,E02001689,24500.0,6.3,77.4,18.7
202,E02001690,31200.0,4.6,19.9,24.9
203,E02001691,28400.0,6.5,64.6,27.0
204,E02001692,26000.0,7.5,54.8,12.6
205,E02001693,25700.0,6.7,52.1,13.5
206,E02001694,29500.0,3.7,27.3,18.3
207,E02001695,32200.0,3.2,16.0,22.9
208,E02001696,26600.0,5.8,40.4,11.8
209,E02001697,31400.0,2.7,51.8,33.4
210,E02001698,31700.0,2.1,35.7,31.2
211,E02001699,25600.0,4.8,31.8,14.3
212,E02001700,30500.0,3.9,6.2,22.2
213,E02001701,33000.0,2.1,40.5,31.8
214,E02001702,25700.0,7.3,41.1,10.6
215,E02001703,34500.0,3.3,5.5,29.0
216,E02001704,25700.0,5.6,45.8,13.2
217,E02001705,28800.0,5.6,3.6,20.4
218,E02001706,28100.0,5.0,3.2,16.5
219,E02001707,26600.0,4.5,21.3,16.8
220,E02006841,29300.0,6.3,34.5,32.3
221,E02006842,26200.0,5.5,82.3,25.9
222,E02001708,31400.0,3.6,5.8,29.1
223,E02001709,39400.0,2.7,12.6,50.4
224,E02001710,24800.0,6.3,48.8,17.7
225,E02001711,25100.0,6.3,5.3,16.4
226,E02001712,39000.0,2.2,47.3,54.8
227,E02001713,36700.0,2.6,43.1,52.9
228,E02001714,38300.0,2.8,31.6,41.8
229,E02001715,29000.0,6.7,33.0,25.0
230,E02001718,25100.0,6.4,44.6,10.9
231,E02001719,31800.0,3.3,43.7,35.0
232,E02001720,51000.0,1.5,72.8,33.6
233,E02001721,28000.0,4.8,10.7,19.2
234,E02001722,26400.0,5.6,46.5,14.3
235,E02001723,28500.0,5.1,49.0,26.0
236,E02001724,33100.0,2.2,75.1,39.4
237,E02001725,29000.0,4.6,95.9,37.3
238,E02001726,27100.0,5.1,51.0,17.9
239,E02001727,29500.0,6.4,39.5,14.8
240,E02001728,27900.0,5.2,24.5,17.1
241,E02001729,21300.0,5.8,83.8,33.5
242,E02001730,22500.0,3.5,106.2,29.1
243,E02001731,22900.0,4.6,39.5,32.0
244,E02001732,27500.0,7.0,25.2,13.2
245,E02001733,24700.0,8.2,37.4,16.3
246,E02001734,23200.0,7.7,40.9,14.5
247,E02001735,22500.0,8.9,62.3,6.7
248,E02001736,23900.0,9.1,52.9,19.7
249,E02001737,21600.0,11.4,33.4,8.2
250,E02006893,28800.0,2.9,35.8,20.8
251,E02001738,35700.0,2.0,9.9,41.6
252,E02001739,28000.0,5.3,15.2,15.2
253,E02001740,40100.0,3.0,50.7,49.5
254,E02001741,29200.0,3.5,10.6,22.8
255,E02001742,34900.0,2.9,51.6,36.9
256,E02001743,33800.0,4.5,59.0,38.0
257,E02001744,30400.0,4.3,9.7,25.9
258,E02001745,30000.0,4.7,27.8,17.0
259,E02001746,29400.0,3.9,23.1,31.0
260,E02001747,32000.0,3.3,49.7,33.8
261,E02001748,32500.0,4.0,30.3,23.5
262,E02001749,30400.0,3.7,25.2,23.7
263,E02001750,31900.0,3.1,34.4,30.1
264,E02001751,27700.0,4.5,37.7,21.0
265,E02001752,26600.0,6.8,20.3,14.6
266,E02001753,33200.0,3.4,33.5,42.6
267,E02001754,32100.0,2.8,37.2,39.4
268,E02001755,31800.0,3.5,16.0,34.6
269,E02001756,30400.0,5.6,30.7,23.2
270,E02001757,29200.0,4.0,37.5,19.0
271,E02001758,31400.0,4.9,33.4,19.6
272,E02001759,29100.0,5.3,64.6,29.5
273,E02001760,24700.0,9.2,33.7,10.2
274,E02001761,27600.0,4.1,47.7,14.9
275,E02001762,31100.0,3.4,24.3,19.5
276,E02001763,25100.0,7.8,52.9,10.9
277,E02001764,27800.0,9.6,20.3,17.2
278,E02001765,24900.0,8.6,30.6,15.8
279,E02001766,28100.0,7.1,35.3,20.9
280,E02001767,27700.0,6.4,31.7,19.2
281,E02001768,27600.0,6.7,42.8,23.3
282,E02001769,26000.0,9.8,40.0,14.3
283,E02001770,30800.0,4.7,77.2,26.9
284,E02001771,26700.0,7.5,28.9,17.9
285,E02001772,27600.0,6.1,43.7,23.0
286,E02001773,33600.0,3.9,42.5,30.2
287,E02001774,27500.0,8.5,16.9,16.0
288,E02001775,25800.0,7.7,64.3,12.1
289,E02001776,28100.0,6.5,44.6,17.6
290,E02001777,28300.0,5.6,30.2,21.2
291,E02001778,26100.0,6.8,55.8,15.9
292,E02001779,28900.0,8.7,20.8,11.7
293,E02001780,30100.0,6.8,50.0,18.7
294,E02001781,27300.0,8.0,46.9,8.9
295,E02001782,26700.0,6.3,28.8,14.3
296,E02001783,28000.0,9.4,48.8,10.5
297,E02001784,28500.0,6.6,28.5,14.9
298,E02001785,28900.0,4.9,11.9,22.7
299,E02001786,29500.0,6.7,34.8,12.3
300,E02001787,29400.0,6.4,6.8,17.8
301,E02001788,28700.0,6.3,28.3,19.5
302,E02001789,40700.0,2.7,9.0,42.2
303,E02001790,31800.0,3.9,7.2,31.5
304,E02001791,33200.0,3.2,28.7,26.9
305,E02001792,31700.0,2.8,41.6,30.9
306,E02001793,25600.0,8.4,44.0,7.6
307,E02001794,25500.0,8.4,34.0,8.6
308,E02001795,24300.0,6.8,30.9,12.1
309,E02001796,27600.0,5.0,53.2,24.1
310,E02001797,32900.0,3.7,4.6,24.2
311,E02001798,26500.0,6.7,27.5,9.7
312,E02001799,25800.0,8.3,37.8,10.0
313,E02001800,31300.0,4.8,20.4,16.7
314,E02001801,23100.0,6.2,77.9,18.6
315,E02001802,22600.0,10.0,40.5,8.6
316,E02001803,22500.0,7.4,39.6,25.8
317,E02001804,27200.0,6.0,28.9,13.7
318,E02001805,27400.0,4.9,46.2,20.4
319,E02001806,24100.0,11.2,27.9,15.7
320,E02001807,31100.0,5.4,15.2,17.6
321,E02001808,28400.0,5.0,66.5,26.0
322,E02001809,29400.0,4.0,29.4,20.5
323,E02001810,33400.0,5.1,36.9,19.1
324,E02001811,24700.0,7.2,38.3,11.3
325,E02001812,34400.0,3.2,37.3,34.6
326,E02001813,26700.0,8.6,44.4,8.0
327,E02001814,27800.0,6.3,27.5,18.7
328,E02001815,34700.0,3.4,20.1,29.1
329,E02001816,24500.0,7.1,27.0,12.2
330,E02001817,26200.0,6.1,43.4,12.7
331,E02001818,30600.0,5.5,21.2,17.7
332,E02001819,32800.0,3.2,17.8,29.0
333,E02001820,31600.0,4.8,23.3,18.5
334,E02001821,32200.0,4.3,7.2,20.2
335,E02001822,29800.0,4.6,4.5,20.4
336,E02001823,29200.0,5.0,28.2,13.5
337,E02001824,29100.0,5.0,27.4,19.6
338,E02001825,28200.0,4.2,6.7,15.6
339,E02001826,26900.0,5.9,7.1,12.1
340,E02002615,28500.0,3.9,21.3,22.6
341,E02002616,32600.0,3.5,34.5,30.8
342,E02002617,26900.0,6.8,63.5,13.3
343,E02002618,27300.0,5.9,97.1,17.5
344,E02002619,24300.0,7.3,81.2,16.3
345,E02002620,23300.0,7.4,35.8,13.6
346,E02002621,25300.0,7.3,71.6,12.6
347,E02002622,25200.0,8.2,41.5,9.8
348,E02002623,25100.0,7.0,50.3,14.1
349,E02002624,36000.0,2.0,5.7,31.0
350,E02002625,29300.0,5.7,19.4,18.4
351,E02002626,26900.0,5.1,38.4,16.8
352,E02002627,36200.0,2.6,26.4,26.1
353,E02002628,26500.0,4.8,17.7,18.7
354,E02002629,28400.0,6.3,44.4,13.7
355,E02002630,26400.0,5.7,17.5,19.0
356,E02002631,31100.0,3.7,7.6,23.8
357,E02002632,38700.0,2.1,0.8,40.1
358,E02002633,24400.0,3.5,44.0,18.0
359,E02002634,23400.0,4.3,30.8,17.2
360,E02002635,23800.0,3.9,41.8,20.2
361,E02002636,26700.0,4.6,31.2,17.3
362,E02002637,27000.0,4.5,50.4,18.2
363,E02002638,20500.0,10.1,51.5,14.0
364,E02002639,24700.0,9.3,54.1,8.8
365,E02002640,23400.0,11.5,77.2,9.2
366,E02002641,25900.0,4.7,39.2,22.2
367,E02002642,20900.0,10.8,56.9,11.1
368,E02002643,24100.0,6.9,92.8,14.0
369,E02002644,26600.0,3.5,24.9,20.5
370,E02002645,21000.0,10.9,50.8,9.9
371,E02002646,21900.0,6.2,19.0,13.1
372,E02002647,23200.0,6.1,68.1,11.5
373,E02002648,24300.0,5.6,60.7,12.6
374,E02002649,23800.0,5.2,48.7,17.5
375,E02002650,26000.0,3.7,18.8,16.8
376,E02002651,24800.0,3.6,60.1,16.6
377,E02003853,39300.0,2.1,2.2,38.6
378,E02003854,34000.0,2.7,14.6,37.8
379,E02003855,33200.0,2.3,17.0,38.8
380,E02003856,30800.0,3.9,14.6,31.5
381,E02003857,38700.0,3.7,28.9,40.5
382,E02003858,36300.0,2.4,10.0,52.6
383,E02003859,31600.0,2.3,0.7,36.3
384,E02003860,41500.0,1.8,20.8,47.6
385,E02003861,33200.0,3.9,14.8,34.0
386,E02003863,36200.0,2.2,11.8,50.5
387,E02003862,44000.0,1.9,1.4,47.7
388,E02003864,36300.0,2.0,2.7,44.9
389,E02003865,35700.0,2.5,13.6,38.0
390,E02003866,44400.0,2.2,22.8,44.0
391,E02003867,37100.0,3.5,20.7,36.5
392,E02003868,32300.0,3.9,18.2,27.5
393,E02003869,35300.0,2.7,29.9,37.4
394,E02003870,33900.0,3.6,46.2,31.8
395,E02003871,29300.0,4.3,44.6,20.9
396,E02003872,35800.0,1.6,0.5,39.8
397,E02003873,28300.0,5.3,17.0,20.2
398,E02003811,41200.0,2.0,0.9,41.0
399,E02003812,36000.0,2.1,11.7,39.4
400,E02003813,33800.0,3.6,27.7,24.3
401,E02003814,34400.0,3.6,13.7,25.7
402,E02003815,27700.0,4.9,12.6,20.8
403,E02003816,28500.0,3.8,26.9,26.4
404,E02003817,35700.0,2.7,21.8,32.1
405,E02003818,35000.0,2.1,5.0,38.4
406,E02003819,34000.0,2.6,13.0,32.5
407,E02003820,38800.0,2.8,12.9,32.5
408,E02003821,33200.0,3.5,15.1,27.3
409,E02003822,34200.0,2.8,1.4,28.8
410,E02003825,37600.0,2.2,50.1,24.2
411,E02003826,26400.0,6.1,19.0,12.4
412,E02003827,25200.0,7.9,55.9,11.9
413,E02003828,26800.0,6.7,17.4,13.4
414,E02003829,26300.0,1.8,14.7,17.4
415,E02003830,28100.0,5.7,36.6,17.9
416,E02003823,34200.0,3.5,12.4,32.0
