,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
0,E02000001,0.9613134884028866,0.999947949615,1.0,0.032888326539348686,0.7832498444770313,0.991524109381195,0.6704675851601543,0.49718106006510693,0.7325368843238519,0.37379566500708794,0.7450664814417804,0.97775152012253,0.7652664074018496,0.0,0.7503138571704433,0.0,0.3842356871442507,0.0,0.21507080494379704,0.0
1,E02000002,0.4268420170169122,0.0,0.0,0.2880986433162253,0.46282023216062185,0.9887666639726072,0.7522566213637752,0.7303296821996635,0.702247562306716,0.5727985143276935,0.42987851008852707,0.3753299392425151,0.588180187955964,0.0,0.5171806532019652,0.0,0.5939861965072102,0.0,0.3176787046344982,0.22891263830453368
2,E02000003,0.40730684378604237,0.0,0.0,0.38008387220335776,0.4976721127661661,0.9842730444522755,0.8976818615674341,0.6513659703331363,0.552154019143615,0.4906020852891717,0.3302849618343035,0.45115482397262663,0.5737643642404044,0.0,0.48060737164883527,0.0,0.5973397164894556,0.0,0.3173121639272192,0.16870695375770686
3,E02000004,0.3505164593679252,0.0,0.0,0.5034771635970247,0.4603637039419468,0.9774383313040619,0.8421783059185697,0.6362632154380634,0.6469748225262368,0.6379988103701267,0.4300844239937199,0.4935073360682456,0.568082902727479,0.0,0.5053551124202293,0.0,0.5180727227916266,0.0,0.3030053463398364,0.26282839684328724
4,E02000005,0.3085164184308939,0.0,0.0,0.33882827458142917,0.45418647361725584,0.9835103505567514,0.8238478490016512,0.7358729714321424,0.5782986141506384,0.5842879507835419,0.4741288343215844,0.43051459625332045,0.25607032028574256,0.0,0.45199964647059954,0.0,0.5634607997012542,0.0,0.30923196564676536,0.2096268262363776
5,E02000007,0.44501000013145403,0.0,0.0,0.21712750824643684,0.3802703635953535,0.9919607076349274,0.755781670979773,0.7435397282747067,0.5685576222050843,0.5997912221777488,0.44558840732935784,0.4573476701217072,0.39692005265772584,0.0,0.37831255442791,0.0,0.5066397509895615,0.0,0.3066580407130885,0.1800540528754097
6,E02000008,0.44501000013145403,0.0,0.0,0.27402528779748797,0.38652094066232023,0.9901218249490612,0.7970215654572117,0.7231826026792265,0.397939220099566,0.6416233537615885,0.4436931357694055,0.4170797917997765,0.4812821554711678,0.0,0.4288716273216657,0.0,0.5373027268701374,0.0,0.29585823979804626,0.20026416116261794
7,E02000009,0.36298561265879004,0.0,0.0,0.29452851539770425,0.4650044181618298,0.9907287223751045,0.8050108037064143,0.7472590019287081,0.4728425727366358,0.6924664574754362,0.4809168471855693,0.2971531417572263,0.500222058619896,0.0,0.5353392314729071,0.0,0.5485907869399136,0.0,0.2943339036441886,0.17368753712612922
8,E02000010,0.25664873331487126,0.0,0.0,0.27112878974728355,0.34815214989935117,0.9950368549620404,0.7726748011170658,0.6824306933391266,0.5584529077898764,0.5104368871015096,0.3781897844026985,0.46965951248446736,0.5962087410282425,0.0,0.4311667134974737,0.0,0.5822387072128978,0.0,0.30476971978175693,0.1575427717223956
9,E02000011,0.3748379269902206,0.0,0.9999645017598585,0.4123373393683067,0.4958162518274387,0.9957207589519196,0.7932211008515186,0.6161518288190818,0.6550089178438399,0.4907100079155641,0.4735951111502403,0.4285432811169614,0.5212018365963874,0.0,0.5458417898991748,0.0,0.48814092631828476,0.0,0.305340382175607,0.14312235860765352
