,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
0,E02000001,4.204215564895542,0.22788491384179013,0.06765033422728153,-24.273088217388324,1.9639461076221127,0.514207768278203,3.5355953538740685,0.15685066895203684,2.430042577730829,4.454444690885028,0.0,1.6526392339588651,0.0,-1.3438632256779648,0.0,-3.988994112864912,-204.18830085253566
1,E02000002,-1.1355379679729225,-0.0,-0.0,-12.171202168271265,-1.617351017917859,0.5124183413281609,5.085569456876899,5.55955764904432,-0.925033266040174,-1.7069324497872713,0.0,-0.47514233649071297,0.0,0.38348889879081116,0.0,-1.823461676398324,-114.92940656351401
2,E02000003,-1.3307083668797781,-0.0,-0.0,-7.809330076841423,-1.227827281550291,0.5095022350480967,7.841505541971129,3.7297471471873966,-1.985174953898841,-0.9314195427168473,0.0,-0.8089427267179902,0.0,0.41110604205007223,0.0,-1.831197491996253,-138.40514330031334
3,E02000004,-1.8980850596772998,-0.0,-0.0,-1.9581106961719599,-1.6448065248691368,0.5050668907017929,6.789664392184995,3.3797739903949826,-0.9228413779226081,-0.49825146215970684,0.0,-0.5830727698552339,0.0,-0.24167907098754743,0.0,-2.133141861206414,-101.70478459172386
4,E02000005,-2.3176956076314563,-0.0,-0.0,-9.765640259024625,-1.7138466396253504,0.5090072896152577,6.44228612687937,5.688011195776839,-0.45400261954709376,-1.1425212550131285,0.0,-1.0700423443210139,0.0,0.13210400736354666,0.0,-2.0017295029052544,-122.44943810663648
5,E02000007,-0.9540267794161236,-0.0,-0.0,-15.536601342717551,-2.5399736334412024,0.5144910959840343,5.152372244514527,5.865671438109679,-0.7578063997529367,-0.868081073595427,0.0,-1.7425764739924556,0.0,-0.3358326832541804,0.0,-2.056052005848101,-133.9806190445286
6,E02000008,-0.9540267794161236,-0.0,-0.0,-12.838550365504895,-2.4701137552574415,0.5132977645672793,5.933904481811748,5.393939786674732,-0.7779809635247744,-1.2799281801245233,0.0,-1.281129276891802,0.0,-0.08331479097009604,0.0,-2.2839810372326594,-126.10018075794633
7,E02000009,-1.7735092705072717,-0.0,-0.0,-11.866302349865853,-1.592939356987946,0.5136916068557579,6.085307566672105,5.951857432036546,-0.3817463786462071,-2.5064999756604234,0.0,-0.30941095403306657,0.0,0.00964543402234195,0.0,-2.3161520435119813,-136.4630864192588
8,E02000010,-2.8358910018997143,-0.0,-0.0,-12.975900178740343,-2.898944408818197,0.5164873425506183,5.472511904386214,4.449603838951316,-1.4752433333827046,-0.7421594491033925,0.0,-1.260182273271766,0.0,0.2867451499849823,0.0,-2.095904885008319,-142.75834350583253
9,E02000011,-1.6550961451821602,-0.0,0.06764793275947148,-6.279894318723527,-1.2485694014724138,0.5169311577670211,5.861882338115888,2.9137367997355477,-0.4596839331827302,-1.1626832419068935,0.0,-0.21355523772333485,0.0,-0.48817550326998976,0.0,-2.0838610957106223,-148.38123151824726
10,E02000012,-1.7735092705072717,-0.0,0.06764793275947148,-4.361829491145507,-0.8665863755543903,0.516608779049504,6.492967051040756,2.251057854117225,-1.203432205691029,-1.3611972858328194,0.0,-0.7661249998364864,0.0,-0.36567466108107033,0.0,-2.685248296845926,-146.78294892828907
11,E02000013,-1.8980850596772998,-0.0,0.06764793275947148,-11.81137477157872,-2.3443396164548544,0.516417128048885,5.424637776035442,3.467017677337187,-0.5360601268775813,-1.6406214346988885,0.0,-1.2052104845071323,0.0,0.5915534300288542,0.0,-2.4943799808046156,-132.21035750370137
12,E02000014,-1.1355379679729225,-0.0,0.06764793275947148,-13.726585475864802,-2.060324172778505,0.5159987017001172,5.814527650289184,4.573239148925809,-1.1119380163805093,-0.3340779339045207,0.0,-0.653228408096344,0.0,0.5817047108205039,0.0,-2.283840992318707,-148.0211300718627
13,E02000015,-1.2312676148662647,-0.0,-0.0,-17.91433099378057,-2.4926019486078834,0.5157397915494386,5.7888172968518985,5.106978744872153,1.0368682648619756,-0.9077623320756341,0.0,-0.5905208039922634,0.0,0.39982907367192116,0.0,-1.8305834371634706,-150.11045044697255
14,E02000016,-0.703056832616938,0.2170140383282393,0.06764793275947148,-23.152536383203113,-2.174659228572246,0.5185602505806507,7.361627186889263,4.477794269123037,-2.0435599874563497,-0.6888616037394427,0.0,-0.47372965516460785,0.0,0.19449006688345974,0.0,-2.783442864050161,-192.88888011034894
15,E02000017,-2.476956062519915,-0.0,-0.0,-13.455683961884073,-1.0606493097042857,0.5177310481333783,6.864040382781218,3.3642236499946363,-1.8488128486897841,-0.18936994047746045,0.0,-0.06056017516999405,0.0,0.08089974116564265,0.0,-2.7345160198377503,-176.44280300248883
16,E02000018,-1.4342113318314555,-0.0,-0.0,-15.13877634232382,-2.0747250607050494,0.5166544390475798,5.972479098851188,3.887215649502624,-0.5759669613828978,-1.570404040276035,0.0,-0.7771656847588841,0.0,-0.11432936089600829,0.0,-2.350537589136871,-145.07970839275106
17,E02000019,-0.5477397120067731,0.2170140383282393,-0.0,-9.712883373288413,-2.750611559043145,0.5165628085273704,5.440430621194433,3.256463526862188,-0.2482103090543502,-0.8277260106651544,0.0,-0.9030433442868784,0.0,0.6820755190178285,0.0,-1.9297658821411634,-138.36336722619376
18,E02000020,0.815825191741595,-0.0,-0.0,-15.38077932683398,-0.9868853447134528,0.5167085107120857,6.526085941185968,4.2288680902993905,-0.31422069788416407,-0.5710832910274178,0.0,-0.797667161887292,0.0,0.700607772533412,0.0,-2.392498557356517,-165.0952311471153
19,E02000021,-0.5477397120067731,-0.0,-0.0,-12.11347319075427,-1.1082174285229907,0.5147917149987687,5.676312936758961,4.75781475555678,-0.707352149032135,-0.49550507093178925,0.0,-1.1025758980075342,0.0,0.889648945241499,0.0,-1.8831384329782317,-140.24352229007863
20,E02000022,-2.1690899606381198,-0.0,-0.0,-21.35779614091651,-0.9771585139168764,0.5175901738103164,6.856698606951869,5.401434532652159,-0.7937750011073471,-0.31882811373151815,0.0,-0.21982908708212986,0.0,0.7724448446391863,0.0,-2.5177691036296963,-184.54643151859807
21,E02000023,-0.473226222946953,-0.0,-0.0,-17.815227141381808,-0.8789580048148188,0.5154750621551856,6.585323222232273,5.76158057494727,0.6049593205116939,-1.7518555787280143,0.0,-1.0989499544350187,0.0,0.9600740962649127,0.0,-2.148811473129502,-160.91550137214043
22,E02000024,0.815825191741595,-0.0,0.06764793275947148,1.6864848439703255,1.9887514801070745,0.5166169115435695,2.305956990894619,-0.013626291105056029,-0.4556214599946331,0.15055291418085898,0.0,-1.0221908359753817,0.0,0.057461954208466025,0.0,-2.2634172950657643,-145.97218526325995
