,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
2861,-0.5244571484642803,-0.5795372077311381,-0.2832984747187976,1.5978501327326153,0.2227019680777869,-0.35490747757045665,-0.13597090868871856,-0.9060374753095612,0.16753078408572297,-0.9078336736167626,-0.5660913997142235,-0.925594527219768,-2.2951302001676144,,0.5315876247213236,,0.02614348449006716,,0.8118165754564846,1.538950544059742
2862,1.8257891397855766,1.7057637046951224,-0.2832984747187976,1.0636399086287844,-0.2587476816813899,-0.7735177457115703,-0.5388291867608572,-1.2413403423162044,1.3677245991489158,-0.12207309060386949,-0.01676464838296773,-1.3189729764994087,-0.3968387135874002,,-0.09125985782687283,,-1.02979847878602,,-0.16417475408653417,1.8272926315898117
2863,0.21814970639174072,-0.5795372077311381,-0.2832984747187976,-0.8549776304972699,-1.586545910844836,-1.02590007678234,-0.9914976730141254,0.06929655317788552,1.9681377178834039,0.9641586624669134,0.44712959012886166,0.6334329435531215,0.23494021450556243,,-0.2892969548059775,,-0.38416337226527436,,-1.9841189237316277,0.6785161525639056
2864,1.0246062089300985,-0.5795372077311381,-0.2832984747187976,-0.3038453269105864,-1.3157825008875552,-0.7405371309807599,-0.6327437028649873,0.3235530120714755,1.8971195697683838,0.2779767106956203,0.2560098272611927,0.5582324451356142,-0.21380906228523625,,-1.035731273796905,,-1.2092359111545719,,1.067563437389011,0.5917139138579852
2865,-0.15405877384404618,-0.5795372077311381,-0.2832984747187976,0.25095270301905176,-1.2794380940017456,-0.8114382141457053,-1.0224000692230404,-0.16382533799730048,1.5929198782071285,0.9729578773699149,-0.06836789393348047,-1.2389680409332553,-0.408223342868582,,0.15824845543384386,,-0.20016882417513726,,-1.9841189237316277,1.7334165370014787
2866,-1.046177473082034,-0.5795372077311381,-0.2832984747187976,-0.4769397280299985,-1.6727807744791878,-0.8764626486689007,-0.8985089090422008,0.5451175272583382,1.9362086886191616,1.0437373887236996,-0.17270724138007107,-0.49038718603663206,0.16046788372838616,,-0.3725237535313877,,-0.7231756339369889,,-1.9841189237316277,1.0571010201585318
2867,-1.220619528322555,-0.5795372077311381,-0.2832984747187976,-0.843422595132992,-1.5160395126147514,-0.67718631743319,-1.1307482668398066,0.8877990825398281,1.8540914306207723,0.46288192217118385,0.10436699451680775,0.17048072967597566,1.0689690291444796,,-0.3582063478094512,,-1.0988501539214126,,-1.5596478913318739,0.48243590427045974
2868,-0.27137585426983285,-0.5795372077311381,-0.2832984747187976,-0.4229026516986412,-0.4918308495879158,-1.02590007678234,-1.0219624034392853,-0.23251645145470512,1.3254078783453855,0.304438013505286,-0.05047938906644147,-0.0776803462123593,0.4234704337386106,,0.12241283654823745,,-0.12976457335278008,,-1.9841189237316277,1.2090829975841415
2869,0.5436814277521529,-0.5795372077311381,-0.2832984747187976,-0.6118755866011144,-0.8697964920297557,-0.8148925793562848,-1.11184558983807,0.34589952323697015,1.827952007599505,0.7863172028813576,-0.3671232446140638,0.44342435879489484,-0.6077047009424859,,-0.5155994030255017,,-1.227332444610483,,-1.9841189237316277,0.7004130948895174
2870,0.26718116669692915,-0.5795372077311381,-0.2832984747187976,0.18193076807019548,-1.014767646938808,-0.9052052589564173,-1.3283928954045165,0.19536354811130752,0.7061009268805756,-0.35242819811875337,-1.6136671454131402,-1.2962223996394997,-0.3564176358092564,,-0.9433343724950817,,-0.5168129254045296,,-1.4084901748689627,1.8146880016442362
2871,-0.963892213891732,-0.5795372077311381,-0.2832984747187976,-0.4911366949884007,-1.4760419090221644,-0.8761739414811994,-1.4156713667542287,0.4740055658568062,1.151364882286211,-0.1950501288202925,-1.1194252630589467,0.25103890040094673,-0.1940437456159762,,-1.1538742434687754,,-0.14230689293036,,0.9745494072923665,1.0587141698560543
2872,-0.807872676778254,-0.5795372077311381,-0.2832984747187976,-0.5703416927239368,-1.2156113057285034,-1.02590007678234,-1.7054871006509076,0.5643221065662035,1.6013889984932497,0.16647702901672567,-0.6321799313234322,-0.17506781716326042,0.22583243780508208,,-1.2493759397329265,,-1.0873059355266452,,-1.9841189237316277,1.0701151773068651
2873,0.5436814277521529,-0.5795372077311381,-0.2832984747187976,-0.5166858822117758,-1.0990940504873592,-0.8937857371016703,-1.6274787913175257,0.6371574450585271,1.3482845253743578,0.5666372793727621,-1.0578842835931512,-0.8271069376844402,0.44408544005060135,,-0.45143857748608524,,-0.4675274158350637,,1.0140444593070872,1.2567983963617297
2874,-0.2120203986005157,-0.5795372077311381,-0.2832984747187976,-1.1305605706651396,-0.9303176969350797,-0.8647031995484576,-1.1087475616452427,0.7269770492668758,1.598280929097757,-0.38773667165184866,-0.5204225917709736,0.8173040974623689,1.321115449452074,,-1.374609006967349,,-0.36840450810381314,,1.064175245419885,0.2574778413286623
2875,0.6719609059123933,-0.5795372077311381,-0.2832984747187976,-0.6057012187196983,-0.9319944658913518,-1.02590007678234,-1.5785944635571676,0.6409291771890591,1.5514962282978735,0.8520271159069881,-0.13472934908268405,0.4247736592587048,-0.1712066529325889,,-1.646204394520128,,-0.03654435355627165,,-1.9841189237316277,0.5758646776212306
2876,0.36257878298661794,-0.5795372077311381,-0.2832984747187976,0.6276092236971876,-0.26489005996083104,-0.8463759255772981,-1.2889479273820286,-0.29890550548573785,-0.3127817888650811,-0.031506485290472834,-1.3874227987267498,-1.3844510043225398,-2.8657268569444194,,-0.7636501687084062,,-0.6793275704753927,,1.0573159297779733,1.9200916745622558
2877,-0.2120203986005157,-0.5795372077311381,-0.2832984747187976,-0.5623547432817269,-1.742422416286065,-0.7853732467820769,-1.4914899566541688,0.5856247862597546,1.3403410640129427,0.2137442560047892,-0.2871834730245813,-0.04940886950793982,-1.5305540555190582,,-1.0795502102593195,,-0.47157215326690854,,0.2748634630540047,1.091303717503804
