log_zscore_kmeans_cluster,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc
0,85.79647386519582,11.577208486335708,1.382246361219681,6.558816363675522,3.694544770119845,1.8457636105046624,6.5984186719405695,116.00803811878296,12.161136428333979,259.7603735655315,28.377227808164946,140.43379884713784,59.2390244776775,66.89879402696853
1,88.27740165674955,18.08731569973317,0.1780764755180723,2.366583412455478,1.7838980934996451,1.7189479853247367,7.116174018686262,150.53707523668763,17.663342192755785,318.9283181486215,43.25689997762141,195.1113744608866,124.2391691761396,67.30416019014051
2,73.18912632399277,8.717421491286329,0.7989357079928854,1.6694813825903507,6.482720728619839,2.5352514027186484,12.247599741096836,177.02271358586256,12.202996484760611,379.3655159397552,26.25481032319469,211.6170908222504,98.32656479143976,65.50737685984848
3,53.95493036734272,9.435518169276623,22.65071858111221,12.061486090020756,15.078891683584882,4.31498433662485,9.913094392547293,108.74900479732929,9.728450722247237,245.51121772628386,28.84015223235067,114.87385338007233,20.677166100533004,24.493600906053953
4,68.03632492839178,7.129910058141238,0.5171744006202987,2.737929360044675,10.53788284997835,3.328457341871645,12.542207285997742,119.73541292493545,10.204901525156453,268.7954623088337,24.16326114134673,144.80637485228684,54.20353098447253,61.21287325099273
