origin_msoacode,avg_time_from_origin_rail_UNWEIGHTED,"Underground, metro, light rail, tram",cumulative_time_rail,avg_time_rail
E02000001,106.99359597037936,796.0,10536.165719,13.236389094221106
E02000002,123.9912756517789,321.0,8910.798811759996,27.759497855950144
E02000003,122.5187444193864,494.0,13681.823886599997,27.69599977044534
E02000004,124.6163672102067,244.0,6169.7296381000015,25.285777205327875
E02000005,122.3900850711985,364.0,9579.924252499997,26.318473221153837
E02000007,122.99374806737919,514.0,13306.718493400005,25.888557380155653
E02000008,121.15662900850445,643.0,15516.235575339997,24.131004005194395
E02000009,119.8303955211707,497.0,11872.788447499996,23.888910357142848
E02000010,123.4824650071477,696.0,17800.805825569994,25.57587043903735
E02000011,124.58876074564668,605.0,15530.425420400004,25.67012466181819
E02000012,118.18084624166063,889.0,18860.552285000005,21.215469386951636
E02000013,120.5471020641354,667.0,15056.985400699998,22.574191005547224
E02000014,122.71911293351891,710.0,17133.763371000005,24.1320610859155
E02000015,125.4500261868076,535.0,14820.054750599993,27.701036917009333
E02000016,116.61963668609866,954.0,19591.397200599997,20.53605576582809
E02000017,117.24390920774351,922.0,19244.84109465999,20.872929603752702
E02000018,119.33090795153444,693.0,16376.819456599987,23.63177410764789
E02000019,124.72880803428636,702.0,18880.01115609999,26.89460278646722
E02000020,120.12438838332893,748.0,17443.54937870001,23.320253180080226
E02000021,125.45485061292905,527.0,14372.3057518,27.2719274227704
E02000022,117.52645471788645,724.0,16221.19742689999,22.404968821685067
E02000023,120.94319948234268,411.0,10342.527264350001,25.164299913260344
E02000024,117.9891426177613,1188.0,28852.38687239999,24.28652093636363
E02000025,116.19633458081803,563.0,13428.00121798,23.850801452895205
E02000026,120.08698782764904,521.0,14484.680497899999,27.801690015163146
E02000027,118.94163295790877,708.0,17288.679293800004,24.419038550564977
E02000028,115.13723961319913,409.0,9282.495405099997,22.695587787530556
E02000029,114.17933071063729,469.0,10187.604545999997,21.721971313432828
E02000030,121.25194139554281,629.0,17759.277745600004,28.234145859459467
E02000031,114.97422555136804,824.0,18899.3519952,22.936106790291262
E02000032,115.74955159202337,887.0,20369.361246719993,22.96433060509582
E02000033,114.90838852957937,811.0,17417.5435204,21.476625795807642
E02000034,113.41243585234974,854.0,17452.98858646999,20.436754785093665
E02000035,114.05177788825176,1315.0,27522.993059300003,20.930032744714833
E02000036,111.66051223242175,711.0,14962.925145520003,21.04490175178622
E02000037,112.52496925953369,720.0,16390.972901499994,22.765240140972214
E02000038,112.54613213471025,969.0,18942.91272445,19.54892954019608
E02000039,111.51999546033906,364.0,7635.7971621000015,20.97746473104396
E02000040,112.84146747775688,557.0,11674.982834230004,20.960471874739685
E02000041,112.54628229464753,774.0,16990.217927280006,21.95118595255815
E02000042,113.40751163453656,1651.0,33752.9384709,20.443936081708056
E02000043,113.59572930608192,1282.0,26615.574320799995,20.76097840936037
E02000044,110.68752092730163,576.0,11248.264634999989,19.528237213541647
E02000045,112.1695475404112,931.0,18147.893248999993,19.492903597207295
E02000046,111.80100224947098,1475.0,28440.239524799996,19.281518321898304
E02000047,113.60288950655915,1040.0,23069.818305569992,22.18251760150961
E02000048,112.85152449404683,1080.0,23935.15545398999,22.16218097591666
E02000049,113.19228115922239,620.0,12353.795862840001,19.925477198129034
E02000050,111.83165007646146,1405.0,26082.1122731,18.563780977295373
E02000051,111.6054718577841,1105.0,20650.140285999998,18.687909761085972
E02000052,110.08215524347219,2234.0,37628.46542782,16.84353868747538
E02000053,112.79153082056642,1126.0,24956.9014626,22.164210890408526
E02000054,111.86528311828906,774.0,16177.788531800004,20.90153557080104
E02000055,111.60033428837687,1229.0,24387.756855,19.843577587469486
E02000056,110.16029297785016,1186.0,20807.545331700006,17.544304664165267
E02000057,111.19332838778628,728.0,13664.905209849992,18.770474189354385
E02000058,110.09415477673265,1357.0,23603.624428699994,17.393975260648485
E02000059,110.35162738547403,811.0,15641.0764608,19.286160864118372
E02000060,110.97608689737552,1160.0,21660.035051900002,18.672444010258623
E02000061,109.08897940263844,1432.0,23727.285313900004,16.569333319762574
E02000062,108.39918188672388,525.0,8119.261419200002,15.465259846095242
E02000063,108.46239105265099,637.0,10519.116140159998,16.513526122700153
E02000064,107.6417166133894,640.0,10097.88729766,15.77794890259375
E02000065,125.67691941230426,311.0,9906.376949400004,31.853302088102907
E02000066,124.35439586516335,238.0,6839.311126919998,28.736601373613436
E02000067,127.4083683174882,105.0,3095.76598026,29.483485526285715
E02000068,129.08393198589076,112.0,3768.9645258,33.651468980357144
E02000069,127.91095732617747,59.0,1864.8670907,31.607916791525426
E02000070,125.86739844532012,82.0,2476.9761930499994,30.207026744512188
E02000071,127.04009767726322,39.0,1070.53754047,27.4496805248718
E02000072,130.14737583955045,111.0,3645.4428884999998,32.84182782432432
E02000073,124.47244264567871,114.0,3274.21601083,28.72119307745614
E02000074,131.15964188830029,42.0,1613.577098,38.418502333333336
E02000075,125.74728085315891,46.0,1377.7150225000003,29.95032657608696
E02000077,123.29973616240775,69.0,1741.8186681999998,25.24374881449275
E02000078,127.06320513886891,46.0,1469.1096209,31.93716567173913
E02000079,124.66145494232327,51.0,1401.1633129999998,27.47379045098039
E02000080,122.09183735921935,67.0,1600.6748088999998,23.890668789552237
E02000081,128.26142774999326,39.0,1212.5875809000001,31.091989253846158
E02000082,120.94500282055267,98.0,2444.6971165,24.945888943877552
E02000083,130.62012929956967,44.0,1681.9136223999997,38.225309599999996
E02000084,125.32484345003473,93.0,2557.3849234,27.4987626172043
