origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000113,308.0216286,765,23342.14241,30.51260445
E02000114,308.1130193,798,25008.71307,31.33923943
E02000115,308.0453841,487,17347.58749,35.62132955
E02000116,307.0003228,877,31313.11488,35.70480602
E02000117,305.5415094,1175,38590.81511,32.8432469
E02000118,313.7287452,622,19802.14362,31.83624376
E02000119,304.3605412,579,18474.49962,31.90759865
E02000120,302.6375939,835,23109.94203,27.67657729
E02000121,309.4884225,690,21244.39766,30.78898211
E02000122,308.1824803,536,16468.30827,30.72445572
E02000123,301.9938146,1540,51375.93127,33.36099433
E02000124,299.498885,771,19884.69927,25.79079023
E02000125,301.5808911,861,28240.47551,32.79962313
E02000126,301.2107624,788,22143.37553,28.10073037
E02000127,341.984591,459,12252.14698,26.69313068
E02000128,342.8278283,230,5325.797656,23.15564198
E02000130,336.5763804,359,11765.79419,32.77379997
E02000131,334.5231306,556,22045.96246,39.65101161
E02000132,340.8556333,212,7258.034712,34.23601279
E02000133,353.8442291,115,3093.755864,26.9022249
E02000134,347.4896742,392,11504.09312,29.34717632
E02000135,338.4251802,734,27539.63196,37.51993455
E02000136,346.6380656,139,2824.840522,20.32259368
E02000137,346.5473644,205,6002.302899,29.27952633
E02000138,345.1932783,178,5320.393491,29.88985107
E02000139,340.4128935,195,5607.008533,28.75388991
E02000140,352.7310953,359,8179.337737,22.78367058
E02000141,338.8982922,360,11143.78022,30.95494506
E02000142,347.0686143,201,6371.415098,31.69858258
E02000144,348.2326107,326,9276.674107,28.45605554
E02000145,353.4933213,352,10995.4659,31.23711903
E02000146,354.1445529,352,8659.594762,24.60112148
E02000147,348.3714197,155,4247.165165,27.40106558
E02000148,353.9892909,124,3350.274303,27.01834115
E02000149,354.6909571,284,7406.423406,26.07895565
E02000150,345.0342856,277,6226.724545,22.47914998
E02000151,356.1748726,112,2878.513068,25.70100953
E02000152,356.3446034,303,6866.71198,22.66241578
E02000153,351.5450856,246,5994.790669,24.36906776
E02000154,355.2615262,242,5856.334908,24.19973102
E02000155,358.8568152,253,6673.615485,26.37792682
E02000156,350.2135847,374,8830.10195,23.60989826
E02000157,357.1680296,167,3428.844995,20.53200596
E02000158,358.5267136,231,6025.138295,26.08284976
E02000159,356.0897895,201,4588.534148,22.8285281
E02000160,353.5599052,250,7041.019868,28.16407947
E02000161,351.5189251,194,4333.968927,22.34004602
E02000162,354.5704448,207,4073.666721,19.67954938
E02000163,355.1438274,129,2896.936345,22.45687089
E02000165,357.4565809,226,5685.191488,25.15571455
E02000166,309.5152538,637,16226.24106,25.47290591
E02000167,305.9493058,255,6051.56523,23.73162835
E02000168,306.8225751,602,14704.8884,24.42672491
E02000169,300.6507822,201,5935.320238,29.52895641
E02000170,305.7381645,481,14684.25227,30.528591
E02000171,305.1393413,612,12955.42772,21.16899955
E02000172,304.3598217,849,18790.46794,22.13247107
E02000173,301.169786,282,7230.012294,25.63834147
E02000174,301.4239582,943,20932.43812,22.19770745
E02000175,299.8653441,336,8811.760949,26.22547901
E02000176,301.3277652,253,6880.958674,27.19746512
E02000177,304.7370907,759,17120.68548,22.55689787
E02000178,302.8848833,529,14770.89523,27.92229723
E02000179,306.1867361,299,7309.610959,24.4468594
E02000180,300.4032502,852,16965.33885,19.91236954
E02000181,302.0190985,316,8226.592026,26.03351907
E02000182,301.034252,289,6686.853145,23.13790016
E02000183,304.2428983,479,11430.38518,23.86301708
E02000184,300.575868,922,17339.64258,18.80655378
E02000185,302.2721562,814,20273.75819,24.90633685
E02000186,301.2636695,537,10877.09161,20.25529164
E02000187,298.6252182,640,12193.34744,19.05210538
E02000188,297.9006425,615,11450.67087,18.61897702
E02000189,301.6924402,341,6762.416901,19.83113461
E02000190,299.6270694,366,8805.802516,24.05956972
E02000191,297.9188648,295,7280.834754,24.68079578
