,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc
6732,E02006875,3.819385314113275,1.7057637046951224,-0.2832984747187976,-1.806781622386837,-1.0139674420360643,-0.36155894484574286,1.2485374248328205,0.6754525808438387,-0.4590481992201816,2.6716633924455837,,1.5650719641233126,,-0.4994466439967018,,0.7250651543775712,-1.9901956030381123
6733,E02006876,1.3713221077349251,-0.5795372077311381,-0.2832984747187976,-1.7079469736486916,-1.480103803168882,-0.5994543471917508,0.6985164346161145,1.2454222431443687,-0.0037133514610310247,2.2326344281980566,,0.16829530323074035,,-1.2168129143054014,,-0.7136000797758759,-1.6011759252019573
6734,E02006877,0.1681773033550762,-0.5795372077311381,3.529934578563345,0.4875070532310725,0.09130790101446701,-0.2171086911259803,0.3252949230514371,-0.022271481387139087,1.1689938667963065,-0.6700579408579549,,-0.28312399095682556,,-1.5899732023428077,,1.030888220979065,0.6820525820989568
6735,E02006878,-1.1316526452888953,-0.5795372077311381,-0.2832984747187976,0.8239042690112739,-0.22081357963812345,-0.7548383432291811,0.28493271832831696,-0.16426060743856924,0.9177797182918261,-0.970802864891402,,0.4458214972792617,,-0.5411343222770288,,0.9484955991072253,1.0386867015387973
6736,E02006879,-1.1316526452888953,-0.5795372077311381,-0.2832984747187976,-1.8019241547003793,0.1562928445106112,0.15742691500260578,0.8073390336203344,0.501104349118539,0.1313994661955801,2.0350125676697237,,0.8737420617878047,,0.2507012048230325,,0.5737192220562013,-1.351454407475138
6737,E02006880,-0.3322052915703175,1.7057637046951224,-0.2832984747187976,-1.14373615814206,0.2034186118462816,0.20818533643273407,1.1067404274796768,0.0840956661520972,-0.21704184918767255,1.6818304320847777,,0.991371020399887,,-0.6304044409751958,,0.1671946728465344,-0.941894025948924
6738,E02006881,1.4038432482155534,-0.5795372077311381,-0.2832984747187976,-0.685775875146059,-0.4229765150892021,-0.9244101988825354,-1.0686591635840836,0.39936186567171644,-0.8903210590056199,0.807449386665208,,-1.0145448058168023,,-0.033584867259035686,,-1.2396564517761826,0.44371730936952636
6739,E02006882,-1.046177473082034,-0.5795372077311381,-0.2832984747187976,0.6200419666519208,-0.44761155014320536,1.973247280141845,0.9572885217055459,0.6414437583413031,-1.7630532596959891,-0.5773149533236682,,-1.0658801514423772,,0.02096051716398342,,-0.5777816661036462,-1.1244593472345947
6740,E02006883,-0.15405877384404618,-0.5795372077311381,-0.2832984747187976,-0.8209321639194779,0.0014919970297720914,-0.1898861615930848,-0.33118200600969566,0.9868263580218589,1.1017062729835065,1.392190400654481,,0.39285592964538335,,-0.8155601630122199,,1.1438350112589728,-0.7892149481520913
6741,E02006884,2.04332351293315,-0.5795372077311381,-0.2832984747187976,-0.3025193510795702,0.022854784716387015,-0.8682553493220778,-1.5027607319813947,0.48096498647336733,-1.0210634327072041,0.14218113497545332,,0.03451953055191119,,-1.1680472672494628,,0.6177587478040997,0.7642091781890235
