"AtcoCode","CommonName","CommonNameLang","ShortName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"1000DSNR4647","Birchwood Lane","en","","","Birchwood Lane","en","Somercotes Hill","en","","","adj","en","2006-06-26T00:00:00","2009-06-30T00:00:00","","new"
"1000DSNR4648","Birchwood Lane","en","","","Birchwood Lane","en","Somercotes Hill","en","","","opp","en","2008-04-10T00:00:00","2009-06-30T00:00:00","","new"
"1000DSNR6756","Park Hall Avenue","en","","","Park Hall Avenue","en","Netherfield Road","en","","","adj","en","2008-08-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSNT7041","Lansbury Drive","en","","","Lansbury Drive","en","The Croft","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSNT7408","The Hamlet","en","","","The Hamlet","en","The Common","en","","","opp","en","2010-01-19T00:00:00","2010-01-19T00:00:00","","new"
"1000DSNT7409","The Hamlet","en","","","The Hamlet","en","The Common","en","","","adj","en","2010-01-19T00:00:00","2010-01-19T00:00:00","","new"
"1000DSOL5849","Ashbourne Road","en","","","Ashbourne Road","en","Over Lane","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSOL5850","Ashbourne Road","en","","","Ashbourne Road","en","Over Lane","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSOL5856","Lumb Lane","en","","","Lumb Lane","en","Over Lane","en","","","adj","en","2007-01-08T00:00:00","2009-06-30T00:00:00","","new"
"1000DSOL5857","Lumb Lane","en","","","Lumb Lane","en","Over Lane","en","","","opp","en","2007-01-08T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPO0460","Old Post Office","en","","","Old Post Office","en","Main Street","en","","","adj","en","2007-01-15T00:00:00","2013-07-26T00:00:00","","new"
"1000DSPR0072","Valley Road","en","","","Valley Road","en","Ridgedale Road","en","","","adj","en","2010-02-08T00:00:00","2010-02-08T00:00:00","","new"
"1000DSPR2733","Chapel Street","en","","","Chapel Street","en","Derby Road","en","","","adj","en","2007-01-11T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR3473","Werneth Road","en","","","Werneth Road","en","Pennine Road","en","","","opp","en","2008-07-02T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR6772","High Street","en","","","High Street","en","Pentrich Road","en","","","adj","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR6772","Palmer Drive","en","","","Palmer Drive","en","Pentrich Road","en","","","Adj","en","2007-07-31T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR6773","High Street","en","","","High Street","en","Pentrich Road","en","","","opp","en","2009-06-30T00:00:00","2009-06-30T00:00:00","","new"
"1000DSPR7600","Carter Lane","en","","","Carter Lane","en","Park Road","en","","","adj","en","2007-01-15T00:00:00","2009-06-30T00:00:00","","new"
