HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,MSOA
1.485782918130914,1.1658360758537962,1.2646007300373063,0.7350914058579555,0.7433639318239454,0.7057243314854499,1.6593706919198372,2.0299444307306667,1.241501329270949,2.3633479034714546,1.2736010270760496,2.0293577840594246,1.1217695251083557,0.4844709136715748,E02000001
1.7952071643473393,0.8062455328159089,1.194798009821165,0.9144785759213562,1.168329493889868,0.1233623483733448,0.669306397722376,2.0559509000305485,1.005613934587996,2.4390248464276536,1.4810294952186296,2.093391128149435,1.4434116058619824,1.6704281232239058,E02000002
1.8376226826683026,0.8385841548035994,1.1064678108200883,1.297764608236214,1.0260868554960005,-0.054900191414886786,0.7711746112859397,2.0553283534659474,0.9769301895811136,2.43810772705496,1.484692517314909,2.088202537477286,1.442417046931726,1.6174286128075297,E02000003
1.880892472448452,0.8040091635301234,1.0063357734440048,1.1383303259204753,0.9987826355535588,0.12372137216185877,0.8294950845528224,2.0679438829065013,0.9961644352201522,2.443859687623994,1.4013131757699144,2.0955750866430463,1.4028763070212724,1.694387185005929,E02000004
1.820002634065318,0.7984095444284995,1.0936359639932405,1.0897233746301904,1.1783003918194854,0.20017596095359,0.7431541816908053,2.0569964524644844,0.9555447937403261,2.4387775483454686,1.4482563319595254,2.0877462366553052,1.4202606915201643,1.6551544705959917,E02000005
1.7522349330407965,0.7338728769879304,1.2772510173298932,0.9226451678027007,1.1920909149785668,0.15069822982034187,0.7796303675486055,2.0583639536070155,0.9041327193640043,2.4363759844826696,1.3898041170834718,2.089883036245533,1.4131078503848997,1.628742533733183,E02000007
1.7875711064213442,0.7391656878276808,1.2271520189570744,1.0215611925702064,1.1554732748875636,0.14740565313953044,0.7250410451360745,2.057080084991561,0.9388685759937254,2.433307158878445,1.4209521007893409,2.0833471812721447,1.3825753917324366,1.6472215619264479,E02000008
1.7985758328399803,0.8082385756284561,1.2428074796626547,1.0415167870255944,1.1987811888217919,0.2119309131895849,0.5666457678163426,2.055305924943649,1.0204706268475863,2.4291622086004736,1.4326494643281626,2.0785669927843498,1.3781963407640032,1.6224861713603762,E02000009
1.7859522440565097,0.7071113072907251,1.3852393092421693,0.9623838123940314,1.0821213553165234,0.03227498267142573,0.7965117185200362,2.059624202704635,0.9405001761264853,2.433186778868537,1.4682969108997528,2.0916052904595293,1.4078304232419836,1.605523032004898,E02000010
1.850137222173972,0.836832378383568,1.4155375773329875,1.0121650442648835,0.9623391915697956,0.19925168762202797,0.7404904419534393,2.0617888610289423,1.0292644772995383,2.4384706363598996,1.371436770164848,2.0954788660285613,1.4094279777407182,1.5888204558187513,E02000011
1.864537303403642,0.8696662315049938,1.3932316085203016,1.0967063579131622,0.9103086236774638,0.07754932498452648,0.7143714225717007,2.0521187744296445,0.9805221361656912,2.418973168227857,1.3861816766814334,2.0725470954487566,1.3266526448656735,1.5937346025438313,E02000012
1.7991750724152287,0.748767472698434,1.3807128498766301,0.9563757832001801,1.0055938058703617,0.18682470457845402,0.6779116154349404,2.0572269111920063,0.9448060178852147,2.4249904784057734,1.5089446682415337,2.081156774458951,1.3536121953920905,1.6330693928250468,E02000013
1.7767961962986776,0.7708074211943657,1.3550578541037706,1.0060201323687035,1.091732245575286,0.09265726079592021,0.8519231670191901,2.0599630071470822,0.9901135743396232,2.432301298794731,1.507606478750505,2.088912207349119,1.3825944159831056,1.5899398981721522,E02000014
1.7127240371175527,0.7374587983319295,1.340205421394862,1.0026947003634141,1.1331942617529336,0.44728673025615656,0.7743301582850557,2.06220983129046,0.9955186819518466,2.428756474617652,1.4831952534230297,2.098470756306547,1.4424960260646946,1.5833414717699177,E02000015
1.5566148778001625,0.7618737859818263,1.563992192122364,1.2225157663069934,1.0843130323446066,-0.06512603193963437,0.8036862821750642,2.0490048808377077,1.0057387730210192,2.409084264375667,1.4562958193108264,2.0667716840969588,1.3125170349952204,1.3092294651229195,E02000016
1.7801623666160964,0.8528314606063896,1.4793097211344886,1.14897253617839,0.9975682687780811,-0.031235289072123553,0.8718546979198201,2.0498943478750404,1.0436228694136807,2.4133479132664726,1.4417027985012827,2.069090290481578,1.3195834084067426,1.4668782610933673,E02000017
1.7579727351281378,0.7696775660208737,1.3962923113024224,1.0266190610307246,1.0383574643019686,0.18032954020904893,0.6870426677218333,2.054849756579447,0.9795935702231187,2.4126758011307774,1.417077652740137,2.076752945047373,1.3734963266361673,1.5988220524089234,E02000018
1.8205047644335661,0.7180832788596615,1.390181136795379,0.9583551113028038,0.9891500511461994,0.2336627853984995,0.7850300684902747,2.058230408842586,0.9691219380799571,2.423017868778035,1.5213249116559657,2.0959667720462276,1.4296651344546618,1.617538981196511,E02000019
1.7545074147033404,0.8591920939201037,1.3999575027202935,1.1012890924399208,1.064954023643005,0.2229180020610397,0.819605209625141,2.0527357299322704,0.9778736902766885,2.4217548020167206,1.5238776116715145,2.0796311894597737,1.36773326110048,1.5267865338554214,E02000020
1.7958505626672758,0.848754067115069,1.2912671934115247,0.9882312150499447,1.1060751348936442,0.1589274422189198,0.829868722954695,2.059737116104256,0.9529400727688658,2.4248201565737317,1.5502795289043196,2.0984874576291346,1.4357158324591646,1.6125005751637926,E02000021
