MSOA,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc
E02000001,30.604332953249713,14.649947753396027,18.39080459770115,5.433646812957157,5.538140020898641,5.078369905956113,45.642633228840126,107.13822099298704,17.43818694867257,230.85958119848567,18.775911392857143,106.99359597037935,13.236389094221106,3.0512016718913273
E02000002,62.40324364172503,6.40096618357488,15.660225442834138,8.212560386473431,14.734299516908212,1.328502415458937,4.669887278582931,113.7498676527451,10.13010471261711,274.8051367410219,30.271190086666657,123.9912756517789,27.759497855950144,46.81964573268921
E02000003,68.80542514345332,6.895792024675039,12.77814496585151,19.850187265917604,10.619079092311082,0.8812513769552764,5.904384225600352,113.5869278472575,9.482660225680693,274.2254305700457,30.52758979140272,122.51874441938641,27.695999770445344,41.44084600132188
E02000004,76.01380500431407,6.368089573128062,10.146955913226034,13.750874737578728,9.972008397480755,1.3296011196641007,6.75297410776767,116.93482846404665,9.91207170745291,277.8815339761427,25.19493114244603,124.6163672102067,25.28577720532787,49.47515745276417
E02000005,66.06974552309143,6.286509040333797,12.406119610570236,12.294853963838664,15.076495132127956,1.5855354659248957,5.535465924895688,114.02404734660891,9.027028086999279,274.64870040327696,28.07089967000001,122.3900850711985,26.31847322115384,45.20166898470097
E02000007,56.524266201685556,5.418422636965683,18.93437688139675,8.368452739313668,15.562913907284766,1.4148103552077063,6.020469596628537,114.38365072982492,8.019230917412933,273.13413808196066,24.536020005833322,122.9937480673792,25.88855738015565,42.53461770018061
E02000008,61.3156175125245,5.484861781483106,16.87143483984204,10.508995173321631,14.304519526107942,1.4041246160596754,5.309346204475647,114.04600718693271,8.686975086466077,271.2109118546868,26.3604063557596,121.15662900850442,24.13100400519439,44.3835015357613
E02000009,62.889165628891654,6.430408688196628,17.490711631894825,11.003143755358675,15.804515575878822,1.629036867676479,3.6867676478994,113.58106196300596,10.482638927115392,268.6347606734888,27.080050152310914,119.83039552117071,23.888910357142855,41.92626464704201
E02000010,61.08748481166464,5.094614264919942,24.27947598253275,9.170305676855897,12.081513828238718,1.0771470160116448,6.259097525473072,114.71605478579382,8.71967254910026,271.13574661724664,29.39658699872123,123.4824650071477,25.575870439037352,40.320232896652115
E02000011,70.81695063346439,6.868033081625315,26.033800791082346,10.284070478245235,9.169363538295578,1.5821646889608056,5.501618122977346,115.28926249932522,10.697061121273332,274.45467721404043,23.519970363291144,124.58876074564668,25.67012466181819,38.79899316792521
E02000012,73.20441988950276,7.4074074074074066,24.730426629160807,12.494139709329582,8.134083450539146,1.1954992967651195,5.180496952648851,112.75057735726006,9.561414286938039,262.4056417771839,24.332216761363643,118.18084624166063,21.21546938695164,39.24050632911392
