"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"490001072F","","900057537A","Coulsdon South","","Coulsdon South","","U","529818","159015","2011-10-13T12:45:04","2011-10-13T12:45:04",2,"rev"
"490001177E","","900057516C","Lewisham","","Lewisham","","U","538084","175826","2011-11-22T08:14:04","2014-08-29T15:51:05",10,"rev"
"490003383D","","900057567A","Armoury Way (SW18)","","Armoury Way (SW18)","","U","525383","174800","2011-06-29T10:08:03","2014-08-21T14:41:06",4,"rev"
"490003758O","","900057946A","Becmead Avenue","","Becmead Avenue","","U","530132","172055","2011-06-29T10:08:03","2011-06-29T10:08:03",2,"rev"
"490003758OA","","900057946C","Becmead Avenue","","Becmead Avenue","","U","530144","172084","2011-06-29T10:08:03","2011-06-29T10:08:03",2,"rev"
"490003928W","","900098106","Hillingdon Circus","","Hillingdon Circus","","U","507731","184791","2012-07-03T14:03:05","2012-07-03T14:03:05",2,"rev"
"490004555P","","900057888S","Bressenden Place","","Bressenden Place","","U","528934","179279","2011-06-29T10:08:04","2011-06-29T10:08:04",2,"rev"
"490006135S","","900057378C","Baker Street","","Baker Street","","U","527746","181994","2012-03-13T11:00:05","2014-03-31T14:33:08",8,"rev"
"490006838GT","","900057846E","Finchley Road (NW11)","","Finchley Road (NW11)","","U","525045","187464","2012-02-11T15:43:03","2012-02-11T15:43:03",2,"rev"
"4900074801","","900057888R","Green Line Coach Station","","Green Line Coach Station","","U","528813","178787","2011-10-19T09:18:04","2013-12-12T13:48:09",5,"rev"
"49000748010","","900057888U","Green Line Coach Station","","Green Line Coach Station","","U","528697","178724","2011-10-19T09:18:04","2013-12-12T13:48:09",5,"rev"
"4900074802","","900057888Q","Green Line Coach Station","","Green Line Coach Station","","U","528805","178767","2011-10-19T09:18:04","2013-12-12T13:48:09",5,"rev"
"4900074804","","900057888P","Green Line Coach Station","","Green Line Coach Station","","U","528787","178723","2011-10-19T09:18:04","2013-12-12T13:48:09",5,"rev"
"4900074806","","900057888","Green Line Coach Station","","Green Line Coach Station","","U","528738","178829","2011-10-19T09:18:04","2013-12-12T13:48:09",5,"rev"
"4900074809","","900057888M","Green Line Coach Station","","Green Line Coach Station","","U","528710","178757","2011-10-19T09:18:04","2013-12-12T13:48:09",5,"rev"
"4900080168","","900057286A","Heathrow Central Bus Station","","Heathrow Central Bus Station","","U","507526","175814","2012-07-26T13:36:04","2014-06-05T11:14:09",4,"rev"
"490011522E","","900057516A","Lewisham Police Station","","Lewisham Police Station","","U","538279","175724","2011-11-11T09:20:06","2011-11-11T09:20:06",2,"rev"
"490011659G","","900057436C","Romford Market","","Romford Market","","U","551360","189117","2011-06-29T10:09:07","2011-06-29T10:09:07",2,"rev"
"490011659H","","900057436A","Romford Market","","Romford Market","","U","551279","189098","2011-06-29T10:09:07","2011-06-29T10:09:07",2,"rev"
"490012466G","","900057533A","Woodcote Road  Stafford Road","","Woodcote Road  Stafford Road","","U","528968","163563","2011-06-29T10:10:00","2011-06-29T10:10:00",3,"rev"
"490012466H","","900057533B","Woodcote Road  Stafford Road","","Woodcote Road  Stafford Road","","U","528974","163587","2011-06-29T10:10:00","2011-06-29T10:10:00",3,"rev"
"490012904C","","900057456C","Stratford Bus Station","","Stratford Bus Station","","U","538663","184386","2011-12-02T10:05:08","2014-02-13T11:51:00",4,"rev"
"490012904W","","900057456B","Stratford Bus Station","","Stratford Bus Station","","U","538669","184486","2011-12-02T10:05:08","2014-02-13T11:51:00",4,"rev"
"490014051N","","900057366Z","Victoria Coach Station","","Victoria Coach Station","","U","528539","178674","2011-08-16T13:07:05","2011-08-16T13:07:05",2,"rev"
"490014051U10","","900057366","Victoria Coach Station","","Victoria Coach Station","","U","528584","178704","2011-08-16T13:07:05","2011-08-16T13:07:05",2,"rev"
