Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,MSOA
0.9775298129959361,0.8368288369533894,1.0,0.3260031798149099,0.6358396691572938,0.869857963867947,0.6846646047754028,0.6217345988466095,0.6862684005526383,0.9668210473171623,0.0849382414247315,0.49076039050740117,0.1588965097285162,0.27853213022731627,0.03416122286125267,0.49270216387357935,0.0,E02000001
0.5715140896627008,0.0,0.0,0.7419902683443658,0.3158723543472766,0.8509897119939391,0.7456247918365169,0.7974525684105849,0.464109923723406,0.32209771989278824,0.12306022436393693,0.2786263933100278,0.28831193595725546,0.46850436233452974,0.13525157772657792,0.6077445519472617,0.8231956085568461,E02000002
0.5514138224511922,0.0,0.0,0.7990132980214391,0.3446475884083327,0.8271133295596604,0.8758748438305807,0.7386370081979297,0.3961066277262488,0.3884336275630217,0.12214765490897106,0.25283104510552323,0.2867435666510523,0.47185912115871353,0.12706027552688104,0.6073888259982546,0.7864076335110242,E02000003
0.4893310093166241,0.0,0.0,0.857184802329916,0.3138824102590612,0.8000468127245097,0.8216951403964563,0.7273470531590086,0.4642468835187132,0.4264115344544803,0.1406403227354347,0.2701284399746705,0.2965800161641261,0.395496605604462,0.13869942419263115,0.5932462077971764,0.8398260521219632,E02000004
0.4392781808009187,0.0,0.0,0.7753250680015578,0.30889981234987013,0.8236447753659564,0.8051772988915205,0.8015754105778525,0.4934126523791896,0.37018690893039063,0.12459286347726461,0.2335991166362137,0.28788903057205717,0.4384892393704698,0.1263399069021447,0.5994641165461113,0.812593873798922,E02000005
0.589696993097471,0.0,0.0,0.6842187988897068,0.25147443065519554,0.8732774410197829,0.748400001281889,0.8072776202274026,0.47453797012951954,0.3939399601774852,0.12659743605587126,0.1873641372032666,0.28378210713172214,0.38495609692841315,0.12971330293388394,0.5969057450675272,0.7942608426711362,E02000007
0.589696993097471,0.0,0.0,0.7317244228480333,0.25618402745906327,0.8597352679209863,0.7820141074135469,0.7921366818988107,0.4732819234756092,0.35839175407216584,0.12471545750314394,0.21860216127335974,0.27853409686494635,0.4134828080555266,0.1193950553396399,0.5859851374501712,0.8070874899873879,E02000008
0.5034690384776668,0.0,0.0,0.7465190750413511,0.31764578406999583,0.8639670682703402,0.7887955108466143,0.8100439651750813,0.4978969119285398,0.255245795935515,0.12211477771466406,0.2919870458298207,0.2714458017255521,0.4241957747044056,0.11184850350134967,0.5844188732358477,0.7899181817476626,E02000009
0.3712331296158847,0.0,0.0,0.7295480392901448,0.22766171432574062,0.9024675683520059,0.7619041733304612,0.7618065763062928,0.429362067562558,0.4049329844017775,0.12844479157516986,0.22006946247635673,0.2783282345549325,0.45684329437597126,0.13243225025945904,0.5950181567893287,0.7781437419008501,E02000010
0.5166312287338417,0.0,0.0,0.8158377289343584,0.34308883997037426,0.9106574404932863,0.7788210643539792,0.712278142752212,0.4930600621321126,0.3684522992116761,0.1316178892670128,0.29989537280776635,0.287364179225325,0.36813446235113756,0.13854751933428133,0.5955895574101109,0.7665501639392875,E02000011
0.5034690384776668,0.0,0.0,0.8351970646637512,0.37230473572050854,0.9046279528666108,0.807550288927676,0.6907641506516407,0.4466332480643724,0.3514437663481552,0.11744284412312078,0.25606128972173114,0.2540214852670073,0.3816385046277382,0.10234480559901149,0.565983132948402,0.769961167280139,E02000012
0.4893310093166241,0.0,0.0,0.7473246871719041,0.2647277930890583,0.9012440289950583,0.759862496752385,0.7301633872934845,0.4883194373925138,0.3277013808159941,0.12493068494689474,0.22394171442439448,0.26431171014932486,0.49407032141578267,0.11593702881936485,0.5756258111287108,0.797264198420043,E02000013
0.5715140896627008,0.0,0.0,0.7172387335528265,0.28433916295217326,0.8943092717166882,0.7767328716558458,0.7657805597833586,0.45239659818890643,0.4410165535832491,0.1289414332771157,0.26468688890409686,0.2768139717333633,0.4928447478632729,0.12818064148933894,0.5859919418932439,0.767327190312524,E02000014
0.5617285555191825,0.0,0.0,0.6311007166408955,0.2546652198619029,0.8902945364681808,0.7756028077999424,0.7829245873166644,0.5876800560015688,0.3904884989214148,0.13223497499835313,0.26954771279256284,0.27075195450774503,0.4704878601831066,0.14327085924753868,0.6074170746280466,0.7627470961961813,E02000015
0.6140845438782733,0.0,0.0,0.421229009845816,0.27638992366935017,0.9507859491678958,0.8503034304540487,0.762712807473455,0.392205691159036,0.40960501285447226,0.11287829531730287,0.2787386607579627,0.23711043340664295,0.4458521600476575,0.09322708121113976,0.5609272201382232,0.5724807035244842,E02000016
0.4191779135894101,0.0,0.0,0.7217641817261993,0.3573249857127319,0.9278955777473403,0.8253116260561436,0.7268449276148692,0.4051342751538604,0.4539958348261225,0.11418213425180745,0.31280790302835804,0.24440171549255707,0.4324872214681059,0.09688749822582343,0.5634546645272692,0.681907751559492,E02000017
0.5405093637515008,0.0,0.0,0.691932646831674,0.2833338063514899,0.9054552861112998,0.7837328959276572,0.7437107521837165,0.48584167293517155,0.3336474617400249,0.12144609630324332,0.2552262285463597,0.24325233398853863,0.40993441592458346,0.10898464043001255,0.582737809464654,0.7734924636489833,E02000018
