,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,taxi_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,MSOA
1576,0.8675949911204089,0.0,0.0,0.40475210369466824,1.1200593686339453,7.668709509752394,-0.6530152203710695,1.0991254765221568,-1.8597351626706635,-0.12096991782828849,-0.9814421675587919,-1.7624759775371026,-1.5936841482315054,-3.279803795295854,0.01267529751470687,-2.326069256613221,0.4112450652476694,-0.944512143429208,-3.720269993498795,0.23698403227230466,E02001615
1577,0.3225469433792621,0.0,0.0,-0.5113894376433651,-2.138287140400429,3.4030408187313093,-1.3807883890572992,2.400353961552818,0.32026359174314556,0.05164308894884461,-1.4284165460382725,-1.0835170884559335,-2.5636578182091956,-3.518774147136663,-1.2070894964017331,-2.2265414685747267,0.34958923759180255,-1.2466133613790908,-3.0232486182541325,0.16688345616750486,E02001616
1578,-0.10576228606164013,0.0,0.0,-1.0656783702998753,-3.060811246578638,5.216972700243144,-1.2597693779211996,3.241218024843879,2.64170389678785,0.4782310323662598,-1.7256570554391264,-0.4665825733448762,-1.1765741889162886,-2.880877336377596,-1.470457308325761,-2.378846258390416,0.906655919724531,-1.0683482497722923,-2.651881473796565,-0.10652787021651966,E02001617
1579,0.6748350849067166,0.0,0.0,0.4847306185060962,1.5142583964456433,18.549769653646866,-1.635480815320791,0.1307967874329204,-3.970168558805926,-0.3447737547430732,-0.47918812839705127,-2.893755580128442,0.320914493871039,-2.9509817472876274,0.8638985119997966,-2.3272948608595216,0.9835888700373092,4.463878171620202,0.8483717347339742,0.17762765565046656,E02001618
1580,0.8010859873972325,0.0,0.0,-1.402566791293686,-3.0985009543258895,9.928157326410624,-1.526567224143748,3.262655012937483,1.9396358913019516,0.3101152595777128,-1.3070388910503288,-0.08978631237559494,-0.007016982619288149,-3.425740483652319,-1.178411090534397,-2.460344727389107,0.2792104139956725,-1.3039650617134746,-3.7867640831856697,-0.1694974144010642,E02001619
1581,0.1575967541845323,0.0,0.0,-1.4059574644325683,-5.452703279033304,6.097652854590195,-1.8206544335573192,3.5003354116774306,1.8844813707712431,0.0632879455891521,-1.2840246950817749,0.5685735398149232,-1.0684808968564123,-3.2426121687995564,-0.7472207084644731,-2.810356339028354,0.42500086749493793,-1.2206985582336496,-4.437590743202801,-0.20969698688538246,E02001620
1582,0.12771610752183452,0.0,0.0,-1.2791074122890138,-3.9439041134382653,6.8047102695861,-1.4872160745776504,3.027846989843639,1.1459505687113283,0.5343994250798453,-0.23210989857740166,-0.04262584633006908,0.670085706362836,-3.8189921391459833,-0.940334302013979,-2.7229123189944717,-0.4323329542872986,-1.558345621456332,-3.302289316606239,-0.09915066501552774,E02001621
1583,0.3971121046705459,0.0,0.0,-1.4039790692768996,-3.4772793813796743,12.023006847354381,-1.9561073480825504,2.94336390174206,-0.6481413455866457,0.29805460456831046,-0.6779020925196888,0.3848059203143738,-0.024701689163341558,-3.776062280528313,-1.9572736235877142,-2.5254730081046257,0.040154058159615105,-1.6328197928342765,-2.6522140987216933,-0.11607719233918405,E02001622
1584,0.3225469433792621,0.0,0.0,-2.326192774736032,-3.146335580907545,8.097216981137697,-1.918553665513757,3.634885871556219,3.7500577728823834,-0.0945815392279214,-1.0822067222556655,1.3906274673664856,0.5629348503160544,-3.6844116404336096,-1.188128970902399,-2.7696666438691184,0.22475006996602062,-1.4478212622838746,-1.3198750192335698,-0.48895519164408824,E02001623
1585,0.8675949911204089,0.0,0.0,-0.5044231190864579,-2.4981049616162965,16.048181561906105,-0.7306758446405683,1.6154466641481593,1.6060690483375477,0.18372119601697962,-0.6996046662757238,0.8050451991732602,0.12588422827998366,-3.466848562833613,-1.2196440083629836,-3.360785535932943,0.192239233171766,-1.8032910580100514,-3.114900834760218,-0.004200108457530406,E02001624
1586,0.09705925399055089,0.0,0.0,-1.52065720576147,-3.3056929966272754,6.147119146127055,-1.7104028958159723,3.3673397733944856,-1.8961642734117279,0.3428740672145565,-1.119979148065099,1.500312804838928,0.05247542265139192,-3.899911398695039,-1.46522762045444,-2.8035784994757003,-0.5215038800325404,-1.7784429200800258,-3.0414818638190955,-0.3488844802172111,E02001625
1587,-0.660471144916719,0.0,0.0,-0.1141335869464985,-0.9361851771578104,23.21644033896253,-1.2715005334060137,0.738072300808968,-2.8585798666626427,-0.16446272797410733,0.11110244685311253,0.3694056202280985,-0.2778205131526456,-3.878977915755041,-1.3188998630390973,-2.9005055565796125,0.20394485408984728,-1.776334996395206,-4.579003697384764,-0.32079408582691565,E02001626
1588,0.2151800037717979,0.0,0.3010299956639812,-0.9327225404577391,-2.5481114788784867,23.972967282460168,-0.9376639762206936,1.4445271657170136,-1.453076855222247,-0.10273131067370947,-0.1003217967847687,1.343377535947028,0.9009048134035185,-4.083843802785818,-1.2902171610713518,-3.508762251039239,-1.086974456412862,-1.574520252951412,-4.17050481954688,-0.6191622906246559,E02001627
1589,1.153374128924687,0.0,0.6020599913279624,-1.440603090370594,-2.2114775386121797,15.859213741526238,-1.766625293794605,2.180486307857844,7.90119697087483,0.06513080288273174,-0.3672705172480325,0.9513994513712088,1.4356611985532661,-4.486525463877108,-1.766365576285462,-3.5945954587650153,0.02139331876419221,-1.4416001973141206,-3.144618394333772,-0.2404067495986483,E02001628
1590,0.5117869468910203,0.0,0.0,-2.0194409618489493,-2.2273887586852985,8.446131029728816,-1.352348510696346,3.3533861177054956,2.3589690283496196,-0.22301255001585718,-0.9895911727892975,1.4210862427021798,0.48470515943615616,-4.475940304954082,-2.3184449660503503,-3.281071760336821,-0.23715334019810527,-2.1012544193781637,-4.512400898416002,-0.4043925401710196,E02001629
1591,0.3479290506952603,0.0,0.0,-1.30631377653554,-0.6993041581191596,4.691423429469353,-1.0504157757219865,3.3919752406124863,8.412319515397847,-0.7308337250689848,-0.13984035495724462,1.8836732665324458,1.5401499181962732,-4.236270314756931,-1.29039325971911,-3.015701875058423,0.01920597800676438,-1.7906798369746755,-4.667573762486373,-0.7575126791313639,E02001630
