,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc
count,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,7201.0,6601.0,7201.0
mean,74.96085692442594,10.381327033961398,3.3669718613502497,4.705109023678096,7.30941264523134,2.6811021366320342,9.768107580916617,130.59102157343003,12.017846392541095,287.7373165954046,28.790734790135655,157.3611099736194,67.695957226732,60.00976373904636
std,14.805854644672676,4.826474381749273,8.82685799539667,6.114003098940578,6.356014356710346,2.609433828850977,6.457068673297412,31.007921511497212,3.510609375680462,62.516603979866694,9.827287965086551,41.16863616261791,54.483508228393035,16.49191802492391
min,17.510216912920466,2.8265524625267666,0.0,0.05252100840336135,0.1736714136853074,0.08067769261799113,1.4951321279554937,93.75627335768631,4.963508316838097,186.3938621066657,9.32126891525424,101.7932893976893,0.55493826,3.0512016718913277
25%,66.484375,7.0347284060552076,0.06798096532970767,1.0243775933609958,2.491103202846975,1.1446740858505564,5.330564209068882,107.6247372191055,9.595475365450339,241.64374387818364,22.919590719161672,127.90720843650871,25.102914009234823,54.5084533500313
50%,78.17307692307692,8.896121508001086,0.15497869043006587,2.3322227510709186,5.378328499868179,1.8799472295514512,7.910112359550562,123.44339394293863,11.20522648975903,273.252282041841,27.004106453703702,147.59408568439142,51.1592,65.10757717492984
75%,86.84317718940937,12.367384055774476,0.5387608500448967,5.741775294847921,10.130410130410132,3.293135435992579,12.098765432098766,143.19717784529863,13.592524345510984,321.46523565861736,32.12206086190477,175.66506868475875,94.952232,71.10474827010259
max,97.07846410684476,37.59172781854569,55.72609208972845,46.028513238289214,45.51775515271915,33.739166322740395,51.324140949879634,451.0152452067614,64.23360658248848,716.4591599320534,115.17637166666664,437.66920397394813,346.8181333333334,84.16775884665793
