,MSOA,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_car,yj_avg_time_bus,yj_avg_time_rail,yj_car_perc,label
0,E02000001,-2.0786857999268484,1.0945447029613251,1.965725241617912,0.7568256958036815,0.05896720926746552,1.2752848402335124,2.5414509146518185,1.4817878022770177,-1.3378805791808708,-0.9411096431323368,-2.1121256983863668,2
1,E02000002,-1.0091712239055377,-1.0090403460128383,1.9574054807362664,1.1087066738963545,1.2225311275910298,-0.5349296277621833,-0.9843093689646734,-0.4567887370606961,0.3866526944835617,-0.4435014639646924,-1.1116777051738818,2
2,E02000003,-0.6236870306491373,-0.7802415953591003,1.9438473374686545,1.7343696983979184,0.8284506258767053,-1.106923797446927,-0.5405331571286102,-0.7609071739826064,0.4142247695685998,-0.4452790430252689,-1.374802785252363,2
3,E02000004,-0.10658049124481422,-1.025167182717572,1.9232256493979931,1.4955767457493467,0.7530780137535705,-0.5337470054408394,-0.2926588946561608,-0.5551218596456445,-0.2374950691599293,-0.5146615123166307,-0.9634510593246686,2
4,E02000005,-0.7965776236172055,-1.0657200182097497,1.9415461383889236,1.416713619244803,1.2501957617659698,-0.2807873875102406,-0.6613331042872497,-0.9987894830244708,0.1356780358590719,-0.4844648441747934,-1.1959651089798329,2
5,E02000007,-1.3065912670783115,-1.550971124673857,1.9670425453299216,1.1238724951882746,1.288457886375138,-0.4447032046091096,-0.5042886205980958,-1.6115210264269706,-0.3314950329712705,-0.4969473733311448,-1.3252110168591011,2
6,E02000008,-1.0681486941383684,-1.5099367759116444,1.9614942707609468,1.301298897047712,1.186862532275161,-0.4555882900515402,-0.7399622594567317,-1.1911062983054819,-0.07938922242413655,-0.5493221835056702,-1.2368840357526851,2
7,E02000009,-0.9822254405220764,-0.994701405915806,1.963325400925352,1.335670997512937,1.3070194913571729,-0.24180189246558825,-1.4418504936888539,-0.30579439895459265,0.013419301591251114,-0.5567146176189014,-1.3530354653137553,2
8,E02000010,-1.080287101876874,-1.7618236536965233,1.9763238932465792,1.1965518105546806,0.9834838853125072,-0.8317927303324261,-0.4322317650695213,-1.1720219287671916,0.2900668209541594,-0.5061049912451309,-1.4235951262773576,2
9,E02000011,-0.4885218316250863,-0.7924251176480048,1.9783873675202956,1.2849481578199198,0.6527090576642778,-0.2838527119974781,-0.6728705140263128,-0.2184622942967848,-0.4835892460732639,-0.5033375018453949,-1.4866186162375143,2
10,E02000012,-0.31901120472588795,-0.5680556352745167,1.9768885000515728,1.4282193941671057,0.5099899886132641,-0.6851383896196205,-0.7864673473046857,-0.7218968535845804,-0.3612883119358909,-0.6415276231718374,-1.468704450680718,2
11,E02000013,-0.9773711686040288,-1.4360594659152468,1.975997437972821,1.1856832450239614,0.7718674107357721,-0.32506110706060265,-0.9463638353563536,-1.1219383010562745,0.5943776870352375,-0.5976688318617972,-1.3053692451220782,2
12,E02000014,-1.1466295599053955,-1.2692342570448012,1.9740520066892218,1.2741975176398994,1.010110831072688,-0.6357731552882012,-0.1987129321987863,-0.6190391697141512,0.5845450398655115,-0.5492900032005128,-1.4825824608240064,2
13,E02000015,-1.5167251676396627,-1.5231459081484169,1.972848229947497,1.268360656045184,1.125060640105855,0.5236045757538361,-0.5269956553987878,-0.5619076051576619,0.4029662039763851,-0.4451379420645516,-1.506000366603663,2
14,E02000016,-1.9796560689424008,-1.336392469700803,1.9859616709379817,1.625425900805061,0.9895551691172184,-1.1384251516283648,-0.4017328324289456,-0.4555016731466265,0.1979622881148108,-0.6640913211187409,-1.9854774478559483,2
15,E02000017,-1.1226884058825672,-0.6820444701931573,1.9821063774410224,1.5124618641954601,0.7497289861135072,-1.0333503024709267,-0.11590584470871684,-0.07907174640434039,0.08455732945474627,-0.6528486366634197,-1.8011434946982947,2
16,E02000018,-1.2714331409069104,-1.2776930616265811,1.9771007916267265,1.3100562523784185,0.8623641192868771,-0.3465926409386083,-0.906182931830601,-0.7319557868256732,-0.11035317994500199,-0.5646159209935143,-1.4496138761300232,2
17,E02000019,-0.7919151885181338,-1.6746957907685112,1.976674764726,1.1892685964118626,0.7265210291443363,-0.1697531709372059,-0.4811960108009825,-0.8466402455016409,0.6847520538199532,-0.4679286401024317,-1.374334542957294,2
18,E02000020,-1.2928203625617665,-0.6387169359315664,1.9773521924001138,1.435738169761526,0.9359447251170872,-0.2053687475923804,-0.3343358710434412,-0.7506342466520279,0.703254064713324,-0.5742579474255722,-1.67395554798474,2
19,E02000021,-1.0040693759239383,-0.7099850682634072,1.96844024324601,1.2428194910718486,1.04986229582357,-0.4174808648231863,-0.2910873114056007,-1.0284301119282386,0.8919867427872286,-0.4572143235276791,-1.395408043537541,2
