,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,taxi_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
0,E02000001,0.977529812995936,0.8368288369533894,1.0,0.3260031798149099,0.6358396691572938,0.869857963867947,0.6846646047754028,0.6217345988466095,0.6749753439821837,0.5759360385409247,0.6862684005526383,0.9668210473171625,0.624981772144705,0.0849382414247315,0.4907603905074012,0.1588965097285162,0.2785321302273163,0.03416122286125267,0.4927021638735794,0.0,-1
1,E02000002,0.5715140896627008,0.0,0.0,0.7419902683443658,0.3158723543472766,0.8509897119939391,0.7456247918365169,0.7974525684105849,0.6559530185286659,0.7042650791084539,0.464109923723406,0.32209771989278824,0.5138159146306085,0.12306022436393692,0.2786263933100278,0.28831193595725546,0.4685043623345298,0.13525157772657792,0.6077445519472617,0.8231956085568461,0
2,E02000003,0.5514138224511922,0.0,0.0,0.7990132980214391,0.3446475884083327,0.8271133295596604,0.8758748438305807,0.7386370081979297,0.5680681041720403,0.6533943354308326,0.3961066277262488,0.3884336275630217,0.5054315191247999,0.12214765490897105,0.25283104510552323,0.2867435666510523,0.4718591211587135,0.12706027552688104,0.6073888259982546,0.7864076335110242,0
3,E02000004,0.4893310093166241,0.0,0.0,0.8571848023299159,0.3138824102590612,0.8000468127245097,0.8216951403964563,0.7273470531590086,0.6227844286041151,0.7439398012864423,0.4642468835187132,0.4264115344544803,0.5021359331348321,0.1406403227354347,0.2701284399746705,0.2965800161641261,0.39549660560446204,0.13869942419263115,0.5932462077971764,0.8398260521219632,0
4,E02000005,0.4392781808009187,0.0,0.0,0.7753250680015578,0.3088998123498701,0.8236447753659564,0.8051772988915205,0.8015754105778525,0.5830569861129858,0.7112707985039424,0.4934126523791896,0.3701869089303905,0.30763931533545635,0.1245928634772646,0.2335991166362137,0.2878890305720572,0.4384892393704698,0.1263399069021447,0.5994641165461113,0.812593873798922,0
5,E02000007,0.589696993097471,0.0,0.0,0.6842187988897068,0.25147443065519554,0.8732774410197829,0.7484000012818891,0.8072776202274026,0.5774727043731694,0.7207064192754666,0.4745379701295195,0.3939399601774852,0.4016162141338696,0.12659743605587126,0.1873641372032666,0.2837821071317221,0.3849560969284132,0.12971330293388394,0.5969057450675272,0.7942608426711362,0
6,E02000008,0.589696993097471,0.0,0.0,0.7317244228480333,0.2561840274590633,0.8597352679209863,0.7820141074135469,0.7921366818988107,0.4762447782131538,0.7461465434131861,0.4732819234756092,0.35839175407216584,0.4518687736695153,0.12471545750314394,0.2186021612733597,0.27853409686494635,0.4134828080555266,0.1193950553396399,0.5859851374501712,0.8070874899873879,0
7,E02000009,0.5034690384776668,0.0,0.0,0.7465190750413511,0.31764578406999583,0.8639670682703402,0.7887955108466143,0.8100439651750813,0.5220303031660054,0.7772779538924842,0.4978969119285398,0.255245795935515,0.4628810698492029,0.12211477771466404,0.2919870458298207,0.2714458017255521,0.4241957747044056,0.11184850350134967,0.5844188732358477,0.7899181817476626,0
8,E02000010,0.3712331296158847,0.0,0.0,0.7295480392901448,0.22766171432574064,0.902467568352006,0.7619041733304612,0.7618065763062928,0.5716804086664569,0.665839057856949,0.42936206756255796,0.4049329844017775,0.5185026988776158,0.12844479157516986,0.22006946247635675,0.2783282345549325,0.4568432943759713,0.13243225025945904,0.5950181567893287,0.7781437419008501,0
9,E02000011,0.5166312287338417,0.0,0.0,0.8158377289343584,0.34308883997037426,0.9106574404932865,0.7788210643539792,0.712278142752212,0.6275137772822534,0.6534624372189417,0.4930600621321126,0.3684522992116761,0.4750272762703071,0.1316178892670128,0.29989537280776635,0.28736417922532503,0.3681344623511376,0.13854751933428133,0.5955895574101109,0.7665501639392875,0
10,E02000012,0.5034690384776668,0.0,0.0,0.8351970646637512,0.3723047357205085,0.9046279528666108,0.8075502889276759,0.6907641506516407,0.6688327591697506,0.5697127259925475,0.4466332480643724,0.3514437663481552,0.4244323758982588,0.11744284412312077,0.25606128972173114,0.2540214852670073,0.3816385046277382,0.10234480559901148,0.565983132948402,0.7699611672801391,0
11,E02000013,0.4893310093166241,0.0,0.0,0.7473246871719041,0.2647277930890583,0.9012440289950584,0.759862496752385,0.7301633872934845,0.4858482223579604,0.7328678018830258,0.4883194373925138,0.3277013808159941,0.5568108836818251,0.12493068494689474,0.22394171442439448,0.2643117101493249,0.4940703214157826,0.11593702881936485,0.5756258111287108,0.797264198420043,0
12,E02000014,0.5715140896627008,0.0,0.0,0.7172387335528265,0.2843391629521733,0.8943092717166882,0.7767328716558458,0.7657805597833586,0.5543304290147224,0.7281847887470104,0.4523965981889064,0.4410165535832491,0.39612944989454335,0.1289414332771157,0.2646868889040969,0.2768139717333633,0.4928447478632729,0.12818064148933894,0.5859919418932439,0.7673271903125239,0
