,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc,label
5942,E02006079,-1.0432136888554744,-0.0,-0.0,7.620534831950534,2.375745510989123,0.06232682360807285,-3.773062249025424,-8.851579920808547,-8.112537631894783,-1.1488889438096672,-0.5029093729534008,1.96129187636512,-0.6135028382165149,0.0,1.0455024071059622,0.0,2.9257883234140176,0.0,4.516883810184312,-11.89627387795699,2
5943,E02006080,-0.5477397120067731,-0.0,-0.0,14.085961508346164,2.2653743379399742,-0.00029093849029829255,-5.485489924436556,-6.963360691017297,-6.397326976965428,1.988511491032356,1.7561135448311875,2.3062594813397976,1.307180991378736,0.0,1.127400629822361,0.0,0.8511110385853878,0.0,4.619244668829354,-49.701732314658955,2
5944,E02006081,-1.5421826844261688,-0.0,-0.0,13.561102100254018,2.9473534462681457,0.07310622194586358,-4.777743467145856,-6.375810670608299,-6.361752850036728,0.4727445781668702,-0.7656281708164688,-2.4026214886278057,1.3363386494498868,0.0,1.7732674174473262,0.0,1.5388609340103436,0.0,6.185078496791941,45.91586186708889,1
5945,E02006082,-0.5477397120067731,0.2170140383282393,-0.0,12.277634819150467,2.195790950332939,0.09319548817267724,-1.6241001453714214,-6.838836709831263,-1.850118092881192,0.6535178210971158,-1.0176119774487378,-1.0316198508386234,-0.8087813313234941,0.0,1.2879239983805548,0.0,1.7376414104750757,0.0,4.640032043772601,65.20149144690903,1
5946,E02006083,-0.7030568326169381,-0.0,-0.0,9.79888447077767,1.8182230761451703,-0.03724107532645599,-5.936602572989748,-6.839624728869832,-6.6537613799492625,0.8528560596897984,0.6400143595837376,-0.266537380542516,-2.0843315259461117,0.0,1.3676348598524817,0.0,0.6600019315935418,0.0,5.964613936529245,70.70766109739779,1
5947,E02006084,-1.4342113318314555,-0.0,-0.0,12.059598398206948,2.670372888525699,-0.02613426889587579,-5.032955552368278,-7.033672025978736,-2.7885535716104424,1.608112398961131,-0.5241661040190101,-1.446494702968143,0.8381171472304104,0.0,1.5585952840270394,0.0,0.5667831895262105,0.0,4.980789318658675,50.670604464365404,1
5948,E02006085,0.7186221790910412,-0.0,-0.0,6.652872996032508,-1.3336810247750237,-0.12923560050709434,-8.151280418946888,-2.828301697035116,-0.8453013763966041,2.445768380413673,1.8085825059184828,0.8936515200731127,-0.6504451483426288,0.0,-0.7854830467439946,0.0,-2.6564603746065716,0.0,-8.528048178357873,70.14031175427014,1
5949,E02006086,1.4651580228171517,-0.0,-0.0,10.729861272169444,-0.7701346459807982,-0.07590301848892161,-7.033089755223749,-6.32003964756067,-5.2419578702013405,2.283212223240392,2.1049902681899764,1.4225143670861269,0.3910314514795693,0.0,-0.4225543996207302,0.0,-3.7313658049199474,0.0,5.347461290912234,52.47968829146579,1
5950,E02006087,0.12221576866995755,-0.0,-0.0,1.9911294545913591,-3.5155362026780987,-0.09914452053802923,-7.736701375235406,-3.761091638881379,-1.850118092881192,2.5789917317990763,2.288456539234682,1.9367537302044824,-1.3228060083584967,0.0,-0.3241336129162393,0.0,-2.6958210287437736,0.0,5.484031185964883,42.444778149813224,1
5951,E02006088,0.4616880058147236,-0.0,-0.0,-5.756122136610202,-0.9817007933890396,-0.10120256217870548,-6.799806349892447,-4.829514884223175,0.4750318390656759,1.5462686341579686,1.8895317059796541,2.7474901030858843,-0.009657498236707984,0.0,-1.1620573558586111,0.0,-0.25428376190736857,0.0,-8.528048178357873,-14.5117727681573,2
5952,E02006089,1.0018498043637276,0.2170140383282393,-0.0,-9.453842258769985,-0.4783445242280131,0.014909685165476557,-6.383024048217355,-5.025747358636775,0.5623650932966435,0.7776239549763053,1.972964808643897,3.2932399314024776,0.025809529003241027,0.0,0.08756210343001404,0.0,0.11493979117731347,0.0,0.06868814148684342,-57.87876930586769,2
5953,E02006090,-0.1933878183465756,-0.0,-0.0,1.8635549662614024,-1.0722802719295002,-0.12923560050709434,-7.114570952102653,-6.958009312181599,-1.3349083998923776,0.2881414733525772,2.721325090762696,3.1573409726225488,-0.4856533131041222,0.0,-0.2455004574487448,0.0,-1.1558698728866608,0.0,-8.528048178357873,-44.24579049554839,2
5954,E02006091,-0.32987305026089697,-0.0,-0.0,12.03734591334058,2.4467149803171893,-0.003186682604341129,-5.892438543313688,-6.0612047243905876,-4.822301258596681,1.4687171948946058,-0.30592389361549394,-1.7903134580688596,0.29237341597848165,0.0,0.9622737440763612,0.0,1.4642950428228192,0.0,4.891622137321944,66.45870798398177,1
5955,E02006092,0.5147885574487436,-0.0,-0.0,10.88606559139513,-1.674736284842768,-0.025197056370101226,-7.351746418069721,-8.684619326431664,-2.067510838024258,0.3203638774185092,2.9278636126209063,2.492606481946313,-1.702613478216005,0.0,-1.4325233925920258,0.0,-3.1940612976952107,0.0,2.9890182860345185,5.156751751514343,2
5956,E02006093,0.7186221790910412,-0.0,-0.0,8.428896136227449,1.8743174827459328,-0.08224197787955695,-6.62707274551117,-7.233736647574916,-5.678138666973697,-0.09043820951714852,-0.4724671115211952,1.217707877610158,-0.7193519283266078,0.0,1.4081063746527938,0.0,0.152892907436011,0.0,6.601213525691196,37.39865419709196,1
5957,E02006094,-0.4006412608832732,0.2170140383282393,-0.0,11.959584002536745,2.110614786016217,0.02454289747534627,-3.8273781799353728,-5.180228351236964,-4.146792493284583,1.2448132109527128,1.1042569645488982,-1.9874632080098689,-1.1643638798324643,0.0,0.1135768802038888,0.0,0.22787917604942706,0.0,5.140969769719534,68.47671115855667,1
5958,E02006095,0.0,0.2170140383282393,-0.0,4.147681582515022,0.7891713508328698,-0.056496198082570365,-5.5147014900510385,-6.8244104004349575,-3.9628626936102176,0.6733346196046652,-1.494316267789405,2.2065940559496133,-0.749885885910105,0.0,0.7425428500167479,0.0,0.8403754384243726,0.0,3.478725671741648,22.72548751323101,1
