,MSOA,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_car_perc,label
1352,E02001391,-5.607020402289057,-0.05020618464493222,-1.5438912519217236,9.078421709385683,-1.2227070523142043,-1.4234193539809954,-0.033970358826980886,1.4661055541653951,-63.53698096949755,0
1353,E02001392,0.6289360299497456,-0.029876722799577107,2.1601759669498692,2.9454891735739825,-0.5566733023034364,-2.1186005797205936,-2.6922557417110724,0.4650295915225793,41.34421202164624,2
1354,E02001393,1.3773993069511212,0.17718257911817215,0.18028091179090427,1.7531791761873985,-1.924057774748084,-1.1589993127921794,-2.4679402639005965,0.3833981339348929,50.797387301279905,2
1355,E02001394,-0.4343081019844577,0.25530950596895297,4.104422457008157,6.4069566375385225,-1.8316221673042283,1.8691697510279268,0.0642776090283693,1.162437378779961,-78.26885766194412,0
1356,E02001395,-0.7542494905163988,0.21471652500826646,4.78092698134701,3.8233018515070794,-1.5770019047192243,0.6072012252463322,-0.08203861931318532,-0.15615534571738227,-23.291072220085297,1
1357,E02001396,-2.0564846471823937,0.41904232834205607,6.299550827730972,6.490583194019378,-0.962104567689378,1.3747155457298517,0.3645190784184963,0.26051103529649977,-106.891620136299,0
1358,E02001397,-0.3323980480012124,0.17977237749479066,3.1404253443784413,4.7041773307397285,-0.6496736368680786,-0.6983422529317853,-1.1477767986321998,0.2811841267062733,-1.1662045166111956,1
1359,E02001398,-0.7379656735862243,0.3815333355328615,5.043876271978448,6.075327796177764,-2.2084358879445904,1.4153941054450552,-0.929403246991834,0.1321472293310141,-64.53877137482924,0
1360,E02001399,-0.7941109386201167,0.2732478444761216,4.655210424806506,2.8504656287871004,-0.5859902612057264,0.6645502499109457,-1.1528969571030827,0.6017982514762287,2.7605598508721645,1
1361,E02001400,-1.981476628292707,0.26125223026990463,5.3183822745334925,5.581004043433468,-1.208930068705613,0.03392190516067302,-1.1790408942765531,1.3319589763313229,-38.05386493056232,1
1362,E02001401,-1.930982398160176,0.19895887023669964,5.328349662969642,2.363265431170936,-2.2563938743272174,0.6411012693934716,0.2298028491894901,1.8441580397109316,-15.674944782329526,1
1363,E02001402,0.2456583586828885,0.4038646082448407,6.154879670388333,1.7654514325168935,-1.0804247439210073,0.5356944917567852,-2.1875841520700674,0.2655937850694326,-23.993127513354022,1
1364,E02001403,-2.6104895510069044,0.2338414557319139,5.308832950668409,6.763283560666936,-0.291849064118014,0.7951674415520386,1.0593161832247058,0.5625040274254194,-95.91502562974978,0
1365,E02001404,-4.897131076336811,0.0912714622710534,3.3508740700024364,6.677617716799622,-1.1844539766015565,1.4409752853567777,1.6689960014797156,0.3914405731943997,-85.03391667147038,0
1366,E02001405,-4.109040029224525,-0.0023477397117345755,0.5309814466560039,8.294325692740268,-1.8630271550685704,0.8553665168251924,1.916981636259777,-0.2544420162759948,-106.46555204055458,0
1367,E02001406,0.5824792319581733,-0.10174202274314813,0.5498835773329998,-2.9736922417842724,-0.8325175337375659,-2.2297230574185782,-1.7051558251088663,-0.058486669855487484,112.39115061209769,2
1368,E02001407,-0.44971928637067227,-0.034274299920011936,-2.3714856962564115,-1.0663691653126943,-1.2627940193187936,-1.6434346667634656,-1.5455774415001533,-1.0007092335364058,130.34617514031942,2
1369,E02001408,-0.3094932403768286,-0.03782904483508198,3.49875332086734,-4.3886502100321945,-0.9862248266340201,-1.7539653013531005,-2.5658201050929,-0.34589032714199536,119.27907939459105,2
1370,E02001409,-1.6625019485961088,-0.12923560050709434,-1.928523130890489,2.3694772577155208,-0.04888383460144368,-1.0741039498113547,-1.5094492681543197,-0.2919241739891903,95.01175397115976,2
1371,E02001410,-1.4485151200902855,-0.09320365658901662,-1.960140568332852,1.5326743442987634,-0.22905743861928934,-0.4530477187123765,0.8556595831988454,1.031257112326568,49.04519722364774,2
1372,E02001411,-1.8126675964714667,-0.12923560050709434,-1.8909200155872736,0.6117877265923819,-0.6589772197289185,-1.518745737534559,-0.6019863905101226,0.00269955119861584,107.98857468131365,2
1373,E02001412,-0.349169319919467,-0.12923560050709434,-0.406264598160656,-0.8166898777164566,-0.8350551221807981,-0.7119727605488031,0.2619797368900205,-0.2781608407040371,70.62263494474456,2
1374,E02001413,-2.5601252750779904,-0.10788240808048008,-1.8435966138670945,2.2571744605077946,0.2757401445659368,-0.7355470993703775,-0.6990447077566574,-0.8514143935245156,90.8001077073373,2
1375,E02001414,0.4375494440045322,-0.08952721177258781,-0.9226423273066058,-4.356931902069731,-1.5922479631293338,-1.9935318741395072,-2.7119929955153443,-0.3661170114340584,147.60393181032498,2
1376,E02001415,-0.9049072985066421,-0.09718706464785594,2.9087352699878566,-2.178869457680752,0.018767886782895413,-0.012630205358359849,-0.2438134313934515,-1.1747238055515632,77.38970161744523,2
1377,E02001416,-3.415627426058592,-0.08710175703082612,-2.5027549180054875,3.947358960635397,-0.7252376347401159,0.16882443597634078,0.5113590262721232,-0.4993827244354496,36.47123657771505,2
1378,E02001417,-1.5720023471975315,-0.0979294301216942,0.4824813671754209,2.218411999375438,-1.1291620938370324,-0.32688955143509685,2.2661989380827743,0.2673823362381157,-27.31499219150333,1
1379,E02001418,-1.4889782199786894,-0.05375284462394832,3.2817569199291974,0.13321209994500968,0.5162797247515633,0.6662081911540989,0.41775151046759457,-1.3200074879024148,35.067447228405015,1
1380,E02001419,-1.6499948753217968,-0.0018073062379398157,0.4527664431564706,3.342146697374529,-1.339152525175444,-0.0736727768239714,2.5863350220511667,-1.1800439070453594,-57.33625087519073,0
1381,E02001420,-0.9840886366089904,-0.1089809082030353,4.095259759926593,-2.013360871403466,0.20144534037978534,-0.7209884149440966,-0.5863104133669516,-0.2493306150401208,69.6627433240739,2
1382,E02001421,-3.12384178207658,-0.12923560050709434,-0.20407434710597824,1.838782799550822,0.2992825026566963,-0.3824626829620607,1.0343078638309966,-1.819037197387932,45.8617643986561,2
1383,E02001422,-2.8338165530336035,-0.09037573769492188,-0.8337797974002485,3.9662467974723934,-0.9468445583028358,-0.5083909323327329,0.2232849981864399,0.2748285317863905,34.692321591774785,2
1384,E02001423,-0.22740842781337225,-0.06644694753845798,1.7151573928306718,-1.434997132451197,-1.0141476989182336,-1.2055409844624732,-2.093163381321406,-0.6019521087334468,107.30527289971918,2
