,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,taxi_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
4091,E02004192,0.7486230169956318,0.0,0.4771212547196624,0.7721911244611991,7.060590145246795,3.8279847180772,-0.6014375935870095,-3.182743792708044,-5.07325167406233,0.3812057565997552,-0.4569472164580626,-1.6907340584022426,0.7452870738367936,32.65720850272212,2.572716417222194,11.377472816530954,1.9329120635754056,15.3815572816532,4.690281532049709,-0.10911965460202903,0
4092,E02004193,0.42095579443070535,0.0,0.0,0.5494691470355412,-0.11465354057198113,-5.505292298151245,-1.0961765686308678,-2.085546108264591,-2.5177038835487906,0.4517338375458908,-0.6707718561780929,1.4796496109026462,0.4833701075541909,35.644872426989366,2.66365825907828,11.168200460736415,0.6361644666282151,15.622343454001406,2.9960269066888485,0.2562111096798582,0
4093,E02004194,-0.1819321008987486,0.0,0.0,0.7763978882428211,7.00585940083889,0.1835605741002723,-0.1078284878336282,-2.9022456945436588,-3.7335955391126854,0.2553869307788155,-0.09973659775661692,-1.3653850443127926,1.1676495921986911,34.03371713102109,3.5538724322786077,10.546400042740649,2.0818978043527583,14.914858403928516,4.797357867906119,-0.1677457924151003,0
4094,E02004195,0.5334430132238339,0.0,0.0,-0.26321254938155714,4.482447618349749,-0.19072324562811332,-1.1102425166254508,-1.3512882280498553,-0.3565107861941508,0.6491093003642753,-1.4244412095406902,4.43373484725529,2.357082847448041,36.99204225034296,4.7861126360040345,12.969150008586958,2.29262266520336,16.192086046208154,5.05152762192104,-0.9282277212697568,0
4095,E02004196,0.3225469433792621,0.0,0.0,0.7774398072736894,6.570778031973762,1.7993713053756373,-0.6497672522788587,-3.436295230060804,-2.039773053138181,0.0317520405928245,-0.7495779133428386,-0.8672813776353457,1.1163850474739947,36.3181934055524,3.8362317006196647,12.09452444559448,3.2613119119579324,16.43572529368591,5.154497704006109,-0.06520808778316307,0
4096,E02004197,0.7663710582307038,0.0,0.0,0.7746775990805391,4.555743171442791,-2.7670673652784883,-1.7467907141059291,-1.8988066660415093,-5.795468281932153,0.6892324253535829,-0.8578760942723881,-1.5493599236837547,1.6313295426236891,37.70212310197963,2.122433010151788,12.173608538270415,1.0983533734737494,17.340771892995967,4.9264543094298086,0.16340337715407274,0
4097,E02004198,-0.1819321008987486,0.0,0.0,0.0526573535027332,3.797173614455846,-3.2025918826807125,-2.2184857318857336,-2.5638251618292536,-0.20387119246024946,0.08736984542179446,-1.5883108612180097,4.011702667656811,0.9124614599099112,37.49261174659585,2.0925224882075764,13.006088391641624,2.2743554582249224,16.519004348439893,5.237541523590363,-0.46988836134935497,0
4098,E02004199,0.2151800037717979,0.0,0.0,0.6766258792571839,8.076816391326302,1.8963638730910497,-1.2276329496782443,-2.925101064137717,-7.615188097523083,0.4534007337252265,-1.3632913707348664,-1.3861536685241926,0.8668514609783554,38.81951609744599,5.395662472581376,12.747081370287454,2.689891509307846,17.503356892965108,4.118140461858487,-0.2616634176845215,0
4099,E02004200,-0.4955209557219897,0.0,0.0,0.5823722929872183,7.64992095355142,0.7054134289816374,-1.1055815637522022,-3.03022621144755,-7.779505688752247,0.3397043660918506,-1.3413464745266983,1.0911436234307754,0.9405719841571556,37.53634097353839,4.061385348686767,14.169623296808355,5.524038646268369,16.756815923431507,5.075469936549693,-0.4087609031133372,0
4100,E02004201,-1.366051825224842,0.0,0.0,0.830624383906595,6.723673989495282,-1.0098819035912538,-1.1260225967126758,-1.5835428695881837,-3.082201141433868,0.3853100189056751,0.17277246314482395,-3.189849444640447,-0.061446015550098064,27.7802191517083,2.52875417437736,9.655288123214438,2.474993198404873,10.587488704152696,4.2843980972901985,-0.03694071332249357,0
4101,E02004202,0.5117869468910203,0.0,0.0,0.6622307673517518,3.3548350851829056,-6.864694498537152,-0.048737433809515285,0.10438622015904472,-3.816796882824018,0.6467335724955898,0.9727146204824366,-1.2444208879711074,0.29825732549773715,25.20486492413198,0.3165158949316816,8.370847610651579,-0.4755125470528264,11.000012384373758,2.322678638879073,0.02329349562783704,0
4102,E02004203,-0.7210086451107008,0.0,0.0,0.8090309741315219,7.636794601916258,0.7800120523302739,-0.8208442341601729,-3.2939432583993398,-4.370681241915096,-0.1272280916145412,-1.4957149842420148,-0.0751564396758247,0.17497976431595272,31.64682728534582,4.193993702469346,10.504976918667392,4.830627345255046,12.690571074602973,3.8675251389274536,-0.2460647301511251,0
4103,E02004204,0.467244962605116,0.0,0.0,0.6060601559679959,3.6002967275338222,-5.426372147530004,-1.3736841572321428,-1.8904670117079023,-3.0644551092914747,0.13400873648204642,-0.8137235236370036,-0.041678747388254014,-0.3018169912147561,28.373485968477407,1.85317743278126,9.347086397227077,1.1175173747644152,12.118246930849647,2.5452333206886717,0.20358277284144813,0
4104,E02004205,-0.06944488210561998,0.0,0.0,0.2693002706170845,1.7831603652304804,-8.859556724225731,0.9065956616131724,-1.4825176312328483,-2.6715467988878534,0.2511168130782901,-0.08487671121762677,1.5422053842131338,-0.09352722705327024,27.68888280369323,1.377818094627781,10.243375525327984,0.5702456815913758,11.15298887776956,4.447280229746808,-0.016055840779114615,0
4105,E02004206,-0.602887895329454,0.0,0.0,-0.4715831693749167,3.2839324687070413,0.8762058209573302,1.1745859909256406,-1.3293449750780386,0.4562691778498692,0.2762551661627926,-0.3590233710546865,2.1458922098358406,-0.5475110275972369,28.413602100064335,1.6331066094258482,10.522003500442388,1.9816235827939064,11.368743917244224,3.488359080014562,-0.2811298240118145,0
4106,E02004207,0.2151800037717979,0.0,0.0,0.8117546216321968,3.570891628479739,-8.691045780800211,-2.052121261687861,-3.0317084687059874,-4.425126967620735,0.05160138184959282,0.03790365774611538,-0.10985434819069398,0.2472340989925637,29.526879309047324,1.2098651604138462,9.114983487354069,-1.3161063079119448,13.900204812737332,-0.5752159432705489,0.2218015355940884,0
