,MSOA,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_car_perc,label
0,E02000001,0.7832498444770313,0.9915241093811951,0.6704675851601543,0.4971810600651069,0.373795665007088,0.7450664814417804,0.97775152012253,0.7652664074018496,0.0,1
1,E02000002,0.4628202321606218,0.9887666639726072,0.7522566213637752,0.7303296821996635,0.5727985143276935,0.4298785100885271,0.3753299392425151,0.5881801879559639,0.2289126383045337,1
2,E02000003,0.4976721127661661,0.9842730444522756,0.8976818615674341,0.6513659703331363,0.4906020852891717,0.3302849618343035,0.4511548239726266,0.5737643642404044,0.16870695375770686,1
3,E02000004,0.4603637039419468,0.977438331304062,0.8421783059185697,0.6362632154380634,0.6379988103701267,0.4300844239937199,0.4935073360682456,0.5680829027274791,0.26282839684328724,1
4,E02000005,0.4541864736172558,0.9835103505567514,0.8238478490016512,0.7358729714321424,0.5842879507835419,0.4741288343215844,0.4305145962533205,0.25607032028574256,0.2096268262363776,1
5,E02000007,0.3802703635953535,0.9919607076349274,0.755781670979773,0.7435397282747067,0.5997912221777488,0.4455884073293577,0.4573476701217072,0.39692005265772573,0.1800540528754097,1
6,E02000008,0.3865209406623201,0.9901218249490612,0.7970215654572117,0.7231826026792265,0.6416233537615885,0.4436931357694055,0.4170797917997765,0.4812821554711678,0.20026416116261794,1
7,E02000009,0.4650044181618298,0.9907287223751045,0.8050108037064143,0.7472590019287081,0.6924664574754362,0.4809168471855693,0.2971531417572263,0.500222058619896,0.17368753712612922,1
8,E02000010,0.3481521498993512,0.9950368549620404,0.7726748011170658,0.6824306933391266,0.5104368871015096,0.3781897844026985,0.4696595124844674,0.5962087410282425,0.1575427717223956,1
9,E02000011,0.4958162518274387,0.9957207589519196,0.7932211008515186,0.6161518288190818,0.4907100079155641,0.4735951111502403,0.4285432811169614,0.5212018365963874,0.14312235860765352,1
10,E02000012,0.5299934419950676,0.9952239844317732,0.8265221800972726,0.5875545564410315,0.36503311452952897,0.4037247057927578,0.4091337982305279,0.4346941196061643,0.14722130120981985,1
11,E02000013,0.3977743377201997,0.9949286568288802,0.7701485790277339,0.6400281328166043,0.6197951308013816,0.4664200550050694,0.3818134226630647,0.6605601510327521,0.1845940513038873,1
12,E02000014,0.4231860685313829,0.994283876211144,0.7907222886006778,0.6877660561996236,0.6120913457334326,0.4123200011786828,0.5095592144344103,0.3880028104970125,0.14404587186429607,1
13,E02000015,0.3845088531911107,0.9938849045704138,0.7893656046251094,0.710799074986702,0.5650301597951566,0.6141866426954085,0.4534678806007648,0.6875230626773254,0.1386876177301908,1
14,E02000016,0.4129561612330213,0.9982311349686664,0.8723596396792835,0.6836472242330166,0.29381406724743464,0.3248000604069489,0.4748706481654339,0.5495324958598748,0.02897840303770232,1
15,E02000017,0.5126300374589918,0.99695336250583,0.8461029783216566,0.6355921554580528,0.35258320705049484,0.343095311677839,0.5237078724658828,0.4761495622950924,0.07115587936101242,1
16,E02000018,0.4218975770229829,0.9952943449189936,0.7990570709172496,0.6581613720603942,0.589217834410969,0.462671062494449,0.388678847841189,0.4200796047187856,0.15158941811024604,1
17,E02000019,0.3614239438558615,0.9951531454376558,0.7709819359089646,0.6309418710132445,0.7043459163294317,0.4934617090119528,0.4612933400996879,0.6318388277105857,0.1688140923394795,1
18,E02000020,0.5192299251187931,0.9953776674949854,0.8282697977509242,0.6729050544614918,0.3773128320374152,0.4872604541037706,0.48638628756185903,0.7121103060422085,0.10025777035411333,1
19,E02000021,0.5083739723134892,0.9924239512011954,0.7834289743531071,0.6957312389356538,0.5674947305341945,0.4503282623047267,0.4937758613195755,0.6065861351658374,0.16399226187066476,1
20,E02000022,0.5201002144335185,0.9967362800173241,0.8457155674817322,0.7235060312316769,0.23902772704774136,0.4422093866987637,0.5110502481054564,0.5508283070130902,0.050373379216479705,1
21,E02000023,0.528886514468901,0.9934769656754038,0.8313956307017548,0.7390477872139503,0.44139469364441386,0.5736115527963731,0.37093763185137785,0.5693731933270425,0.11097707152640217,1
22,E02000024,0.7854692570557973,0.9952365163255288,0.6055820258516167,0.489824290858586,0.590368691776513,0.4739767545891541,0.5569434395810242,0.4742132166164493,0.14930057914712336,1
23,E02000025,0.7169286488239404,0.9886004416259588,0.8218897138726411,0.6030332142621679,0.6565404779173075,0.4042491286697189,0.3903787813823879,0.4484604911798671,0.19282131713457706,1
24,E02000026,0.6993742500752329,0.9914989806729017,0.748854137974923,0.5119416227898869,0.6170729729475289,0.2640002661638032,0.3478211778182313,0.6352720952225606,0.2571957405919837,1
25,E02000027,0.643526092386512,0.9918231056475026,0.5856125400300128,0.6676946577332189,0.6113773626481985,0.2966011107461114,0.50318804749131,0.6144942614622251,0.2273925821194866,1
26,E02000028,0.7569338879840377,0.9872878869566007,0.8456803570013299,0.5486703279340178,0.5894614363499165,0.3436621607611661,0.3522565735438817,0.3702324550798884,0.19733896931778347,1
27,E02000029,0.6351814613618829,0.98341963206865,0.8647390046629916,0.5945597309974452,0.5430140504910873,0.3594364844883228,0.4552078501951526,0.6678622930466683,0.20803406300565325,1
28,E02000030,0.8323806309766739,0.989821324763282,0.6272681470316357,0.5023136116053808,0.5330085896869465,0.2887144488821269,0.3043137451221716,0.6417249319887782,0.26651870258620763,1
29,E02000031,0.7792430564403843,0.9957239933568643,0.7399023576651893,0.5951923531823421,0.6074512100635876,0.4070976811030276,0.3173688661746929,0.6222171258670871,0.1217158471117222,1
30,E02000032,0.6891022586922275,0.9956246509427592,0.6154564070242586,0.4784874881585097,0.5222291641290638,0.3245513997882141,0.3560267469566436,0.6443444376288557,0.2260731472693365,1
31,E02000033,0.6630744177764785,0.9942894016570616,0.7251562345413209,0.6443502226811325,0.6894415961262975,0.3553739431397268,0.3356784499381097,0.6655210912991084,0.17586891993481565,1
32,E02000034,0.718859688915302,0.9941247632256658,0.6353649436872107,0.6416156491097549,0.7294605687309245,0.4341876770823998,0.4257534467274388,0.5275802670717386,0.1707497268121405,1
33,E02000035,0.7706655594060623,0.998061423524034,0.546312766895428,0.5684888526889855,0.5420093826395952,0.4181659905169824,0.38606483579819495,0.5740667628820514,0.08992644268633762,1
34,E02000036,0.7127402721912992,0.989606923060154,0.7466441287087104,0.6546043097785921,0.5083145382592293,0.2912900186601778,0.297876540658057,0.6380963622991518,0.22680049943289704,1
35,E02000037,0.7723871615858038,0.9912810020924864,0.6030503111758864,0.6021236309961151,0.44360007635926896,0.27751845029989963,0.33412113827401124,0.5965293920616371,0.2457376457072091,1
36,E02000038,0.6941922996694359,0.9932819535372821,0.7783652972130751,0.7211467027028275,0.7579823489181452,0.4527283491293909,0.3222200859775787,0.6673032491647645,0.1196879620609618,1
37,E02000039,0.8264105651396549,0.9833931553902744,0.8404150529720551,0.5720109643129628,0.529752980744821,0.3559177645950036,0.3447999595320357,0.5618152573359351,0.17968803754868354,1
38,E02000040,0.7810091258920362,0.9920765346325408,0.6737528146836704,0.6315782830938469,0.4811730194874824,0.3699165265562611,0.5496840614467295,0.5064813739887931,0.1602803794787937,1
39,E02000041,0.7276363584428276,0.9938041075504516,0.6591486846757346,0.7016415827211372,0.4862313562261328,0.23735423547855702,0.5140530437416799,0.4674489659301694,0.13911426942850388,1
40,E02000042,0.689556835478981,0.9977024588044148,0.5253806562116734,0.6955676168140402,0.5769424386627224,0.4730996288778551,0.5430278444335952,0.5354604898895471,0.06838438823378065,1
41,E02000043,0.7697503458008741,0.9982888415019484,0.4980818299881175,0.502933645284531,0.6129405094560183,0.4475463754681866,0.3700069858446904,0.4985537854133012,0.0964352848104978,1
42,E02000044,0.6024630525920134,0.9919712228382116,0.7985809883755599,0.7413553768677548,0.5505752193041183,0.32290948839792816,0.43684879025828,0.614626020582209,0.13544539819007473,1
43,E02000045,0.6637078273450665,0.9930044839739888,0.6372710329021904,0.8296911238939496,0.7258073871626437,0.5895188331429692,0.3920944299039938,0.5926437394124522,0.0926823568898123,1
44,E02000046,0.705451572447432,0.9988984842292364,0.5371428199335617,0.6364516002089156,0.7217565174515693,0.4493924144247484,0.4310300370131344,0.5671733604766379,0.04646672571745696,1
45,E02000047,0.5717504959725599,0.9956135396365352,0.6462853964750239,0.7770690207984826,0.5171078005428935,0.2914243792249776,0.4781296561445725,0.5428919959512118,0.10928785103246352,1
46,E02000048,0.78532294265544,0.9951585272628328,0.628705592611615,0.5633157431560682,0.5922910935598407,0.313138659218842,0.2967660086623365,0.57940680757647,0.1813355132983185,1
47,E02000049,0.5306123447833937,0.9942405369522204,0.6818470990761694,0.8112672155497249,0.5306133333633603,0.24173632912310936,0.4794007187560818,0.7373681346985109,0.10906820486339516,1
48,E02000050,0.6306694370554109,0.9973430516650807,0.516472662757459,0.6910254373368427,0.6585303350426789,0.5411352062674613,0.503697241505171,0.5238914346593004,0.09329424269862607,1
49,E02000051,0.8341572498172287,0.9965222687624452,0.5230624415983408,0.6493122224869242,0.5862538258408135,0.4318734855282012,0.38761851075057663,0.6465969989706035,0.09310197160876366,1
50,E02000052,0.6518700841194704,0.9993002520670432,0.5114528199557371,0.576656508387281,0.7289677539027111,0.652997563456102,0.3708825325022932,0.5827779349337493,0.04292341511619455,1
51,E02000053,0.5639861898153027,0.9974821763828527,0.6484547739962337,0.7066449677853024,0.6636852977227778,0.36195657443200574,0.481495466041409,0.5505310875162336,0.08686525224483686,1
52,E02000054,0.7306484934083748,0.995337343638274,0.641968601202567,0.6810631662881386,0.6335169651298036,0.37020170081754,0.4477701910418299,0.7006609650686377,0.12713489732701044,1
53,E02000055,0.7406017844671179,0.9961943843143646,0.6263544554475602,0.7183823648523641,0.6447116286585105,0.41995149578312,0.5448256145838288,0.6785213761262956,0.07625893684052165,1
54,E02000056,0.8829895879665199,0.9965985070325629,0.4879950831726551,0.4608060399704891,0.7833459748343364,0.5449693675874215,0.18868182393588406,0.6368171376129631,0.11401065963829833,1
55,E02000057,0.7591621400233863,0.9955419009734536,0.6090511277815721,0.6597984066250955,0.5987419438540673,0.4423443623494635,0.5596367908657125,0.7061912421952729,0.10440485859353033,1
56,E02000058,0.8373069814654899,0.9969217909710016,0.5236838514463065,0.6720010501136906,0.6625409124805676,0.5582957850695895,0.36061628651443023,0.6565152504737817,0.07014772619896945,1
57,E02000059,0.5941917127547718,0.9923741174022196,0.7391945870513447,0.7866024778252564,0.5718318359618761,0.4135991078934632,0.5318759401477542,0.6600804865006638,0.11053300324214024,1
58,E02000060,0.8180760765239061,0.996601739542034,0.5167826805684765,0.6505853529422853,0.5747634025204972,0.4490401292157672,0.5714098811214399,0.6518965869721458,0.07179622687774963,1
59,E02000061,0.8251142159319522,0.9984407035665736,0.550082212482927,0.6949952215808578,0.6247523545237115,0.5449432243893967,0.2888339916772619,0.5974803723519925,0.032993111027820515,1
60,E02000062,0.6198095281339449,0.9934960823091954,0.7286512540130761,0.8281937620140238,0.6249809076988191,0.561445294146757,0.5627851522684142,0.6615530928745758,0.06109055126635338,1
61,E02000063,0.6606109999825833,0.9944030852311592,0.732237659138397,0.8145038110165644,0.7161600503181327,0.5247287459415124,0.3950072065768784,0.6510790845735762,0.0711370668764128,1
62,E02000064,0.7355341707470331,0.9956119300181016,0.6815699859769163,0.8277836573974913,0.6539491453977255,0.622529324366266,0.3724249917546909,0.6702950525435236,0.0438922504004592,1
63,E02000065,0.6251774636502623,0.9813924745858962,0.897880577381415,0.7984780577048387,0.5493969339333898,0.3894545342813061,0.17528249416728192,0.6477298574610408,0.10595862845965097,1
64,E02000066,0.4926835682664097,0.9634493718619496,0.9361694825336302,0.7745497179111946,0.6388334848287652,0.38051565836202,0.3386089637443708,0.3980312034341731,0.1097086763081543,1
65,E02000067,0.487123258228128,0.8891761866704048,0.9291678632260624,0.6724873602185064,0.5625734001178877,0.4098433390993655,0.42353483894559,0.72165000708453,0.20673047682268386,1
66,E02000068,0.5120526986329852,0.9152895370204426,0.934076455947848,0.6808724859686678,0.4249368353675753,0.35475992673417883,0.4847659282644418,0.6647066070985624,0.17284592878520685,1
67,E02000069,0.5369505320713122,0.8558461558340879,0.90177586024868,0.6113506533870532,0.6829686507526679,0.4143914800632811,0.39482689615916267,0.6428755346238766,0.2961757918962667,1
68,E02000070,0.5465764371504254,0.8691947614964886,0.9015908812783732,0.6025012013575551,0.759829353882823,0.39996481372446496,0.3043827639942607,0.560585646378467,0.30553466934803303,1
69,E02000071,0.4559665410095473,0.7427082135895816,0.8989448034162529,0.5998125785996333,0.8055937204872241,0.4126432367296459,0.45923361759559206,0.21369497433062976,0.32050150152406703,1
70,E02000072,0.4602910455433318,0.8717458916952641,0.9082004619118692,0.7279019026970144,0.5759377094471633,0.4401146166995662,0.4972998262555859,0.5288017301784212,0.2089676881528948,1
71,E02000073,0.5076887698492871,0.8563858718356594,0.9267358997939256,0.5239626273116335,0.7553455633223368,0.39324446418896253,0.3127891300218114,0.4609025571759726,0.29663644804518874,1
72,E02000074,0.4661469839047034,0.7538796431023814,0.8881127634743096,0.6598300267162679,0.7169264033298653,0.388486532417989,0.4701325542838082,0.6378360425439584,0.3125547286794678,1
73,E02000075,0.5964122440143591,0.7312066637636806,0.9333269924449334,0.5005319553823905,0.6237563909799175,0.38070326937819,0.4158883815020832,0.5866601911933009,0.2639200768167759,1
74,E02000077,0.5118511180976688,0.8331210856434268,0.9285706906291621,0.6086300866684781,0.70437411639311,0.38986539042205,0.4079616422724406,0.5543287712920052,0.24425118383877245,1
75,E02000078,0.4803794809908453,0.7129323147328236,0.9348542771529309,0.5117580803124371,0.6754739958018565,0.3275188057203136,0.3844675754749188,0.1392829397018006,0.3057162379402956,1
76,E02000079,0.6228149872501032,0.7606814672861673,0.9521645251581874,0.5531062068742016,0.6819644822757691,0.369946289301021,0.5245680901744769,0.5085586911459508,0.1671770372647897,1
77,E02000080,0.5548916105379285,0.7947480670598462,0.9319738452062049,0.6206777776731816,0.7457923008415728,0.3096438026227998,0.38965360603314303,0.5854860389495768,0.23092004943352465,1
78,E02000081,0.5732704140795446,0.7486069626855816,0.9193396395866203,0.5729332090101689,0.7228943514331315,0.3780408370086961,0.5033039243525166,0.5668993254395956,0.2559190239009939,1
79,E02000082,0.5374152101125895,0.8603628288587073,0.9265041561507056,0.552463328590047,0.6783636381608629,0.3882223800273465,0.29752765499577216,0.5972348520836717,0.2785662095334248,1
80,E02000083,0.5366276685449145,0.6921867665485034,0.9193322320237493,0.5453502040110065,0.7343270534240858,0.3587792759500991,0.4485140875824183,0.4964163974742486,0.2994408731934293,1
81,E02000084,0.6280025048607036,0.8058692610427236,0.9236372107372738,0.4993470038217354,0.7595518845798171,0.39517797080357503,0.3556894186959758,0.5276598813037694,0.2781266034942643,1
82,E02000085,0.5483004094323165,0.8108890251400835,0.9012768236944956,0.5690410303220808,0.7056857212180034,0.3925280750320323,0.4128077664272237,0.562230970313304,0.3114715578026777,1
83,E02000086,0.537816083637866,0.7992580390395673,0.9151339062218312,0.514797785700134,0.7687801147894466,0.38235762446757815,0.4015845661070333,0.5787436557830175,0.30790720902393875,1
84,E02000087,0.6696149975900096,0.7007602225732744,0.9477278686122576,0.4600924380987366,0.6940226022598727,0.3527749252106204,0.3230169545301803,0.5498679078226452,0.23226178244023354,1
85,E02000088,0.5628833856116022,0.7256081118115275,0.9364864692769757,0.5077539164328037,0.7327092107909896,0.4264788961092447,0.32899894515401795,0.5852302802457551,0.269529764553665,1
86,E02000089,0.5918811889551387,0.7834250329505785,0.9422061261569498,0.4839788281514682,0.6479871490312334,0.4824985608090514,0.3613886113695718,0.5167442083324459,0.2430949497803893,1
87,E02000090,0.6020645511097065,0.8220536872125246,0.9626593372543634,0.5658313341907564,0.5897615174151013,0.4345938287289585,0.4888302413906082,0.6084395903658666,0.1424467734211738,1
