,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_taxi_perc,yj_motorcycle_perc,yj_bicycle_perc,yj_on_foot_perc,yj_other_perc,yj_avg_time_car,yj_avg_time_bus,yj_avg_time_rail,yj_car_perc,label
2112,E02002171,-0.09741745945377643,-0.5795372077311381,-0.2832984747187976,-0.9505440511291,-1.230323639534982,1.5805509719453537,-1.3170770207813238,0.7883072587017775,1.2161603502562748,-0.05582839058493457,0.8122012463297674,0.5213224949781214,-0.1569173885647059,-1.5127820765830262,-0.9545777158332394,-0.7386227061322456,0.10981173938991512,0
2113,E02002174,-0.6618505961999797,-0.5795372077311381,-0.2832984747187976,0.24276038147878065,-0.16441973162134635,0.9886745887566027,0.3585342961148441,0.4909032218148953,1.1181969549500312,-0.21943674010021466,-0.3532931827992873,-0.3713257647652629,-0.8625753316830522,-1.2471047152882264,0.24428290931270674,-0.3718629187881912,0.5468541072201889,0
2114,E02002175,-0.09741745945377643,-0.5795372077311381,3.529934578563345,-1.3731764595755482,-1.0137836282714647,1.7611940915891109,-0.7049186216476558,0.7675888654394902,1.1291348376670545,-0.11723123084678135,0.5070229117115671,0.7402996813712301,-0.04960417991854645,-1.4289386980053431,-0.5783510634450244,-0.6514380946684543,-0.1608335120720343,2
2115,E02002176,-0.8845340684971171,-0.5795372077311381,-0.2832984747187976,-0.40015318069498335,-0.6774970203692418,0.6491503579131883,-0.046379233201795385,0.7820220310840409,0.5429846414561722,0.2180513076686697,-0.5092844862822792,-0.3944668840611375,0.11681209483629698,-0.6059043036339156,-0.8095561973664069,-0.6590607562087637,0.6442305722110265,0
2116,E02002177,0.5436814277521529,-0.5795372077311381,3.529799553194163,-1.2496292409259628,-1.2435713758893217,1.7715113900880182,-0.20958709830872246,0.9702860548456862,1.2444758932724371,-0.4176271784548395,0.2603013976932124,0.3863073323134216,0.4971037653685282,-1.0161041576916163,0.4773434049189695,-0.6812196569019502,-0.13437519833413109,2
2117,E02002178,0.21814970639174072,-0.5795372077311381,-0.2832984747187976,0.5689467193953252,-0.3374500899927605,1.363225927724879,0.4697165448877335,0.5564019515575148,0.8084716279244604,-1.4654050064322242,-1.2344385716865143,-0.09056156024046147,-0.5425505646919528,-0.8669941228313942,0.3699537332098316,-0.5126978013120694,0.4494808044201751,0
2118,E02002179,-0.27137585426983285,-0.5795372077311381,-0.2832984747187976,0.602114603962902,-0.23338082952316155,0.9546280174719785,0.02657401502283321,0.29151818806951146,0.18339680143473155,-0.7470787123723018,-0.2880216567757209,-1.1511848567944956,-0.2921913216680716,-0.6603559869246524,-0.4812738539569801,-0.1821906592410824,1.0730990893397403,0
2119,E02002180,-0.3945963335364767,-0.5795372077311381,-0.2832984747187976,-0.4389114792053019,-1.190673369819176,1.1901767589587695,-0.15884789611595074,0.8108794705194635,0.17387537030254302,-0.3054800489659766,-0.6693222375658364,-0.2698427809303448,0.9925124806089928,-1.864793552984708,-0.21308630434210032,-0.6619587829007666,0.664599678021641,0
2120,E02002181,0.3625787829866179,-0.5795372077311381,3.529934578563345,-1.0330420314947817,-1.7902474293526107,1.8421708501723268,-1.0254745375739251,0.5819855338412593,0.7169185113865066,0.5701818824990186,0.11347114887923325,0.3094867427207017,0.36500642775462333,-1.7429762247568217,-0.4955236841601011,-0.9742561503356976,0.25471292786435984,2
2121,E02002182,0.06523494131578073,-0.5795372077311381,-0.2832984747187976,-0.3682783699916622,-1.2054421952522056,1.264499751610617,-0.0801382503498043,0.7681812514054324,0.07968524464982425,0.11144670154233996,0.15319560746282385,-0.1208575559092808,-2.3761433773593668,-1.8696221041213383,-0.2821379841308981,-0.6027007815531261,0.5639187315959007,0
2122,E02002183,0.3625787829866179,1.7057637046951224,-0.2832984747187976,0.9023043667121144,1.4366943212304817,-0.02034845903696696,1.3415194858397463,-0.7588517136486653,-0.7753146856541709,-2.6838193431910464,-1.6677792747639433,-0.4828911081699799,-0.3557929042709597,1.3781441900935312,0.712296976880203,0.6950880313402418,-0.16216191272017633,1
2123,E02002184,0.7945157904523437,1.7057637046951224,-0.2832984747187976,0.4727985000455918,1.2525621038587416,-0.09632692539570463,1.56285604872433,-1.4945778457186305,-1.0811335737078038,-1.1459996631846858,-0.7646178105559179,0.8413679713080422,0.3350359345189502,1.0173052835518046,1.9167266490898087,0.5762598177556901,-0.7949785782749601,1
2124,E02002185,-0.4586450578286733,1.7057637046951224,-0.2832984747187976,0.823108973689231,0.5648577511505527,0.2580834891357248,1.657159283537385,-1.258232943366771,-1.0923767307477166,-1.7440790881038137,-1.0808531787110878,-0.6880049993873026,-2.085951367122261,0.8518748597762275,0.7624660517612963,0.2406990472841612,-0.08041676214099898,1
2125,E02002186,1.3384406507432651,1.7057637046951224,-0.2832984747187976,0.5997653734996533,0.1628997830575171,-0.4843745209427298,0.9133815962893991,-0.21594163994902696,-0.3576860837677805,-0.002649282715940076,-1.2495292137529648,0.4451886066448219,-1.4688608467285222,0.6133325781430041,0.3714991269267231,0.43666153627763227,0.3528515504953868,1
2126,E02002187,-0.2120203986005157,1.7057637046951224,-0.2832984747187976,1.091260287042332,1.120632267992522,0.1348603220085298,1.6281260203192558,-1.2671826617323965,-0.7012812986231398,-1.0751399846822152,-0.7888148974044069,-1.4875279977751499,0.3299991777914443,0.2326658620968285,0.7864023431859968,0.658985618465093,-0.1970477326058148,1
2127,E02002188,0.26718116669692915,-0.5795372077311381,-0.2832984747187976,0.9152070006365314,0.5171203986283277,-0.602364653246969,0.8675465572064341,0.021729005064886227,0.3945734920641459,0.2781450416602934,-1.0751741966577322,-0.8533409003822942,-0.8046091130400873,0.3348849598820195,-0.8229752791697387,0.7361646668347753,0.600527201586355,1
2128,E02002189,0.3625787829866179,-0.5795372077311381,-0.2832984747187976,0.044212354727283965,0.12887969092341933,-0.7041925200454316,1.0359920086279388,0.0028925848275229127,1.4569606827375319,-0.8573196573079533,-1.65681416994151,0.7125855763500215,0.8795767533813788,-0.1862596611862768,-0.4473075634718477,-0.5958167160779599,-0.030869661557981883,0
