,MSOA,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,bicycle_perc,on_foot_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,label
0,E02000001,1.851315801974301,0.9030899869919436,1.0791812460476249,-4.546105767929237,3.211874990388212,24.13014004073062,1.0145519610432354,0.068625917436079,1.3828413970544464,5.92475779696896,-9.697684716017728,3.017386180110393,-4.615035566593979,-1.686967792350924,-9.276571462227208,-4.0242642270481115,-7.121316728358103,1
1,E02000002,-0.660471144916719,0.0,0.0,-1.09222863563671,-2.1194791338518044,23.28754423489563,1.510024361936788,2.3619775437195454,-0.483131852142149,-1.7814735712961869,-5.598391670097882,-0.6881573853245426,0.15512789903043284,0.5301508818407281,-5.024872128603231,-1.6013489792103028,-0.7672487671344919,1
2,E02000003,-0.7848199962282025,0.0,0.0,-0.6187751471836986,-1.640020902693187,22.221301329512887,2.5686711458338043,1.5943567875773723,-1.0543111877181321,-0.9885755470027252,-5.6965211306410675,-1.1387489351006057,0.09731888674286764,0.5693034377379999,-5.3693852540182245,-1.6088409466523288,-1.051207149768172,1
3,E02000004,-1.1688908355973875,0.0,0.0,-0.1357860496317524,-2.152635947472012,21.01259722082558,2.128309181174904,1.4470079602865469,-0.4819814872409029,-0.5346342594163205,-3.7079869890036803,-0.8365991095046669,0.4598836401579154,-0.3219044896817936,-4.879861197128269,-1.906699552141239,-0.6388819882794627,1
4,E02000005,-1.4785390440179709,0.0,0.0,-0.8154548957292128,-2.2356569083109905,22.06640678838412,1.9940554168315472,2.4157860802777322,-0.23700976587042716,-1.2066744268066096,-5.433585530050359,-1.474691074181918,0.1395398978417373,0.17985184658899026,-5.3996828111475415,-1.7757437699315586,-0.8490812531906466,1
5,E02000007,-0.5479839261235909,0.0,0.0,-1.5718963050198036,-3.1924891576166496,24.282842958071605,1.532580718030356,2.490207448824468,-0.3955436767418209,-0.922759605012231,-5.218031936087843,-2.2823208402696658,-0.011838471198858438,-0.4449201449800814,-5.257803146373366,-1.8296257987114597,-0.9905899353438448,1
6,E02000008,-0.5479839261235909,0.0,0.0,-1.177464379680531,-3.114016991299549,23.67809280256535,1.805789555992851,2.2925982024537284,-0.4060935755770612,-1.3476592314438502,-5.420402877968511,-1.7366569645160053,-0.20527651464779545,-0.11199199410432696,-5.6917722078041875,-2.059625428889502,-0.8915838328878424,1
7,E02000009,-1.0814269393474252,0.0,0.0,-1.0546266467322294,-2.089929922327238,23.86707147686473,1.8609074682302456,2.526311904733914,-0.1993451739945392,-2.580539420963066,-5.7000564465822015,-0.4547743320241946,-0.4665461908588657,0.013036375303982871,-6.0091681598192155,-2.092612621789188,-1.0241099910310665,1
8,E02000010,-1.8994948384486765,0.0,0.0,-1.1955345592821651,-3.5892610075406868,25.586380722256447,1.6423399702498065,1.8967502583957023,-0.7749891379341884,-0.7913624854946707,-5.019384041887816,-1.7110262376963832,-0.21286445759084704,0.3940574578431245,-5.143448551934489,-1.8693804187038567,-1.1149943327528902,1
9,E02000011,-1.0,0.0,0.0,-0.479084472169271,-1.6659930552497582,25.95211422860601,1.7798371305304013,1.250338773444135,-0.2399712732518397,-1.227407822446964,-4.678177832259623,-0.3166321646505395,0.12019423873430272,-0.6412412585344947,-4.886250073553524,-1.8573461129153657,-1.2044826408971214,1
