,MSOA,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,car_perc,label
0,E02000001,0.6358396691572938,0.869857963867947,0.6846646047754028,0.6217345988466095,0.5759360385409247,0.6862684005526383,0.9668210473171625,0.624981772144705,0.0,1
1,E02000002,0.3158723543472766,0.8509897119939391,0.7456247918365169,0.7974525684105849,0.7042650791084539,0.464109923723406,0.32209771989278824,0.5138159146306085,0.8231956085568461,1
2,E02000003,0.3446475884083327,0.8271133295596604,0.8758748438305807,0.7386370081979297,0.6533943354308326,0.3961066277262488,0.3884336275630217,0.5054315191247999,0.7864076335110242,1
3,E02000004,0.3138824102590612,0.8000468127245097,0.8216951403964563,0.7273470531590086,0.7439398012864423,0.4642468835187132,0.4264115344544803,0.5021359331348321,0.8398260521219632,1
4,E02000005,0.3088998123498701,0.8236447753659564,0.8051772988915205,0.8015754105778525,0.7112707985039424,0.4934126523791896,0.3701869089303905,0.30763931533545635,0.812593873798922,1
5,E02000007,0.25147443065519554,0.8732774410197829,0.7484000012818891,0.8072776202274026,0.7207064192754666,0.4745379701295195,0.3939399601774852,0.4016162141338696,0.7942608426711362,1
6,E02000008,0.2561840274590633,0.8597352679209863,0.7820141074135469,0.7921366818988107,0.7461465434131861,0.4732819234756092,0.35839175407216584,0.4518687736695153,0.8070874899873879,1
7,E02000009,0.31764578406999583,0.8639670682703402,0.7887955108466143,0.8100439651750813,0.7772779538924842,0.4978969119285398,0.255245795935515,0.4628810698492029,0.7899181817476626,1
8,E02000010,0.22766171432574064,0.902467568352006,0.7619041733304612,0.7618065763062928,0.665839057856949,0.42936206756255796,0.4049329844017775,0.5185026988776158,0.7781437419008501,1
9,E02000011,0.34308883997037426,0.9106574404932865,0.7788210643539792,0.712278142752212,0.6534624372189417,0.4930600621321126,0.3684522992116761,0.4750272762703071,0.7665501639392875,1
10,E02000012,0.3723047357205085,0.9046279528666108,0.8075502889276759,0.6907641506516407,0.5697127259925475,0.4466332480643724,0.3514437663481552,0.4244323758982588,0.7699611672801391,1
11,E02000013,0.2647277930890583,0.9012440289950584,0.759862496752385,0.7301633872934845,0.7328678018830258,0.4883194373925138,0.3277013808159941,0.5568108836818251,0.797264198420043,1
12,E02000014,0.2843391629521733,0.8943092717166882,0.7767328716558458,0.7657805597833586,0.7281847887470104,0.4523965981889064,0.4410165535832491,0.39612944989454335,0.7673271903125239,1
13,E02000015,0.2546652198619029,0.8902945364681808,0.7756028077999424,0.7829245873166644,0.6995194527533003,0.5876800560015688,0.3904884989214148,0.5734589389043829,0.7627470961961813,1
14,E02000016,0.27638992366935017,0.9507859491678958,0.8503034304540487,0.7627128074734549,0.5157976813286131,0.39220569115903603,0.40960501285447226,0.4913990555184777,0.5724807035244842,1
