,MSOA,yj_Bus_stops,yj_Train_stations,yj_metro_stations,yj_HH_owning_cars_perc,yj_work_from_home_perc,yj_underground_metro_perc,yj_train_perc,yj_bus_perc,yj_bicycle_perc,yj_on_foot_perc,yj_avg_time_from_origin_car_UNWEIGHTED,yj_avg_time_car,yj_avg_time_from_origin_bus_UNWEIGHTED,yj_avg_time_bus,yj_avg_time_from_origin_rail_UNWEIGHTED,yj_avg_time_rail,yj_car_perc,label
0,E02000001,0.9613134884028866,0.999947949615,1.0,0.032888326539348686,0.7832498444770313,0.9915241093811951,0.6704675851601543,0.4971810600651069,0.7450664814417804,0.97775152012253,0.0,0.7503138571704433,0.0,0.3842356871442507,0.0,0.21507080494379704,0.0,0
1,E02000002,0.4268420170169122,0.0,0.0,0.2880986433162253,0.4628202321606218,0.9887666639726072,0.7522566213637752,0.7303296821996635,0.4298785100885271,0.3753299392425151,0.0,0.5171806532019652,0.0,0.5939861965072102,0.0,0.3176787046344982,0.2289126383045337,0
2,E02000003,0.4073068437860424,0.0,0.0,0.38008387220335776,0.4976721127661661,0.9842730444522756,0.8976818615674341,0.6513659703331363,0.3302849618343035,0.4511548239726266,0.0,0.4806073716488353,0.0,0.5973397164894556,0.0,0.3173121639272192,0.16870695375770686,0
3,E02000004,0.3505164593679252,0.0,0.0,0.5034771635970247,0.4603637039419468,0.977438331304062,0.8421783059185697,0.6362632154380634,0.4300844239937199,0.4935073360682456,0.0,0.5053551124202293,0.0,0.5180727227916266,0.0,0.3030053463398364,0.26282839684328724,0
4,E02000005,0.3085164184308939,0.0,0.0,0.3388282745814292,0.4541864736172558,0.9835103505567514,0.8238478490016512,0.7358729714321424,0.4741288343215844,0.4305145962533205,0.0,0.4519996464705995,0.0,0.5634607997012542,0.0,0.30923196564676536,0.2096268262363776,0
5,E02000007,0.445010000131454,0.0,0.0,0.21712750824643684,0.3802703635953535,0.9919607076349274,0.755781670979773,0.7435397282747067,0.4455884073293577,0.4573476701217072,0.0,0.37831255442791,0.0,0.5066397509895615,0.0,0.3066580407130885,0.1800540528754097,0
6,E02000008,0.445010000131454,0.0,0.0,0.274025287797488,0.3865209406623201,0.9901218249490612,0.7970215654572117,0.7231826026792265,0.4436931357694055,0.4170797917997765,0.0,0.4288716273216657,0.0,0.5373027268701374,0.0,0.29585823979804626,0.20026416116261794,0
7,E02000009,0.3629856126587901,0.0,0.0,0.29452851539770425,0.4650044181618298,0.9907287223751045,0.8050108037064143,0.7472590019287081,0.4809168471855693,0.2971531417572263,0.0,0.5353392314729071,0.0,0.5485907869399136,0.0,0.2943339036441886,0.17368753712612922,0
8,E02000010,0.2566487333148713,0.0,0.0,0.27112878974728355,0.3481521498993512,0.9950368549620404,0.7726748011170658,0.6824306933391266,0.3781897844026985,0.4696595124844674,0.0,0.4311667134974737,0.0,0.5822387072128978,0.0,0.3047697197817569,0.1575427717223956,0
9,E02000011,0.3748379269902206,0.0,0.9999645017598584,0.4123373393683067,0.4958162518274387,0.9957207589519196,0.7932211008515186,0.6161518288190818,0.4735951111502403,0.4285432811169614,0.0,0.5458417898991748,0.0,0.4881409263182848,0.0,0.305340382175607,0.14312235860765352,0
10,E02000012,0.3629856126587901,0.0,0.9999645017598584,0.452786400800387,0.5299934419950676,0.9952239844317732,0.8265221800972726,0.5875545564410315,0.4037247057927578,0.4091337982305279,0.0,0.4852987525655443,0.0,0.5030160717403098,0.0,0.2768452755818458,0.14722130120981985,0
11,E02000013,0.3505164593679252,0.0,0.9999645017598584,0.29568685423824137,0.3977743377201997,0.9949286568288802,0.7701485790277339,0.6400281328166043,0.4664200550050694,0.3818134226630647,0.0,0.4371897702907841,0.0,0.6192512486001451,0.0,0.28588905469902925,0.1845940513038873,0
12,E02000014,0.4268420170169122,0.0,0.9999645017598584,0.2552979819127597,0.4231860685313829,0.994283876211144,0.7907222886006778,0.6877660561996236,0.4123200011786828,0.5095592144344103,0.0,0.4976684170626102,0.0,0.6180553292266358,0.0,0.2958648754476635,0.14404587186429607,0
13,E02000015,0.4172601580574297,0.0,0.0,0.16698481685150024,0.3845088531911107,0.9938849045704138,0.7893656046251094,0.710799074986702,0.6141866426954085,0.4534678806007648,0.0,0.5045390587022416,0.0,0.5959703663564508,0.0,0.31734125925528994,0.1386876177301908,0
14,E02000016,0.4701303125042545,0.9522470750944436,0.9999645017598584,0.05651905545273015,0.4129561612330213,0.9982311349686664,0.8723596396792835,0.6836472242330166,0.3248000604069489,0.4748706481654339,0.0,0.5173354355011988,0.0,0.5710362717640067,0.0,0.2721925914972316,0.02897840303770232,0
15,E02000017,0.2925755760055117,0.0,0.0,0.2610108816143233,0.5126300374589918,0.99695336250583,0.8461029783216566,0.6355921554580528,0.343095311677839,0.5237078724658828,0.0,0.5626048964227834,0.0,0.5572431207668735,0.0,0.2745108577298635,0.07115587936101242,0
16,E02000018,0.3969469307994186,0.0,0.0,0.22551703066965054,0.4218975770229829,0.9952943449189936,0.7990570709172496,0.6581613720603942,0.462671062494449,0.388678847841189,0.0,0.4840890653092434,0.0,0.5335366610243368,0.0,0.2927046375307493,0.15158941811024604,0
17,E02000019,0.4856764551254391,0.9522470750944436,0.0,0.3399408368272026,0.3614239438558615,0.9951531454376558,0.7709819359089646,0.6309418710132445,0.4934617090119528,0.4612933400996879,0.0,0.4702971129390505,0.0,0.6302432484391329,0.0,0.3126417672532422,0.1688140923394795,0
18,E02000020,0.6221596347236494,0.0,0.0,0.22041355687332492,0.5192299251187931,0.9953776674949854,0.8282697977509242,0.6729050544614918,0.4872604541037706,0.48638628756185903,0.0,0.4818427938331622,0.0,0.6324936000376717,0.0,0.29071643049884194,0.10025777035411333,0
19,E02000021,0.4856764551254391,0.0,0.0,0.2893160593933162,0.5083739723134892,0.9924239512011954,0.7834289743531071,0.6957312389356538,0.4503282623047267,0.4937758613195755,0.0,0.4484350646015045,0.0,0.6554486661787382,0.0,0.31485108286818164,0.16399226187066476,0
20,E02000022,0.323390790125373,0.0,0.0,0.09436738949811553,0.5201002144335185,0.9967362800173241,0.8457155674817322,0.7235060312316769,0.4422093866987637,0.5110502481054564,0.0,0.5451543872904931,0.0,0.6412166983868075,0.0,0.28478082434963525,0.050373379216479705,0
21,E02000023,0.4931347271019944,0.0,0.0,0.16907476592735868,0.528886514468901,0.9934769656754038,0.8313956307017548,0.7390477872139503,0.5736115527963731,0.37093763185137785,0.0,0.4488323459081052,0.0,0.6640003164704624,0.0,0.3022628841437864,0.11097707152640217,0
22,E02000024,0.6221596347236494,0.0,0.9999645017598584,0.5803361241382344,0.7854692570557973,0.9952365163255288,0.6055820258516167,0.489824290858586,0.4739767545891541,0.5569434395810242,0.0,0.4572425603158319,0.0,0.5543970955222406,0.0,0.2968325971237528,0.14930057914712336,0
23,E02000025,0.4620138109578302,0.0,0.0,0.4607940140102593,0.7169286488239404,0.9886004416259588,0.8218897138726411,0.6030332142621679,0.4042491286697189,0.3903787813823879,0.0,0.4197687985639611,0.0,0.5218964607417838,0.0,0.29409310632824703,0.19282131713457706,0
24,E02000026,0.2925755760055117,0.0,0.0,0.6670219642412574,0.6993742500752329,0.9914989806729017,0.748854137974923,0.5119416227898869,0.2640002661638032,0.3478211778182313,0.0,0.4604922362425485,0.0,0.6404333188523914,0.0,0.3179219770645628,0.2571957405919837,0
25,E02000027,0.38613976388925786,0.0,0.0,0.4102243144071847,0.643526092386512,0.9918231056475026,0.5856125400300128,0.6676946577332189,0.2966011107461114,0.50318804749131,0.0,0.39349875618883706,0.0,0.5068408170944259,0.0,0.29765989693231704,0.2273925821194866,0
26,E02000028,0.4268420170169122,0.9522470750944436,0.0,0.5984997264479054,0.7569338879840377,0.9872878869566007,0.8456803570013299,0.5486703279340178,0.3436621607611661,0.3522565735438817,0.0,0.4345073361406584,0.0,0.5009725366305204,0.0,0.2866810093663019,0.19733896931778347,0
27,E02000029,0.4268420170169122,0.0,0.0,0.4624478151067602,0.6351814613618829,0.98341963206865,0.8647390046629916,0.5945597309974452,0.3594364844883228,0.4552078501951526,0.0,0.4728278728990345,0.0,0.5024252801465603,0.0,0.2802561057902744,0.20803406300565325,0
28,E02000030,0.6023942136972109,0.0,0.0,0.7111094068996716,0.8323806309766739,0.989821324763282,0.6272681470316357,0.5023136116053808,0.2887144488821269,0.3043137451221716,0.0,0.4781218410985044,0.0,0.559581122115195,0.0,0.32040265866345313,0.26651870258620763,0
29,E02000031,0.5277402698835121,0.9522470750944436,0.9999645017598584,0.5474639009226138,0.7792430564403843,0.9957239933568643,0.7399023576651893,0.5951923531823421,0.4070976811030276,0.3173688661746929,0.0,0.3743296669308256,0.0,0.6276611329179227,0.0,0.2882426002046161,0.1217158471117222,0
30,E02000032,0.3373506308306965,0.0,0.0,0.7360641668508444,0.6891022586922275,0.9956246509427592,0.6154564070242586,0.4784874881585097,0.3245513997882141,0.3560267469566436,0.0,0.4339239374756998,0.0,0.5941242084652849,0.0,0.2884251998131476,0.2260731472693365,0
31,E02000033,0.4620138109578302,0.0,0.0,0.4971055893738523,0.6630744177764785,0.9942894016570616,0.7251562345413209,0.6443502226811325,0.3553739431397268,0.3356784499381097,0.0,0.3482118898306457,0.0,0.6138280491614272,0.0,0.27860994529543553,0.17586891993481565,0
32,E02000034,0.445010000131454,0.0,0.0,0.4656389313600863,0.718859688915302,0.9941247632256658,0.6353649436872107,0.6416156491097549,0.4341876770823998,0.4257534467274388,0.0,0.4012759277492721,0.0,0.6227027927477105,0.0,0.2715048976278633,0.1707497268121405,0
33,E02000035,0.3373506308306965,0.0,0.9999645017598584,0.420500514667466,0.7706655594060623,0.998061423524034,0.546312766895428,0.5684888526889855,0.4181659905169824,0.38606483579819495,0.0,0.42595303859068334,0.0,0.6126308572375225,0.0,0.2749016011912765,0.08992644268633762,0
34,E02000036,0.4172601580574297,0.0,0.0,0.5534750015774533,0.7127402721912992,0.989606923060154,0.7466441287087104,0.6546043097785921,0.2912900186601778,0.297876540658057,0.0,0.3949398940920492,0.0,0.5776985788926003,0.0,0.2756856951486317,0.22680049943289704,0
35,E02000037,0.453646604398812,0.0,0.0,0.5549048613938894,0.7723871615858038,0.9912810020924864,0.6030503111758864,0.6021236309961151,0.27751845029989963,0.33412113827401124,0.0,0.40223009088692496,0.0,0.6405386045719714,0.0,0.2871342516248496,0.2457376457072091,0
36,E02000038,0.5003999671989151,0.0,0.0,0.4934996089138184,0.6941922996694359,0.9932819535372821,0.7783652972130751,0.7211467027028275,0.4527283491293909,0.3222200859775787,0.0,0.3771120074169216,0.0,0.5513071662743272,0.0,0.2652656956533024,0.1196879620609618,0
37,E02000039,0.5405013169867181,0.0,0.0,0.6574198417646809,0.8264105651396549,0.9833931553902744,0.8404150529720551,0.5720109643129628,0.3559177645950036,0.3447999595320357,0.0,0.4645191642544351,0.0,0.6162108456675388,0.0,0.2752256825076437,0.17968803754868354,1
38,E02000040,0.558667942502566,0.0,0.9999645017598584,0.5016447891817185,0.7810091258920362,0.9920765346325408,0.6737528146836704,0.6315782830938469,0.3699165265562611,0.5496840614467295,0.0,0.4793560741939986,0.0,0.5815333659969024,0.0,0.2751096284571777,0.1602803794787937,0
39,E02000041,0.5074833633567852,0.0,0.9999645017598584,0.4296989215485606,0.7276363584428276,0.9938041075504516,0.6591486846757346,0.7016415827211372,0.23735423547855702,0.5140530437416799,0.0,0.4155277956502914,0.0,0.5846708701651067,0.0,0.2817839964404161,0.13911426942850388,0
40,E02000042,0.4856764551254391,0.0,0.0,0.3100463859231763,0.689556835478981,0.9977024588044148,0.5253806562116734,0.6955676168140402,0.4730996288778551,0.5430278444335952,0.0,0.4491938173019943,0.0,0.5851988132860733,0.0,0.27155469751726163,0.06838438823378065,0
41,E02000043,0.3373506308306965,0.0,0.9999645017598584,0.6518197798873713,0.7697503458008741,0.9982888415019484,0.4980818299881175,0.502933645284531,0.4475463754681866,0.3700069858446904,0.0,0.4048022018039772,0.0,0.6260238612480338,0.0,0.2737429418232461,0.0964352848104978,0
42,E02000044,0.4073068437860424,0.9522470750944436,0.0,0.3664748279555475,0.6024630525920134,0.9919712228382116,0.7985809883755599,0.7413553768677548,0.32290948839792816,0.43684879025828,0.0,0.39587431999006295,0.0,0.6312777976005637,0.0,0.2651182831911091,0.13544539819007473,0
43,E02000045,0.4701303125042545,0.0,0.0,0.3264865778797281,0.6637078273450665,0.9930044839739888,0.6372710329021904,0.8296911238939496,0.5895188331429692,0.3920944299039938,0.0,0.4436838908492584,0.0,0.6093275857155116,0.0,0.2648663504505352,0.0926823568898123,0
44,E02000046,0.4701303125042545,0.0,0.9999645017598584,0.3420946751469671,0.705451572447432,0.9988984842292364,0.5371428199335617,0.6364516002089156,0.4493924144247484,0.4310300370131344,0.0,0.4578135953688394,0.0,0.5644033311495091,0.0,0.26335343139232925,0.04646672571745696,0
45,E02000047,0.4620138109578302,0.0,0.9999645017598584,0.2413284618682564,0.5717504959725599,0.9956135396365352,0.6462853964750239,0.7770690207984826,0.2914243792249776,0.4781296561445725,0.0,0.4170808675793172,0.0,0.6183370066903326,0.0,0.28331632979262,0.10928785103246352,0
46,E02000048,0.4172601580574297,0.0,0.0,0.6305162884385498,0.78532294265544,0.9951585272628328,0.628705592611615,0.5633157431560682,0.313138659218842,0.2967660086623365,0.0,0.412123908088768,0.0,0.6217293364327161,0.0,0.2831820060336998,0.1813355132983185,0
47,E02000049,0.3748379269902206,0.0,0.0,0.2005742658709723,0.5306123447833937,0.9942405369522204,0.6818470990761694,0.8112672155497249,0.24173632912310936,0.4794007187560818,0.0,0.4321421670950887,0.0,0.6176589605961085,0.0,0.2679321276211596,0.10906820486339516,0
48,E02000050,0.4701303125042545,0.0,0.0,0.3616855776861384,0.6306694370554109,0.9973430516650807,0.516472662757459,0.6910254373368427,0.5411352062674613,0.503697241505171,0.0,0.38889826473542577,0.0,0.5721092964663264,0.0,0.258141430151617,0.09329424269862607,0
49,E02000051,0.5074833633567852,0.0,0.0,0.4208564761708473,0.8341572498172287,0.9965222687624452,0.5230624415983408,0.6493122224869242,0.4318734855282012,0.38761851075057663,0.0,0.33540466510766986,0.0,0.6212567501027575,0.0,0.2590512911276941,0.09310197160876366,0
50,E02000052,0.3629856126587901,0.0,0.0,0.2812533803862729,0.6518700841194704,0.9993002520670432,0.5114528199557371,0.576656508387281,0.652997563456102,0.3708825325022932,0.0,0.5236464079834837,0.0,0.5196840413921335,0.0,0.2451411816435156,0.04292341511619455,0
51,E02000053,0.453646604398812,0.0,0.9999645017598584,0.309493424627582,0.5639861898153027,0.9974821763828527,0.6484547739962337,0.7066449677853024,0.36195657443200574,0.481495466041409,0.0,0.44175583518873296,0.0,0.6101625727945823,0.0,0.2831954169745092,0.08686525224483686,0
52,E02000054,0.4073068437860424,0.0,0.0,0.4523522755272916,0.7306484934083748,0.995337343638274,0.641968601202567,0.6810631662881386,0.37020170081754,0.4477701910418299,0.0,0.4039962212589643,0.0,0.5707163505355846,0.0,0.27470668152091393,0.12713489732701044,0
53,E02000055,0.4856764551254391,0.0,0.9999645017598584,0.287837223469638,0.7406017844671179,0.9961943843143646,0.6263544554475602,0.7183823648523641,0.41995149578312,0.5448256145838288,0.0,0.3448268053145984,0.0,0.5601721245977487,0.0,0.2673547511068794,0.07625893684052165,0
54,E02000056,0.5813053817921016,0.0,0.9999645017598584,0.6378022966085715,0.8829895879665199,0.9965985070325629,0.4879950831726551,0.4608060399704891,0.5449693675874215,0.18868182393588406,0.0,0.4151006891249383,0.0,0.5615889953355007,0.0,0.2505279650390075,0.11401065963829833,0
55,E02000057,0.38613976388925786,0.0,0.0,0.4271440679213002,0.7591621400233863,0.9955419009734536,0.6090511277815721,0.6597984066250955,0.4423443623494635,0.5596367908657125,0.0,0.12121527193034788,0.0,0.5841353318725675,0.0,0.2596544963845794,0.10440485859353033,0
56,E02000058,0.4701303125042545,0.0,0.0,0.4316900108589847,0.8373069814654899,0.9969217909710016,0.5236838514463065,0.6720010501136906,0.5582957850695895,0.36061628651443023,0.0,0.4208127818763945,0.0,0.5694287916381757,0.0,0.24938327879121164,0.07014772619896945,0
57,E02000059,0.38613976388925786,0.9522470750944436,0.0,0.2706879567897171,0.5941917127547718,0.9923741174022196,0.7391945870513447,0.7866024778252564,0.4135991078934632,0.5318759401477542,0.0,0.3681594382210181,0.0,0.5290406158183439,0.0,0.2633867647363517,0.11053300324214024,0
58,E02000060,0.4073068437860424,0.0,0.9999645017598584,0.3344108401838217,0.8180760765239061,0.996601739542034,0.5167826805684765,0.6505853529422853,0.4490401292157672,0.5714098811214399,0.0,0.19944454551113644,0.0,0.5404463220554399,0.0,0.25893812404740185,0.07179622687774963,0
59,E02000061,0.5341901000092364,0.0,0.9999645017598584,0.3013631614846859,0.8251142159319522,0.9984407035665736,0.550082212482927,0.6949952215808578,0.5449432243893967,0.2888339916772619,0.0,0.3950674190169794,0.0,0.5925491329182666,0.0,0.24299728297408224,0.032993111027820515,0
60,E02000062,0.5972539420520445,0.9522470750944436,0.0,0.18532837461903448,0.6198095281339449,0.9934960823091954,0.7286512540130761,0.8281937620140238,0.561445294146757,0.5627851522684142,0.0,0.2973340574822716,0.0,0.586043315799297,0.0,0.2341459590306352,0.06109055126635338,0
61,E02000063,0.38613976388925786,0.0,0.0,0.3360898533091277,0.6606109999825833,0.9944030852311592,0.732237659138397,0.8145038110165644,0.5247287459415124,0.3950072065768784,0.0,0.3694072198844189,0.0,0.581247396223898,0.0,0.24255838509771585,0.0711370668764128,0
62,E02000064,0.4268420170169122,0.0,0.0,0.18298649485585264,0.7355341707470331,0.9956119300181016,0.6815699859769163,0.8277836573974913,0.622529324366266,0.3724249917546909,0.0,0.4425263030642874,0.0,0.536415379582551,0.0,0.2366896098777502,0.0438922504004592,0
63,E02000065,0.3505164593679252,0.0,0.0,0.3060872542456389,0.6251774636502623,0.9813924745858962,0.897880577381415,0.7984780577048387,0.3894545342813061,0.17528249416728192,0.0,0.5957768389995799,0.0,0.6816484591206597,0.0,0.34031442810814866,0.10595862845965097,0
64,E02000066,0.5211445674319697,0.9522470750944436,0.0,0.2220748937897649,0.4926835682664097,0.9634493718619496,0.9361694825336302,0.7745497179111946,0.38051565836202,0.3386089637443708,0.0,0.5223845099366837,0.0,0.6715883458665601,0.0,0.3232561528185717,0.1097086763081543,0
65,E02000067,0.4780128446986837,0.9522470750944436,0.0,0.3765004552034865,0.487123258228128,0.8891761866704048,0.9291678632260624,0.6724873602185064,0.4098433390993655,0.42353483894559,0.0,0.4745403379768245,0.0,0.5773012457210727,0.0,0.3274424549002751,0.20673047682268386,0
66,E02000068,0.5644870712563121,0.9522470750944436,0.0,0.3080991076124738,0.5120526986329852,0.9152895370204426,0.934076455947848,0.6808724859686678,0.35475992673417883,0.4847659282644418,0.0,0.4789068391564051,0.0,0.5544293851629156,0.0,0.3496977563436587,0.17284592878520685,0
67,E02000069,0.453646604398812,0.0,0.0,0.484610775865143,0.5369505320713122,0.8558461558340879,0.90177586024868,0.6113506533870532,0.4143914800632811,0.39482689615916267,0.0,0.4358706476758556,0.0,0.5739622265385367,0.0,0.3390091776513016,0.2961757918962667,0
68,E02000070,0.4620138109578302,0.0,0.0,0.5751788107775205,0.5465764371504254,0.8691947614964886,0.9015908812783732,0.6025012013575551,0.39996481372446496,0.3043827639942607,0.0,0.41764238820645705,0.0,0.5857806281975222,0.0,0.33143703412078435,0.30553466934803303,0
69,E02000071,0.3373506308306965,0.0,0.0,0.5577075827850412,0.4559665410095473,0.7427082135895816,0.8989448034162529,0.5998125785996333,0.4126432367296459,0.45923361759559206,0.0,0.4000478134663839,0.0,0.5352750034521914,0.0,0.3158854616363969,0.32050150152406703,0
70,E02000072,0.5211445674319697,0.9522470750944436,0.0,0.26698108022457057,0.4602910455433318,0.8717458916952641,0.9082004619118692,0.7279019026970144,0.4401146166995662,0.4972998262555859,0.0,0.4783815782039715,0.0,0.6347420406010675,0.0,0.34551156369677605,0.2089676881528948,0
71,E02000073,0.4701303125042545,0.0,0.0,0.6700065681749884,0.5076887698492871,0.8563858718356594,0.9267358997939256,0.5239626273116335,0.39324446418896253,0.3127891300218114,0.0,0.4343143990687768,0.0,0.4849372465377901,0.0,0.3231690987382113,0.29663644804518874,1
72,E02000074,0.3748379269902206,0.0,0.0,0.3769263261577794,0.4661469839047034,0.7538796431023814,0.8881127634743096,0.6598300267162679,0.388486532417989,0.4701325542838082,0.0,0.4625598023452415,0.0,0.6161759774249478,0.0,0.37318104090854615,0.3125547286794678,0
73,E02000075,0.4073068437860424,0.0,0.0,0.6413945608650485,0.5964122440143591,0.7312066637636806,0.9333269924449334,0.5005319553823905,0.38070326937819,0.4158883815020832,0.0,0.4197350611662101,0.0,0.5511776123035865,0.0,0.3300265364937645,0.2639200768167759,1
74,E02000077,0.3748379269902206,0.0,0.0,0.5891904840872878,0.5118511180976688,0.8331210856434268,0.9285706906291621,0.6086300866684781,0.38986539042205,0.4079616422724406,0.0,0.4529377331300992,0.0,0.5356677875016267,0.0,0.3027487150876332,0.24425118383877245,0
75,E02000078,0.4172601580574297,0.9522470750944436,0.0,0.6842775646508746,0.4803794809908453,0.7129323147328236,0.9348542771529309,0.5117580803124371,0.3275188057203136,0.3844675754749188,0.0,0.4696821812211702,0.0,0.5049146036338494,0.0,0.3407591124167328,0.3057162379402956,0
76,E02000079,0.5074833633567852,0.9522470750944436,0.0,0.480762713730552,0.6228149872501032,0.7606814672861673,0.9521645251581874,0.5531062068742016,0.369946289301021,0.5245680901744769,0.0,0.4085394313183599,0.0,0.5237892675784481,0.0,0.3160254494794945,0.1671770372647897,0
77,E02000080,0.5211445674319697,0.0,0.0,0.5166671457819471,0.5548916105379285,0.7947480670598462,0.9319738452062049,0.6206777776731816,0.3096438026227998,0.38965360603314303,0.0,0.4742481526861706,0.0,0.5122213336216195,0.0,0.29434500900496835,0.23092004943352465,0
78,E02000081,0.5405013169867181,0.0,0.0,0.5119344979827329,0.5732704140795446,0.7486069626855816,0.9193396395866203,0.5729332090101689,0.3780408370086961,0.5033039243525166,0.0,0.3843148067174145,0.0,0.512581382145691,0.0,0.33624463835202656,0.2559190239009939,0
79,E02000082,0.445010000131454,0.9522470750944436,0.0,0.6983326468587332,0.5374152101125895,0.8603628288587073,0.9265041561507056,0.552463328590047,0.3882223800273465,0.29752765499577216,0.0,0.4579716059451897,0.0,0.5402825845069716,0.0,0.30092251407693604,0.2785662095334248,0
