origin_msoacode,avg_time_from_origin_car_UNWEIGHTED,car,cumulative_time_car,avg_time_car
E02000001,147.82647082865108,113.0,1970.5151252000003,17.43818694867257
E02000002,154.43465724720426,982.0,9947.762827790002,10.13010471261711
E02000003,154.33397040873695,1616.0,15323.978924699999,9.482660225680693
E02000004,157.78939117942107,1221.0,12102.639554800004,9.91207170745291
E02000005,154.83571845696142,1383.0,12484.379844320003,9.027028086999279
E02000007,155.20658246864284,1206.0,9671.1924864,8.019230917412935
E02000008,154.89610422867452,1695.0,14724.422771560001,8.686975086466077
E02000009,154.4007136564257,1248.0,13082.333381040009,10.482638927115392
E02000010,155.5762315685752,1167.0,10175.857864800004,8.71967254910026
E02000011,156.1312496417309,911.0,9745.022681480006,10.697061121273332
E02000012,153.53618662750458,1388.0,13271.243030269998,9.561414286938039
E02000013,154.9967063969294,1212.0,10673.543827420002,8.806554313052807
E02000014,155.73015916965176,1253.0,12247.984986459998,9.774928161580206
E02000015,156.3072145640705,933.0,9234.222307900005,9.89734438145767
E02000016,152.75780945438368,553.0,5603.558423709999,10.133017041066907
E02000017,152.94964728953047,917.0,10138.931877539997,11.05663236372955
E02000018,154.35529716460584,1156.0,11029.387730369994,9.540992846340824
E02000019,155.28364454992402,1184.0,11027.41300860001,9.313693419425684
E02000020,153.74628697491113,1017.0,9664.839431550005,9.503283610176995
E02000021,155.69889030273163,1151.0,10327.980193699997,8.97304969044309
E02000022,152.96834949385726,608.0,6495.1297471399985,10.682779189374997
E02000023,154.43231482555245,708.0,6357.157878350001,8.979036551341808
E02000024,143.76141230222458,1752.0,15956.349884450005,9.107505641809363
E02000025,144.39914756458893,1541.0,13190.11949672,8.559454572822842
E02000026,145.36480997405062,1292.0,11832.19757358,9.15804765756966
E02000027,144.03142464835705,1674.0,13743.199502459998,8.209796596451612
E02000028,144.26807951113062,1238.0,10854.371796000007,8.767667040387728
E02000029,145.03166731166965,1607.0,15032.930876560007,9.354655181431243
E02000030,144.07326495599798,1880.0,17749.861752600005,9.441415825851067
E02000031,144.4780603817155,1117.0,8903.1221006,7.970565891316025
E02000032,145.94710486941653,1579.0,13830.857049800003,8.75925082317923
E02000033,145.3223811931559,1478.0,11327.638680899998,7.664166901826792
E02000034,145.36797477277088,1504.0,12499.1169151,8.310583055252659
E02000035,144.68276154261727,1111.0,9605.389574290002,8.64571518837984
E02000036,142.84103895628746,2006.0,16505.98092236,8.22830554454636
E02000037,142.1965461202868,1896.0,15780.602164839991,8.323102407616028
E02000038,145.51117598756025,1620.0,12967.299371120003,8.004505784641978
E02000039,143.28046262591806,1263.0,11646.619406219997,9.221393037387172
E02000040,144.9074633140473,1111.0,10512.121211200005,9.461855275607565
E02000041,143.00239182660653,1340.0,11391.603598399995,8.501196715223877
E02000042,144.85170520623714,1325.0,11904.449383840007,8.984490101011327
E02000043,145.1866993178603,1073.0,8967.083496270003,8.357020965768875
E02000044,143.33648204469287,1156.0,9525.841093290006,8.240346966513846
E02000045,145.79183384476022,1397.0,12436.109700299996,8.902011238582674
E02000046,144.82553049827538,816.0,7438.941593899999,9.116349992524508
E02000047,143.16677123312485,1400.0,11931.426253320007,8.522447323800005
E02000048,143.83900655392387,1808.0,15286.560120300008,8.454955818750005
E02000049,143.77428868154286,936.0,8174.684581000001,8.73363737286325
E02000050,145.1129944081034,1365.0,11126.403133879989,8.151211087091566
E02000051,144.4923439640068,1234.0,9281.573415720006,7.521534372544576
E02000052,145.49952745746276,1097.0,11247.640912000006,10.253091077484052
E02000053,143.51332520613667,1056.0,9370.389493529996,8.873474899176133
E02000054,143.72229363832884,1107.0,9239.426716299995,8.346365597380302
E02000055,144.20187411394858,1361.0,10378.985284139988,7.625999474019094
E02000056,145.05925840239473,1455.0,12360.76257639999,8.495369468316143
E02000057,144.30099944437822,1005.0,5715.300485989999,5.68686615521393
E02000058,144.52630927163474,1283.0,11000.322345399998,8.573906738425563
E02000059,143.71876664304122,1424.0,11244.21181872,7.89621616483146
E02000060,144.41899574263397,1161.0,7263.623218480005,6.256350748044793
E02000061,144.882916105087,798.0,6567.4977166599965,8.229947013358391
E02000062,144.09453128826618,638.0,4545.300629329997,7.124295657257048
E02000063,144.7452109172712,754.0,5965.007678449998,7.911150767175063
E02000064,144.88719600044598,561.0,4984.405485280003,8.8848582625312
E02000065,156.99067716636353,958.0,11341.323589399999,11.838542368893528
E02000066,157.14684201474375,1238.0,12663.344178700005,10.228872519143785
E02000067,158.31950215714784,1571.0,14740.001512199999,9.382559842266073
E02000068,158.67053609687537,1194.0,11288.561204020001,9.454406368525964
E02000069,157.8141112656274,1262.0,11089.688534550005,8.787391865729006
E02000070,156.5388060939191,1742.0,14859.528793599993,8.530154301722154
E02000071,158.65725580558887,1634.0,13553.244519000003,8.294519289473687
E02000072,158.88140209348805,1838.0,17361.215834599992,9.44571046496191
E02000073,156.32828968775888,2308.0,20229.347812435004,8.764882067779464
E02000074,159.07728780635037,1566.0,14392.278758590002,9.190471748780334
E02000075,158.12422112850143,1695.0,14507.485123199998,8.558988273274336
E02000077,156.1275533368052,1609.0,14547.503236290002,9.04133203001243
E02000078,158.3793869143816,1817.0,16904.98629322001,9.303789924722073
E02000079,157.20820287849665,1374.0,11550.877091599998,8.40675188617176
E02000080,155.79127084666925,1854.0,17386.418770790006,9.377787902259982
E02000081,157.61025071473435,1479.0,11970.417210799993,8.093588377822849
E02000082,155.5996592735563,1995.0,18192.006148420016,9.118800074395997
E02000083,158.60699149444045,2083.0,20355.365338100008,9.772138904512726
